loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-18T11:02:54.290+03:00,1744963372.750369,40.95361464921299,29.14100394799852,93.71502,-1,-1,-1,-1,30,27.41004683147841,-9999,62860.093878375,-0.7548828125,0.5052642822265625,-0.4074859619140625,62860.083803375,1.833049464411727,-1.058619334566317,-0.5744464851164894,0.04695749655365944,-0.1372346729040146,-0.02629518136382103,0.006396889686584473,-0.005833566188812256,0.004265308380126953,XArbitraryZVertical,-0.2354375346308757,0.4887344835617493,-0.743902924084489,-0.390277236730745,-0.7317692041397095,0.5433701872825623,-0.4114155471324921,0,0,0,-1,-1,62853.41249675,unknown,2,2025-04-18T11:02:47.583+03:00,2025-04-17T15:44:39.500+03:00,7191,1.094987,0,0,5932.107,4,10,2025-04-18T11:02:11.472+03:00,766656172.849466,0,107.08,100.5709,1,0.65,2025-04-18T11:02:44.169+03:00,93,1.55,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:02:54.291+03:00,1744963372.750369,40.95361464921299,29.14100394799852,93.71502,-1,-1,-1,-1,30,27.41004683147841,-9999,62860.103954375,-0.6923370361328125,0.50811767578125,-0.4056396484375,62860.093878375,1.833291981604797,-1.060780124107886,-0.5741382668182378,0.01242268923670053,-0.3078333139419556,-0.02119043283164501,-0.02684098482131958,-0.03474956750869751,0.00183415412902832,XArbitraryZVertical,-0.2363955201843564,0.4890394627148602,-0.7436797603871336,-0.3897410402718802,-0.7328026294708252,0.5431114435195923,-0.4099151194095612,0,0,0,-1,-1,62853.41249675,unknown,2,2025-04-18T11:02:47.583+03:00,2025-04-17T15:44:39.500+03:00,7191,1.094987,0,0,5932.107,4,10,2025-04-18T11:02:11.472+03:00,766656172.849466,0,107.08,100.5709,1,0.65,2025-04-18T11:02:44.169+03:00,93,1.55,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:02:54.292+03:00,1744963372.750369,40.95361464921299,29.14100394799852,93.71502,-1,-1,-1,-1,30,27.41004683147841,-9999,62860.11403037501,-0.70184326171875,0.506561279296875,-0.398773193359375,62860.103954375,1.833108743995551,-1.06435620205352,-0.5740154558584352,-0.02114985138177872,-0.369797021150589,-0.02274169214069843,0.03624778985977173,-0.03650802373886108,0.001516878604888916,XArbitraryZVertical,-0.2377178609135045,0.4897224292505034,-0.7432139734786188,-0.3889669859131742,-0.734322190284729,0.5430083274841309,-0.4073243141174316,0,0,0,-1,-1,62853.41249675,unknown,2,2025-04-18T11:02:47.583+03:00,2025-04-17T15:44:39.500+03:00,7191,1.094987,0,0,5932.107,4,10,2025-04-18T11:02:11.472+03:00,766656172.849466,0,107.08,100.5709,1,0.65,2025-04-18T11:02:44.169+03:00,93,1.55,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:02:54.300+03:00,1744963372.750369,40.95361464921299,29.14100394799852,93.71502,-1,-1,-1,-1,30,27.41004683147841,-9999,62860.12410537501,-0.7491302490234375,0.5030975341796875,-0.3988800048828125,62860.11403037501,1.832358510985864,-1.068502538736325,-0.5737957442458282,-0.06234895437955856,-0.3854601383209229,-0.09110237658023834,0.03928607702255249,-0.03408056497573853,0.005468815565109253,XArbitraryZVertical,-0.2391419674939645,0.4905551896147216,-0.7425624889358787,-0.3882881215746907,-0.73610919713974,0.5428237915039062,-0.4043334424495697,0,0,0,-1,-1,62853.41249675,unknown,2,2025-04-18T11:02:47.583+03:00,2025-04-17T15:44:39.500+03:00,7191,1.094987,0,0,5932.107,4,10,2025-04-18T11:02:11.472+03:00,766656172.849466,0,107.08,100.5709,1,0.65,2025-04-18T11:02:44.169+03:00,93,1.55,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:02:54.309+03:00,1744963372.750369,40.95361464921299,29.14100394799852,93.71502,-1,-1,-1,-1,30,27.41004683147841,-9999,62860.134181375,-0.7664794921875,0.5458831787109375,-0.4138031005859375,62860.12410537501,1.831490250761441,-1.070612127649801,-0.5732650745110589,0.02660255692899227,0.2440659254789352,-0.06858064979314804,-0.007934451103210449,-0.0412183403968811,0.004434585571289062,XArbitraryZVertical,-0.2398755906059674,0.4909183252266003,-0.7421135492926388,-0.3882350934217636,-0.7372133135795593,0.5423780083656311,-0.4029178023338318,0,0,0,-1,-1,62853.41249675,unknown,2,2025-04-18T11:02:47.583+03:00,2025-04-17T15:44:39.500+03:00,7191,1.094987,0,0,5932.107,4,10,2025-04-18T11:02:11.472+03:00,766656172.849466,0,107.08,100.5709,1,0.65,2025-04-18T11:02:44.169+03:00,93,1.55,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:02:54.319+03:00,1744963372.750369,40.95361464921299,29.14100394799852,93.71502,-1,-1,-1,-1,30,27.41004683147841,-9999,62860.144257375,-0.808624267578125,0.5821685791015625,-0.41204833984375,62860.134181375,1.83181276000966,-1.068383942493361,-0.5734936358481413,0.02938183210790157,0.2760300040245056,0.05708326771855354,-0.02592575550079346,-0.005048632621765137,-0.00750279426574707,XArbitraryZVertical,-0.2390572371754335,0.4905117414521554,-0.7424549481275562,-0.3886008563527706,-0.7362050414085388,0.5425700545310974,-0.404499739408493,0,0,0,-1,-1,62853.41249675,unknown,2,2025-04-18T11:02:47.583+03:00,2025-04-17T15:44:39.500+03:00,7191,1.094987,0,0,5932.107,4,10,2025-04-18T11:02:11.472+03:00,766656172.849466,0,107.08,100.5709,1,0.65,2025-04-18T11:02:44.169+03:00,93,1.55,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:02:54.329+03:00,1744963372.750369,40.95361464921299,29.14100394799852,93.71502,-1,-1,-1,-1,30,27.41004683147841,-9999,62860.154332375,-0.7133636474609375,0.530548095703125,-0.4124603271484375,62860.144257375,1.832227789746277,-1.065930905801825,-0.5735769915447938,0.03537607565522194,0.1422519534826279,0.002056365832686424,-0.07507079839706421,0.040901780128479,-0.006025105714797974,XArbitraryZVertical,-0.2382224276418818,0.4900089827244775,-0.7428326351043827,-0.3890256405198917,-0.7351709008216858,0.5426400899887085,-0.4062825441360474,0,0,0,-1,-1,62853.41249675,unknown,2,2025-04-18T11:02:47.583+03:00,2025-04-17T15:44:39.500+03:00,7191,1.094987,0,0,5932.107,4,10,2025-04-18T11:02:11.472+03:00,766656172.849466,0,107.08,100.5709,1,0.65,2025-04-18T11:02:44.169+03:00,93,1.55,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:02:54.340+03:00,1744963372.750369,40.95361464921299,29.14100394799852,93.71502,-1,-1,-1,-1,30,27.41004683147841,-9999,62860.16440837501,-0.6540069580078125,0.5311279296875,-0.3922271728515625,62860.154332375,1.832584427868335,-1.065473534557841,-0.5734918592687971,0.02822122536599636,-0.08622995764017105,-0.01328530628234148,0.006738722324371338,-0.006618857383728027,-0.006704121828079224,XArbitraryZVertical,-0.238166160486739,0.4898533686990636,-0.7429520811719901,-0.3890279931277551,-0.7350254058837891,0.542568564414978,-0.4066411256790161,0,0,0,-1,-1,62853.41249675,unknown,2,2025-04-18T11:02:47.583+03:00,2025-04-17T15:44:39.500+03:00,7191,1.094987,0,0,5932.107,4,10,2025-04-18T11:02:11.472+03:00,766656172.849466,0,107.08,100.5709,1,0.65,2025-04-18T11:02:44.169+03:00,93,1.55,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:02:54.350+03:00,1744963372.750369,40.95361464921299,29.14100394799852,93.71502,-1,-1,-1,-1,30,27.41004683147841,-9999,62860.17448437501,-0.7112579345703125,0.5411834716796875,-0.40032958984375,62860.16440837501,1.832721221825282,-1.066539624721275,-0.5732368652615615,0.01358768995851278,-0.1096386089920998,-0.009760346263647079,0.08175575733184814,-0.0139119029045105,0.01156079769134521,XArbitraryZVertical,-0.2386743058063681,0.4899719519906653,-0.7428384088205722,-0.3887842737920267,-0.7355796694755554,0.5423543453216553,-0.4059241116046906,0,0,0,-1,-1,62853.41249675,unknown,2,2025-04-18T11:02:47.583+03:00,2025-04-17T15:44:39.500+03:00,7191,1.094987,0,0,5932.107,4,10,2025-04-18T11:02:11.472+03:00,766656172.849466,0,107.08,100.5709,1,0.65,2025-04-18T11:02:44.169+03:00,93,1.55,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:02:54.360+03:00,1744963372.750369,40.95361464921299,29.14100394799852,93.71502,-1,-1,-1,-1,30,27.41004683147841,-9999,62860.184559375,-0.773590087890625,0.5308380126953125,-0.4171142578125,62860.17448437501,1.832774006883576,-1.066998574022592,-0.5730699752316758,0.002962742000818253,0.0246126726269722,0.009244237095117569,0.03465795516967773,-0.0002830028533935547,0.008352398872375488,XArbitraryZVertical,-0.2389091911244183,0.4900074724654275,-0.7427851952225502,-0.3886967982437853,-0.7358450889587402,0.5422140955924988,-0.4056301414966583,0,0,0,-1,-1,62853.41249675,unknown,2,2025-04-18T11:02:47.583+03:00,2025-04-17T15:44:39.500+03:00,7191,1.094987,0,0,5932.107,4,10,2025-04-18T11:02:11.472+03:00,766656172.849466,0,107.08,100.5709,1,0.65,2025-04-18T11:02:44.169+03:00,93,1.55,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
