loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T12:20:47.841+03:00,1745313647.224662,40.95219657099274,29.14025835744745,76.12379,-1,-1,-1,-1,30,22.47268558134142,-9999,29970.07476329167,-0.8171234130859375,0.4123077392578125,-0.203369140625,29970.06468729167,-0.2996991736902836,-1.288934516000807,-0.4734946801666618,-0.0437099002301693,-0.2021753042936325,-0.01428639329969883,0.09576660394668579,-0.001363664865493774,0.02406284213066101,XArbitraryZVertical,-0.2725835162972794,-0.5494785580508859,0.02331138519277497,0.7894480428491593,-0.8548609614372253,0.4559992551803589,-0.2475430816411972,0,0,0,-1,-1,29965.0025325,unknown,2,2025-04-22T12:20:42.742+03:00,2025-04-21T17:08:51.449+03:00,7264,0.976367,0,0,6055.744,5,20,2025-04-22T12:20:40.163+03:00,767006414.4773123,0,-20.82999,100.4528,1,0.85,2025-04-22T12:20:02.679+03:00,82,1.366666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:20:47.843+03:00,1745313647.224662,40.95219657099274,29.14025835744745,76.12379,-1,-1,-1,-1,30,22.47268558134142,-9999,29970.08484029167,-0.998321533203125,0.4176025390625,-0.24591064453125,29970.07476329167,-0.3001642640168681,-1.289894841946515,-0.4735353318264923,-0.0275007039308548,0.05620471388101578,0.006014018785208464,0.1114737987518311,-0.0385856032371521,0.06127680838108063,XArbitraryZVertical,-0.2727153695789633,-0.549788973985648,0.02327110119586925,0.7891873665017797,-0.855080246925354,0.4560354351997375,-0.2467168271541595,0,0,0,-1,-1,29965.0025325,unknown,2,2025-04-22T12:20:42.742+03:00,2025-04-21T17:08:51.449+03:00,7264,0.976367,0,0,6055.744,5,20,2025-04-22T12:20:40.163+03:00,767006414.4773123,0,-20.82999,100.4528,1,0.85,2025-04-22T12:20:02.679+03:00,82,1.366666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:20:47.844+03:00,1745313647.224662,40.95219657099274,29.14025835744745,76.12379,-1,-1,-1,-1,30,22.47268558134142,-9999,29970.09491629167,-0.9190521240234375,0.446258544921875,-0.24664306640625,29970.08484029167,-0.3003519108045334,-1.289029636649346,-0.4736674776732892,-0.01125755067914724,0.1173042878508568,0.01803845725953579,-0.1023904085159302,-0.04384544491767883,0.01051661372184753,XArbitraryZVertical,-0.2728263403482724,-0.5494050398214742,0.0231190715156267,0.7894207900367265,-0.854808509349823,0.4561530351638794,-0.2474397867918015,0,0,0,-1,-1,29965.0025325,unknown,2,2025-04-22T12:20:42.742+03:00,2025-04-21T17:08:51.449+03:00,7264,0.976367,0,0,6055.744,5,20,2025-04-22T12:20:40.163+03:00,767006414.4773123,0,-20.82999,100.4528,1,0.85,2025-04-22T12:20:02.679+03:00,82,1.366666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:20:47.852+03:00,1745313647.224662,40.95219657099274,29.14025835744745,76.12379,-1,-1,-1,-1,30,22.47268558134142,-9999,29970.10499329167,-0.7926788330078125,0.4551849365234375,-0.2424468994140625,29970.09491629167,-0.3004236697570812,-1.288450053323017,-0.4737432092996846,-0.01218652818351984,-0.006695224437862635,0.009648268111050129,-0.1153234839439392,-0.02064314484596252,4.656612873077393e-05,XArbitraryZVertical,-0.2728810272224858,-0.5491567774702196,0.0230345911419865,0.7895771138157482,-0.8546318411827087,0.456220418214798,-0.2479255646467209,0,0,0,-1,-1,29965.0025325,unknown,2,2025-04-22T12:20:42.742+03:00,2025-04-21T17:08:51.449+03:00,7264,0.976367,0,0,6055.744,5,20,2025-04-22T12:20:40.163+03:00,767006414.4773123,0,-20.82999,100.4528,1,0.85,2025-04-22T12:20:02.679+03:00,82,1.366666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:20:47.865+03:00,1745313647.224662,40.95219657099274,29.14025835744745,76.12379,-1,-1,-1,-1,30,22.47268558134142,-9999,29970.11506929167,-0.7960205078125,0.4493255615234375,-0.2490692138671875,29970.10499329167,-0.3005606697704822,-1.289001286720708,-0.4739471777613581,-0.02215607091784477,-0.07855529338121414,0.01050074584782124,0.02598947286605835,-0.001400113105773926,0.004203468561172485,XArbitraryZVertical,-0.2729884791470428,-0.5493295931611906,0.02311745172381273,0.7894174277592407,-0.8546791076660156,0.456401914358139,-0.2474285811185837,0,0,0,-1,-1,29965.0025325,unknown,2,2025-04-22T12:20:42.742+03:00,2025-04-21T17:08:51.449+03:00,7264,0.976367,0,0,6055.744,5,20,2025-04-22T12:20:40.163+03:00,767006414.4773123,0,-20.82999,100.4528,1,0.85,2025-04-22T12:20:02.679+03:00,82,1.366666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:20:47.870+03:00,1745313647.224662,40.95219657099274,29.14025835744745,76.12379,-1,-1,-1,-1,30,22.47268558134142,-9999,29970.12514629167,-0.8739013671875,0.450286865234375,-0.2563018798828125,29970.11506929167,-0.300776165929684,-1.289640985229682,-0.4741706591939139,-0.02248364128172398,-0.02771102823317051,0.01217680610716343,0.07612895965576172,-0.004925519227981567,0.00190386176109314,XArbitraryZVertical,-0.2731237812002451,-0.5495240541082057,0.02318745238542276,0.7892330643412049,-0.8547390103340149,0.4566007554531097,-0.2468534260988235,0,0,0,-1,-1,29965.0025325,unknown,2,2025-04-22T12:20:42.742+03:00,2025-04-21T17:08:51.449+03:00,7264,0.976367,0,0,6055.744,5,20,2025-04-22T12:20:40.163+03:00,767006414.4773123,0,-20.82999,100.4528,1,0.85,2025-04-22T12:20:02.679+03:00,82,1.366666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:20:47.880+03:00,1745313647.224662,40.95219657099274,29.14025835744745,76.12379,-1,-1,-1,-1,30,22.47268558134142,-9999,29970.13522229167,-0.8900909423828125,0.458648681640625,-0.2545623779296875,29970.12514629167,-0.3009410366481529,-1.289618640041763,-0.4743425261018747,-0.02040397934615612,0.03067345172166824,0.01309612952172756,0.007932782173156738,-0.007809668779373169,-0.00707070529460907,XArbitraryZVertical,-0.273233511798211,-0.5494707126981412,0.0231713819696992,0.7892327468415937,-0.8546581864356995,0.456753671169281,-0.246850773692131,0,0,0,-1,-1,29965.0025325,unknown,2,2025-04-22T12:20:42.742+03:00,2025-04-21T17:08:51.449+03:00,7264,0.976367,0,0,6055.744,5,20,2025-04-22T12:20:40.163+03:00,767006414.4773123,0,-20.82999,100.4528,1,0.85,2025-04-22T12:20:02.679+03:00,82,1.366666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:20:47.890+03:00,1745313647.224662,40.95219657099274,29.14025835744745,76.12379,-1,-1,-1,-1,30,22.47268558134142,-9999,29970.14529929167,-0.8444366455078125,0.461029052734375,-0.2449951171875,29970.13522229167,-0.3011020213596332,-1.289397382691602,-0.4745455877336043,-0.02020850032567978,0.01007123850286007,0.01403942052274942,-0.040108323097229,-0.0007270872592926025,-0.008952021598815918,XArbitraryZVertical,-0.2733561248490512,-0.5493353936256233,0.02313911251345643,0.7892854563448077,-0.8545144200325012,0.4569343030452728,-0.2470141053199768,0,0,0,-1,-1,29965.0025325,unknown,2,2025-04-22T12:20:42.742+03:00,2025-04-21T17:08:51.449+03:00,7264,0.976367,0,0,6055.744,5,20,2025-04-22T12:20:40.163+03:00,767006414.4773123,0,-20.82999,100.4528,1,0.85,2025-04-22T12:20:02.679+03:00,82,1.366666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:20:47.900+03:00,1745313647.224662,40.95219657099274,29.14025835744745,76.12379,-1,-1,-1,-1,30,22.47268558134142,-9999,29970.15537529167,-0.825439453125,0.4635162353515625,-0.2390289306640625,29970.14529929167,-0.3012759605197784,-1.289546952341382,-0.4747289669980717,-0.0165338721126318,-0.02435651049017906,0.008171678520739079,-0.008428871631622314,0.003931581974029541,-0.002282440662384033,XArbitraryZVertical,-0.2734706515923341,-0.5493471456525256,0.02314645820133239,0.7892373801447998,-0.8544708490371704,0.4570974111557007,-0.2468630373477936,0,0,0,-1,-1,29965.0025325,unknown,2,2025-04-22T12:20:42.742+03:00,2025-04-21T17:08:51.449+03:00,7264,0.976367,0,0,6055.744,5,20,2025-04-22T12:20:40.163+03:00,767006414.4773123,0,-20.82999,100.4528,1,0.85,2025-04-22T12:20:02.679+03:00,82,1.366666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:20:47.910+03:00,1745313647.224662,40.95219657099274,29.14025835744745,76.12379,-1,-1,-1,-1,30,22.47268558134142,-9999,29970.16545229167,-0.85382080078125,0.4619293212890625,-0.2437744140625,29970.15537529167,-0.301401859100043,-1.28982723017023,-0.4748220373430279,-0.00670580891892314,-0.01083277817815542,0.002355034928768873,0.0291208028793335,0.005603551864624023,0.00738447904586792,XArbitraryZVertical,-0.2735367353425234,-0.5494285953083788,0.02316329186876654,0.7891573113080229,-0.8544991612434387,0.4571801722049713,-0.2466117441654205,0,0,0,-1,-1,29965.0025325,unknown,2,2025-04-22T12:20:42.742+03:00,2025-04-21T17:08:51.449+03:00,7264,0.976367,0,0,6055.744,5,20,2025-04-22T12:20:40.163+03:00,767006414.4773123,0,-20.82999,100.4528,1,0.85,2025-04-22T12:20:02.679+03:00,82,1.366666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
