loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-21T15:17:45.053+03:00,1745237858.398729,40.95225582986527,29.1403179372126,76.30476,-1,-1,-1,-1,30,26.56900642780171,-9999,18147.95668266667,-0.7845001220703125,0.46722412109375,-0.3719635009765625,18147.94660666667,2.548296411186683,-1.132569430967225,-0.4951473810721307,-0.01301659736782312,0.005014078691601753,-0.005511377938091755,-0.008026003837585449,-0.002001702785491943,0.001194238662719727,XArbitraryZVertical,-0.4369725733986188,0.3498131803679881,-0.8208641261077551,-0.1134360030804455,-0.7967530488967896,0.4751613438129425,-0.373371422290802,0,0,0,-1,-1,18145.10641779167,unknown,2,2025-04-21T15:17:42.177+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9638649,0,0,5475.677,5,6,2025-04-21T15:17:44.757+03:00,766930664.8577851,0,-44.09,100.2613,1,0.45,2025-04-21T15:14:45.481+03:00,86,1.433333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:17:45.055+03:00,1745237858.398729,40.95225582986527,29.1403179372126,76.30476,-1,-1,-1,-1,30,26.56900642780171,-9999,18147.96675866667,-0.7946014404296875,0.468902587890625,-0.373443603515625,18147.95668266667,2.548130809754834,-1.132595586427132,-0.4951345543911509,-0.01414364762604237,0.003914725966751575,-0.00506183598190546,-0.01527392864227295,-0.01142033934593201,-0.001707911491394043,XArbitraryZVertical,-0.4369566827174311,0.3498460738103167,-0.8208493088762789,-0.1135029730628015,-0.7967683076858521,0.4751500487327576,-0.3733531534671783,0,0,0,-1,-1,18145.10641779167,unknown,2,2025-04-21T15:17:42.177+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9638649,0,0,5475.677,5,6,2025-04-21T15:17:44.757+03:00,766930664.8577851,0,-44.09,100.2613,1,0.45,2025-04-21T15:14:45.481+03:00,86,1.433333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:17:45.055+03:00,1745237858.398729,40.95225582986527,29.1403179372126,76.30476,-1,-1,-1,-1,30,26.56900642780171,-9999,18147.97683566667,-0.8008880615234375,0.4731903076171875,-0.3747711181640625,18147.96675866667,2.548004834635788,-1.132558025705826,-0.4951473819835123,-0.0115313520655036,0.007243677042424679,-0.002018109429627657,0.01298105716705322,-0.006930321455001831,0.001233845949172974,XArbitraryZVertical,-0.4369169187982176,0.3498762273749639,-0.8208499869909354,-0.1135575797867001,-0.7967486977577209,0.4751613438129425,-0.3733804523944855,0,0,0,-1,-1,18145.10641779167,unknown,2,2025-04-21T15:17:42.177+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9638649,0,0,5475.677,5,6,2025-04-21T15:17:44.757+03:00,766930664.8577851,0,-44.09,100.2613,1,0.45,2025-04-21T15:14:45.481+03:00,86,1.433333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:17:45.063+03:00,1745237858.398729,40.95225582986527,29.1403179372126,76.30476,-1,-1,-1,-1,30,26.56900642780171,-9999,18147.98691166667,-0.796173095703125,0.472259521484375,-0.3748779296875,18147.97683566667,2.54790064844499,-1.132491595362646,-0.4951131263224159,-0.01057927217334509,0.007525173481553793,-0.002652474446222186,0.0002909302711486816,-0.00584721565246582,-0.0009798705577850342,XArbitraryZVertical,-0.4368776297080962,0.349882484027141,-0.8208595036955888,-0.1136216663140105,-0.7967387437820435,0.4751311838626862,-0.3734403550624847,0,0,0,-1,-1,18145.10641779167,unknown,2,2025-04-21T15:17:42.177+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9638649,0,0,5475.677,5,6,2025-04-21T15:17:44.757+03:00,766930664.8577851,0,-44.09,100.2613,1,0.45,2025-04-21T15:14:45.481+03:00,86,1.433333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:17:45.073+03:00,1745237858.398729,40.95225582986527,29.1403179372126,76.30476,-1,-1,-1,-1,30,26.56900642780171,-9999,18147.99698766667,-0.7972564697265625,0.46954345703125,-0.374969482421875,18147.98691166667,2.547829766624787,-1.13241479166771,-0.495076933594307,-0.009475525468587875,0.009575674310326576,-0.001212303526699543,-0.003582656383514404,-0.001832842826843262,-0.00170484185218811,XArbitraryZVertical,-0.436840302482039,0.3498801419218017,-0.8208731061144899,-0.1136743200537608,-0.7967256903648376,0.4750993549823761,-0.3735088706016541,0,0,0,-1,-1,18145.10641779167,unknown,2,2025-04-21T15:17:42.177+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9638649,0,0,5475.677,5,6,2025-04-21T15:17:44.757+03:00,766930664.8577851,0,-44.09,100.2613,1,0.45,2025-04-21T15:14:45.481+03:00,86,1.433333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:17:45.083+03:00,1745237858.398729,40.95225582986527,29.1403179372126,76.30476,-1,-1,-1,-1,30,26.56900642780171,-9999,18148.00706366667,-0.797088623046875,0.4697113037109375,-0.3725738525390625,18147.99698766667,2.547752802171182,-1.132338046817043,-0.49509106264371,-0.008075501769781113,0.009691255167126656,0.003295895643532276,0.001234889030456543,-0.002943992614746094,-0.001249819993972778,XArbitraryZVertical,-0.4367928138175841,0.349897831109132,-0.8208850182553079,-0.1137152332114024,-0.7966907620429993,0.4751117825508118,-0.3735671043395996,0,0,0,-1,-1,18145.10641779167,unknown,2,2025-04-21T15:17:42.177+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9638649,0,0,5475.677,5,6,2025-04-21T15:17:44.757+03:00,766930664.8577851,0,-44.09,100.2613,1,0.45,2025-04-21T15:14:45.481+03:00,86,1.433333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:17:45.093+03:00,1745237858.398729,40.95225582986527,29.1403179372126,76.30476,-1,-1,-1,-1,30,26.56900642780171,-9999,18148.01713966667,-0.7938232421875,0.47161865234375,-0.374603271484375,18148.00706366667,2.547677362176064,-1.132289062436375,-0.4951589033220769,-0.01106802839785814,0.004614804405719042,0.001321328105404973,-0.001177668571472168,-0.005979150533676147,-0.001178711652755737,XArbitraryZVertical,-0.4367471191007036,0.3499367580133037,-0.8208898969947215,-0.1137358655743837,-0.7966433167457581,0.4751714766025543,-0.3735924363136292,0,0,0,-1,-1,18145.10641779167,unknown,2,2025-04-21T15:17:42.177+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9638649,0,0,5475.677,5,6,2025-04-21T15:17:44.757+03:00,766930664.8577851,0,-44.09,100.2613,1,0.45,2025-04-21T15:14:45.481+03:00,86,1.433333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:17:45.103+03:00,1745237858.398729,40.95225582986527,29.1403179372126,76.30476,-1,-1,-1,-1,30,26.56900642780171,-9999,18148.02721566667,-0.793792724609375,0.4709625244140625,-0.37939453125,18148.01713966667,2.547578620598427,-1.132266052596139,-0.4952711742905669,-0.01019158214330673,0.006055840756744146,0.002290985081344843,1.668930053710938e-05,-0.00546756386756897,0.0006937980651855469,XArbitraryZVertical,-0.4366998654672206,0.3499987811556867,-0.8208868393726967,-0.1137492081607243,-0.7965865135192871,0.4752702713012695,-0.3735881745815277,0,0,0,-1,-1,18145.10641779167,unknown,2,2025-04-21T15:17:42.177+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9638649,0,0,5475.677,5,6,2025-04-21T15:17:44.757+03:00,766930664.8577851,0,-44.09,100.2613,1,0.45,2025-04-21T15:14:45.481+03:00,86,1.433333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:17:45.113+03:00,1745237858.398729,40.95225582986527,29.1403179372126,76.30476,-1,-1,-1,-1,30,26.56900642780171,-9999,18148.03729166667,-0.791534423828125,0.464752197265625,-0.3767852783203125,18148.02721566667,2.547468361371179,-1.132294829333938,-0.4953543201267274,-0.01461555901914835,0.001502967439591885,0.005452057346701622,0.00257033109664917,-0.002900868654251099,-0.001573652029037476,XArbitraryZVertical,-0.4366771836274524,0.3500554223691555,-0.8208724253413384,-0.1137662772209953,-0.7965615391731262,0.4753434062004089,-0.3735484778881073,0,0,0,-1,-1,18145.10641779167,unknown,2,2025-04-21T15:17:42.177+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9638649,0,0,5475.677,5,6,2025-04-21T15:17:44.757+03:00,766930664.8577851,0,-44.09,100.2613,1,0.45,2025-04-21T15:14:45.481+03:00,86,1.433333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:17:45.123+03:00,1745237858.398729,40.95225582986527,29.1403179372126,76.30476,-1,-1,-1,-1,30,26.56900642780171,-9999,18148.04736766667,-0.7887420654296875,0.4664459228515625,-0.373291015625,18148.03729166667,2.547347799357556,-1.132395495066727,-0.4954340292122509,-0.01200379710644484,-0.007540328893810511,0.009603659622371197,0.002146422863006592,-0.004573225975036621,-0.005896627902984619,XArbitraryZVertical,-0.4366828516575271,0.350117115151335,-0.8208417324458648,-0.1137758669719055,-0.7965647578239441,0.4754135310649872,-0.3734521865844727,0,0,0,-1,-1,18145.10641779167,unknown,2,2025-04-21T15:17:42.177+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9638649,0,0,5475.677,5,6,2025-04-21T15:17:44.757+03:00,766930664.8577851,0,-44.09,100.2613,1,0.45,2025-04-21T15:14:45.481+03:00,86,1.433333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
