loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-21T14:54:46.832+03:00,1745236486.436669,40.95228068713659,29.14029842710894,76.51794,-1,-1,-1,-1,30,25.18208350132768,-9999,17531.42214591667,-0.7385101318359375,0.592071533203125,-0.372314453125,17531.41460591667,2.598877370819346,-1.094935904254928,-0.6201252216815967,-0.148612767457962,0.03450114652514458,-0.01788255013525486,0.03929358720779419,0.03194564580917358,0.004917681217193604,XArbitraryZVertical,0.4077357380511025,-0.3838593399784181,0.8259456609142469,0.06494015162337799,-0.7233908772468567,0.5811370611190796,-0.3728071451187134,0,0,0,-1,-1,17521.93113075,unknown,2,2025-04-21T14:54:11.259+03:00,2025-04-20T21:57:49.637+03:00,6589,0.9558782,0,0,5416.758,5,6,2025-04-21T14:54:16.418+03:00,766929248.7788981,0,-46.07,100.2848,1,0.45,2025-04-21T14:52:54.481+03:00,95,1.583333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T14:54:46.833+03:00,1745236486.436669,40.95228068713659,29.14029842710894,76.51794,-1,-1,-1,-1,30,25.18208350132768,-9999,17531.43222191667,-0.7165069580078125,0.6226654052734375,-0.378997802734375,17531.42468191667,2.598274115353404,-1.095491198380842,-0.6179807261545373,0.1201385259628296,-0.129642516374588,-0.2826934456825256,0.01057767868041992,0.02069169282913208,0.003651082515716553,XArbitraryZVertical,0.4082470318138945,-0.383206128980305,0.82593874541557,0.0656698530973268,-0.7247042655944824,0.5793905258178711,-0.3729748427867889,0,0,0,-1,-1,17521.93113075,unknown,2,2025-04-21T14:54:11.259+03:00,2025-04-20T21:57:49.637+03:00,6589,0.9558782,0,0,5416.758,5,6,2025-04-21T14:54:16.418+03:00,766929248.7788981,0,-46.07,100.2848,1,0.45,2025-04-21T14:52:54.481+03:00,95,1.583333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T14:54:46.836+03:00,1745236486.436669,40.95228068713659,29.14029842710894,76.51794,-1,-1,-1,-1,30,25.18208350132768,-9999,17531.44229791667,-0.653045654296875,0.6949462890625,-0.3683013916015625,17531.43475791667,2.598713314049227,-1.096362152818756,-0.6158088971196,0.1490730345249176,-0.07178128510713577,-0.08249013125896454,-0.0201457142829895,0.01327741146087646,-0.004447698593139648,XArbitraryZVertical,0.4090931115326139,-0.3823402840477457,0.8259016806237524,0.06591646945923821,-0.726146399974823,0.5776190161705017,-0.3729174733161926,0,0,0,-1,-1,17521.93113075,unknown,2,2025-04-21T14:54:11.259+03:00,2025-04-20T21:57:49.637+03:00,6589,0.9558782,0,0,5416.758,5,6,2025-04-21T14:54:16.418+03:00,766929248.7788981,0,-46.07,100.2848,1,0.45,2025-04-21T14:52:54.481+03:00,95,1.583333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T14:54:46.846+03:00,1745236486.436669,40.95228068713659,29.14029842710894,76.51794,-1,-1,-1,-1,30,25.18208350132768,-9999,17531.45237391667,-0.79486083984375,0.446563720703125,-0.3772430419921875,17531.44483391667,2.600383848037501,-1.095347233722222,-0.6143149684807115,0.1700515449047089,0.0504269190132618,-0.05419698357582092,0.07614338397979736,0.1241014003753662,-0.0007070600986480713,XArbitraryZVertical,0.4092690534816842,-0.3814110974873831,0.826251033669853,0.06582925736264958,-0.7265339493751526,0.5763988494873047,-0.3740488290786743,0,0,0,-1,-1,17521.93113075,unknown,2,2025-04-21T14:54:11.259+03:00,2025-04-20T21:57:49.637+03:00,6589,0.9558782,0,0,5416.758,5,6,2025-04-21T14:54:16.418+03:00,766929248.7788981,0,-46.07,100.2848,1,0.45,2025-04-21T14:52:54.481+03:00,95,1.583333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T14:54:46.856+03:00,1745236486.436669,40.95228068713659,29.14029842710894,76.51794,-1,-1,-1,-1,30,25.18208350132768,-9999,17531.46244991667,-0.7369384765625,0.4523773193359375,-0.3648223876953125,17531.45490991667,2.601384853296663,-1.094299191966188,-0.6136220303887712,0.05102496966719627,0.02378831617534161,-0.02499252557754517,-0.01817834377288818,-0.02770650386810303,0.004586011171340942,XArbitraryZVertical,0.4091546187810259,-0.3809145823632584,0.8265386258735108,0.06580488475941733,-0.7264962792396545,0.5758324861526489,-0.3749931454658508,0,0,0,-1,-1,17521.93113075,unknown,2,2025-04-21T14:54:11.259+03:00,2025-04-20T21:57:49.637+03:00,6589,0.9558782,0,0,5416.758,5,6,2025-04-21T14:54:16.418+03:00,766929248.7788981,0,-46.07,100.2848,1,0.45,2025-04-21T14:52:54.481+03:00,95,1.583333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T14:54:46.866+03:00,1745236486.436669,40.95228068713659,29.14029842710894,76.51794,-1,-1,-1,-1,30,25.18208350132768,-9999,17531.47252591667,-0.683502197265625,0.577362060546875,-0.36077880859375,17531.46498591667,2.601604269255801,-1.094115060615815,-0.6132555536959498,0.02593426220118999,-0.007217802572995424,-0.03094602189958096,-0.05649685859680176,-0.1713887453079224,0.0007883012294769287,XArbitraryZVertical,0.4091878325878336,-0.3807275298471465,0.8266048260080063,0.06584946462401763,-0.7266146540641785,0.575532853603363,-0.3752237260341644,0,0,0,-1,-1,17521.93113075,unknown,2,2025-04-21T14:54:11.259+03:00,2025-04-20T21:57:49.637+03:00,6589,0.9558782,0,0,5416.758,5,6,2025-04-21T14:54:16.418+03:00,766929248.7788981,0,-46.07,100.2848,1,0.45,2025-04-21T14:52:54.481+03:00,95,1.583333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T14:54:46.876+03:00,1745236486.436669,40.95228068713659,29.14029842710894,76.51794,-1,-1,-1,-1,30,25.18208350132768,-9999,17531.48260191667,-0.719482421875,0.575347900390625,-0.3749542236328125,17531.47506191667,2.601650272919859,-1.094125074329651,-0.6129826504149746,0.01048027258366346,-0.003147893585264683,-0.02281775325536728,0.04194355010986328,-0.02747350931167603,0.01876688003540039,XArbitraryZVertical,0.4092509858953017,-0.380617082131027,0.8266201915239416,0.06590319963856964,-0.7267580032348633,0.5753096342086792,-0.3752885460853577,0,0,0,-1,-1,17521.93113075,unknown,2,2025-04-21T14:54:11.259+03:00,2025-04-20T21:57:49.637+03:00,6589,0.9558782,0,0,5416.758,5,6,2025-04-21T14:54:16.418+03:00,766929248.7788981,0,-46.07,100.2848,1,0.45,2025-04-21T14:52:54.481+03:00,95,1.583333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T14:54:46.886+03:00,1745236486.436669,40.95228068713659,29.14029842710894,76.51794,-1,-1,-1,-1,30,25.18208350132768,-9999,17531.49267791667,-0.719879150390625,0.5589141845703125,-0.379180908203125,17531.48513791667,2.601652879983996,-1.09416395709812,-0.6128854780789076,0.00175895297434181,-0.008611635304987431,-0.01020289212465286,0.01893657445907593,0.006907761096954346,0.003932714462280273,XArbitraryZVertical,0.4092854468965985,-0.3805817355419894,0.8266179754452971,0.06592130198370724,-0.7268223166465759,0.5752301216125488,-0.3752859234809875,0,0,0,-1,-1,17521.93113075,unknown,2,2025-04-21T14:54:11.259+03:00,2025-04-20T21:57:49.637+03:00,6589,0.9558782,0,0,5416.758,5,6,2025-04-21T14:54:16.418+03:00,766929248.7788981,0,-46.07,100.2848,1,0.45,2025-04-21T14:52:54.481+03:00,95,1.583333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T14:54:46.896+03:00,1745236486.436669,40.95228068713659,29.14029842710894,76.51794,-1,-1,-1,-1,30,25.18208350132768,-9999,17531.50275391667,-0.7086029052734375,0.5540008544921875,-0.3832244873046875,17531.49521391667,2.601641147422294,-1.094273106756469,-0.6129227441733361,-0.001268994528800249,-0.01189098507165909,-0.006065904162824154,0.002997756004333496,-0.01051771640777588,-0.002580404281616211,XArbitraryZVertical,0.4093214666396308,-0.3806015754228636,0.8265930744061621,0.06589517748648027,-0.7268441915512085,0.5752606391906738,-0.3751967549324036,0,0,0,-1,-1,17521.93113075,unknown,2,2025-04-21T14:54:11.259+03:00,2025-04-20T21:57:49.637+03:00,6589,0.9558782,0,0,5416.758,5,6,2025-04-21T14:54:16.418+03:00,766929248.7788981,0,-46.07,100.2848,1,0.45,2025-04-21T14:52:54.481+03:00,95,1.583333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T14:54:46.906+03:00,1745236486.436669,40.95228068713659,29.14029842710894,76.51794,-1,-1,-1,-1,30,25.18208350132768,-9999,17531.51282991667,-0.712982177734375,0.5681915283203125,-0.388214111328125,17531.50528991667,2.601685614097561,-1.094374291100143,-0.6128835849060584,0.01239941362291574,-0.01543591730296612,-0.00670319888740778,0.01541531085968018,-0.02281481027603149,-0.0063973069190979,XArbitraryZVertical,0.4093789740412571,-0.3805812609801148,0.82657606325567,0.06586821081975053,-0.7269021272659302,0.5752285718917847,-0.3751335144042969,0,0,0,-1,-1,17521.93113075,unknown,2,2025-04-21T14:54:11.259+03:00,2025-04-20T21:57:49.637+03:00,6589,0.9558782,0,0,5416.758,5,6,2025-04-21T14:54:16.418+03:00,766929248.7788981,0,-46.07,100.2848,1,0.45,2025-04-21T14:52:54.481+03:00,95,1.583333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
