loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-21T16:27:04.217+03:00,1745242023.231771,40.95225055938123,29.1403145136162,75.80261,-1,-1,-1,-1,30,32.72624310773018,-9999,20008.70292441667,-0.8348388671875,0.5579833984375,-0.032958984375,20008.69788541667,1.510985494851228,-1.525646949540668,-0.5904239679701128,0.002711951266974211,-0.01080801896750927,-0.01740716956555843,-0.006323456764221191,-0.003673851490020752,0.002565562725067139,XArbitraryZVertical,0.3001657380996465,-0.6254230576167179,0.6205423193166738,0.3656141532211361,-0.829858124256134,0.5567132830619812,-0.03749305754899979,0,0,0,-1,-1,19981.40744716667,unknown,2,2025-04-21T16:26:36.905+03:00,2025-04-20T21:57:49.637+03:00,6771,0.9848602,0,0,5553.922,5,6,2025-04-21T16:23:41.500+03:00,766934822.7975621,0,-38.88,100.199,1,0.35,2025-04-21T16:27:02.480+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:27:04.219+03:00,1745242023.231771,40.95225055938123,29.1403145136162,75.80261,-1,-1,-1,-1,30,32.72624310773018,-9999,20008.71300041667,-0.82073974609375,0.56280517578125,-0.0345458984375,20008.70796241667,1.51100392034695,-1.52583170317838,-0.5901889182141776,0.009009861387312412,-0.01347058173269033,-0.02269324474036694,-0.002279579639434814,0.002899587154388428,0.003730297088623047,XArbitraryZVertical,0.3003041774128533,-0.6254155350411343,0.6204783406206351,0.3656219434582452,-0.8299957513809204,0.556518018245697,-0.03734561800956726,0,0,0,-1,-1,19981.40744716667,unknown,2,2025-04-21T16:26:36.905+03:00,2025-04-20T21:57:49.637+03:00,6771,0.9848602,0,0,5553.922,5,6,2025-04-21T16:23:41.500+03:00,766934822.7975621,0,-38.88,100.199,1,0.35,2025-04-21T16:27:02.480+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:27:04.225+03:00,1745242023.231771,40.95225055938123,29.1403145136162,75.80261,-1,-1,-1,-1,30,32.72624310773018,-9999,20008.72307641667,-0.82568359375,0.559173583984375,-0.039215087890625,20008.71803841667,1.511092229902854,-1.525867521580874,-0.5899366475814394,0.002686451654881239,-0.01186895649880171,-0.02211853489279747,0.009565353393554688,0.006923913955688477,0.001952171325683594,XArbitraryZVertical,0.3004238102115194,-0.6253674432929164,0.6204465643796944,0.3656597382921916,-0.8301372528076172,0.556308388710022,-0.03732218965888023,0,0,0,-1,-1,19981.40744716667,unknown,2,2025-04-21T16:26:36.905+03:00,2025-04-20T21:57:49.637+03:00,6771,0.9848602,0,0,5553.922,5,6,2025-04-21T16:23:41.500+03:00,766934822.7975621,0,-38.88,100.199,1,0.35,2025-04-21T16:27:02.480+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:27:04.235+03:00,1745242023.231771,40.95225055938123,29.1403145136162,75.80261,-1,-1,-1,-1,30,32.72624310773018,-9999,20008.73315341667,-0.827789306640625,0.552215576171875,-0.041351318359375,20008.72811541667,1.511091871018519,-1.525934035583602,-0.5897382598655334,-0.004124316852539778,-0.01149398274719715,-0.02163024432957172,0.003635644912719727,0.001381993293762207,-0.001867055892944336,XArbitraryZVertical,0.3005079086455172,-0.6253471306998791,0.6204030617523625,0.3656992535513668,-0.8302500247955322,0.5561435222625732,-0.03727192431688309,0,0,0,-1,-1,19981.40744716667,unknown,2,2025-04-21T16:26:36.905+03:00,2025-04-20T21:57:49.637+03:00,6771,0.9848602,0,0,5553.922,5,6,2025-04-21T16:23:41.500+03:00,766934822.7975621,0,-38.88,100.199,1,0.35,2025-04-21T16:27:02.480+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:27:04.245+03:00,1745242023.231771,40.95225055938123,29.1403145136162,75.80261,-1,-1,-1,-1,30,32.72624310773018,-9999,20008.74322941667,-0.8280487060546875,0.5522003173828125,-0.0417327880859375,20008.73819141667,1.511028535471625,-1.526044581671167,-0.5895860577810266,-0.007358992006629705,-0.01170703582465649,-0.01831034757196903,0.002854585647583008,-0.004396677017211914,-0.004167616367340088,XArbitraryZVertical,0.300571173334846,-0.6253519036937882,0.6203492012880963,0.365730505179868,-0.830338716506958,0.5560170412063599,-0.03718393296003342,0,0,0,-1,-1,19981.40744716667,unknown,2,2025-04-21T16:26:36.905+03:00,2025-04-20T21:57:49.637+03:00,6771,0.9848602,0,0,5553.922,5,6,2025-04-21T16:23:41.500+03:00,766934822.7975621,0,-38.88,100.199,1,0.35,2025-04-21T16:27:02.480+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:27:04.255+03:00,1745242023.231771,40.95225055938123,29.1403145136162,75.80261,-1,-1,-1,-1,30,32.72624310773018,-9999,20008.75330541667,-0.8301239013671875,0.554595947265625,-0.040863037109375,20008.74826741667,1.510958350676999,-1.526148142631166,-0.5893948205162743,-0.001957036089152098,-0.01203593611717224,-0.01640738546848297,0.002506852149963379,-0.003734171390533447,-0.00467604398727417,XArbitraryZVertical,0.3006426740078231,-0.6253500147132234,0.6202885233123843,0.3657777830021398,-0.8304486870765686,0.5558580756187439,-0.03710268437862396,0,0,0,-1,-1,19981.40744716667,unknown,2,2025-04-21T16:26:36.905+03:00,2025-04-20T21:57:49.637+03:00,6771,0.9848602,0,0,5553.922,5,6,2025-04-21T16:23:41.500+03:00,766934822.7975621,0,-38.88,100.199,1,0.35,2025-04-21T16:27:02.480+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:27:04.265+03:00,1745242023.231771,40.95225055938123,29.1403145136162,75.80261,-1,-1,-1,-1,30,32.72624310773018,-9999,20008.76338241667,-0.8291473388671875,0.5573883056640625,-0.0371551513671875,20008.75834441667,1.510959662699753,-1.52621335437949,-0.5892501220109321,0.002130383625626564,-0.008835615590214729,-0.01551868952810764,0.0006364583969116211,-0.0006537437438964844,-0.003307577222585678,XArbitraryZVertical,0.3007097036061847,-0.6253380037896136,0.6202545323215796,0.365800799090458,-0.8305314183235168,0.5557377338409424,-0.03705210983753204,0,0,0,-1,-1,19981.40744716667,unknown,2,2025-04-21T16:26:36.905+03:00,2025-04-20T21:57:49.637+03:00,6771,0.9848602,0,0,5553.922,5,6,2025-04-21T16:23:41.500+03:00,766934822.7975621,0,-38.88,100.199,1,0.35,2025-04-21T16:27:02.480+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:27:04.275+03:00,1745242023.231771,40.95225055938123,29.1403145136162,75.80261,-1,-1,-1,-1,30,32.72624310773018,-9999,20008.77345841667,-0.8305511474609375,0.55401611328125,-0.03741455078125,20008.76842041667,1.510992448553244,-1.526257712330038,-0.5891444140288227,0.001811403315514326,-0.003446643706411123,-0.01031310763210058,0.001169919967651367,0.0009448528289794922,0.0001066923141479492,XArbitraryZVertical,0.3007675420851439,-0.6253238679625821,0.6202360361825641,0.3658089478165122,-0.8305918574333191,0.5556498765945435,-0.03701789304614067,0,0,0,-1,-1,19981.40744716667,unknown,2,2025-04-21T16:26:36.905+03:00,2025-04-20T21:57:49.637+03:00,6771,0.9848602,0,0,5553.922,5,6,2025-04-21T16:23:41.500+03:00,766934822.7975621,0,-38.88,100.199,1,0.35,2025-04-21T16:27:02.480+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:27:04.285+03:00,1745242023.231771,40.95225055938123,29.1403145136162,75.80261,-1,-1,-1,-1,30,32.72624310773018,-9999,20008.78353441667,-0.831298828125,0.5513458251953125,-0.036651611328125,20008.77849641667,1.511045807615949,-1.526257379117395,-0.5890201363296829,0.007755578961223364,-0.0001480523496866226,-0.009441455826163292,-0.0001649856567382812,-0.002552926540374756,-0.0008207559585571289,XArbitraryZVertical,0.3008239603994448,-0.6252953894999452,0.620224863397104,0.3658301476541401,-0.8306608200073242,0.5555465221405029,-0.03702124208211899,0,0,0,-1,-1,19981.40744716667,unknown,2,2025-04-21T16:26:36.905+03:00,2025-04-20T21:57:49.637+03:00,6771,0.9848602,0,0,5553.922,5,6,2025-04-21T16:23:41.500+03:00,766934822.7975621,0,-38.88,100.199,1,0.35,2025-04-21T16:27:02.480+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:27:04.296+03:00,1745242023.231771,40.95225055938123,29.1403145136162,75.80261,-1,-1,-1,-1,30,32.72624310773018,-9999,20008.79361141667,-0.8295135498046875,0.55596923828125,-0.0369415283203125,20008.78857341667,1.511116757348345,-1.526222116779596,-0.5889360906256567,0.004638814833015203,-0.0004698284901678562,-0.008994076400995255,-0.0002417564392089844,-0.003627479076385498,0.001072172075510025,XArbitraryZVertical,0.3008621926151048,-0.6252644544988964,0.6202289366329966,0.3658444933125476,-0.830706000328064,0.5554766654968262,-0.03705260530114174,0,0,0,-1,-1,19981.40744716667,unknown,2,2025-04-21T16:26:36.905+03:00,2025-04-20T21:57:49.637+03:00,6771,0.9848602,0,0,5553.922,5,6,2025-04-21T16:23:41.500+03:00,766934822.7975621,0,-38.88,100.199,1,0.35,2025-04-21T16:27:02.480+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
