loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T12:15:40.250+03:00,1745313339.469681,40.95212370955056,29.14023444794606,75.95811,-1,-1,-1,-1,30,23.14434125577553,-9999,29675.55936241667,-0.823974609375,0.5058441162109375,-0.2235107421875,29675.55686141667,-1.093872661873446,-1.284599223340588,-0.530935769076034,-0.005097060464322567,0.05014688521623611,0.04780517518520355,0.004961609840393066,0.007300734519958496,0.02560746669769287,XArbitraryZVertical,-0.4800620926038634,-0.3844728547440608,-0.2676078979554071,0.7416920267740811,-0.8272576928138733,0.506340503692627,-0.24344202876091,0,0,0,-1,-1,29661.316794875,unknown,2,2025-04-22T12:15:07.401+03:00,2025-04-21T17:08:51.449+03:00,7224,0.9707136,0,0,6027.237,5,20,2025-04-22T12:15:09.980+03:00,767006094.6096033,0,-20.45,100.4477,1,0.85,2025-04-22T12:14:03.331+03:00,112,1.866666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:15:40.253+03:00,1745313339.469681,40.95212370955056,29.14023444794606,75.95811,-1,-1,-1,-1,30,23.14434125577553,-9999,29675.56943841667,-0.815521240234375,0.494384765625,-0.222991943359375,29675.56693641667,-1.093705088914878,-1.283780026897832,-0.5314510253009663,0.05919391289353371,0.2053794860839844,0.0602339468896389,0.003367125988006592,-0.001169681549072266,0.0200924277305603,XArbitraryZVertical,-0.480069291912733,-0.3840711049100458,-0.2675870423050803,0.741902968442686,-0.8268076181411743,0.5067847371101379,-0.2440457195043564,0,0,0,-1,-1,29661.316794875,unknown,2,2025-04-22T12:15:07.401+03:00,2025-04-21T17:08:51.449+03:00,7224,0.9707136,0,0,6027.237,5,20,2025-04-22T12:15:09.980+03:00,767006094.6096033,0,-20.45,100.4477,1,0.85,2025-04-22T12:14:03.331+03:00,112,1.866666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:15:40.254+03:00,1745313339.469681,40.95212370955056,29.14023444794606,75.95811,-1,-1,-1,-1,30,23.14434125577553,-9999,29675.57951441667,-0.8119354248046875,0.4687042236328125,-0.23333740234375,29675.57701241667,-1.093209209481912,-1.282600259051753,-0.5311718367553602,-0.05827945470809937,0.09431634843349457,0.01848490163683891,0.01261353492736816,-0.01489073038101196,0.02126047015190125,XArbitraryZVertical,-0.4797354144551813,-0.3838272153819212,-0.2677702769058627,0.7421790021634234,-0.8266547918319702,0.5065440535545349,-0.2450612038373947,0,0,0,-1,-1,29661.316794875,unknown,2,2025-04-22T12:15:07.401+03:00,2025-04-21T17:08:51.449+03:00,7224,0.9707136,0,0,6027.237,5,20,2025-04-22T12:15:09.980+03:00,767006094.6096033,0,-20.45,100.4477,1,0.85,2025-04-22T12:14:03.331+03:00,112,1.866666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:15:40.255+03:00,1745313339.469681,40.95212370955056,29.14023444794606,75.95811,-1,-1,-1,-1,30,23.14434125577553,-9999,29675.58959041667,-0.816162109375,0.4996490478515625,-0.22540283203125,29675.58708841667,-1.093345752066698,-1.282176126004089,-0.5314312369508672,-0.008277140557765961,0.04400110989809036,0.004114951472729445,0.01319229602813721,-0.04262596368789673,0.01189962029457092,XArbitraryZVertical,-0.4797798821441281,-0.3835675449433699,-0.2678445725196272,0.742257753075742,-0.8264248371124268,0.5067676901817322,-0.2453744113445282,0,0,0,-1,-1,29661.316794875,unknown,2,2025-04-22T12:15:07.401+03:00,2025-04-21T17:08:51.449+03:00,7224,0.9707136,0,0,6027.237,5,20,2025-04-22T12:15:09.980+03:00,767006094.6096033,0,-20.45,100.4477,1,0.85,2025-04-22T12:14:03.331+03:00,112,1.866666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:15:40.262+03:00,1745313339.469681,40.95212370955056,29.14023444794606,75.95811,-1,-1,-1,-1,30,23.14434125577553,-9999,29675.59966641667,-0.81768798828125,0.546356201171875,-0.2426605224609375,29675.59716441667,-1.093500190461236,-1.282014720403749,-0.5315618761476772,-0.01399148534983397,0.02514779381453991,-0.003999699838459492,0.01208215951919556,0.005280792713165283,0.02043700218200684,XArbitraryZVertical,-0.4798257377154464,-0.3834355385311913,-0.2679012350535807,0.7422757623325142,-0.8263216018676758,0.5068803429603577,-0.2454888969659805,0,0,0,-1,-1,29661.316794875,unknown,2,2025-04-22T12:15:07.401+03:00,2025-04-21T17:08:51.449+03:00,7224,0.9707136,0,0,6027.237,5,20,2025-04-22T12:15:09.980+03:00,767006094.6096033,0,-20.45,100.4477,1,0.85,2025-04-22T12:14:03.331+03:00,112,1.866666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:15:40.272+03:00,1745313339.469681,40.95212370955056,29.14023444794606,75.95811,-1,-1,-1,-1,30,23.14434125577553,-9999,29675.60974241667,-0.8231048583984375,0.499969482421875,-0.2434539794921875,29675.60724041667,-1.093749141187162,-1.282142746765183,-0.5315640405719191,-0.008857309818267822,0.00773298367857933,-0.01005273219197989,0.00605475902557373,0.03324824571609497,0.0001893192529678345,XArbitraryZVertical,-0.47989125941313,-0.3834227301724226,-0.2679622456654694,0.7422179558956129,-0.8263519406318665,0.5068821907043457,-0.2453827708959579,0,0,0,-1,-1,29661.316794875,unknown,2,2025-04-22T12:15:07.401+03:00,2025-04-21T17:08:51.449+03:00,7224,0.9707136,0,0,6027.237,5,20,2025-04-22T12:15:09.980+03:00,767006094.6096033,0,-20.45,100.4477,1,0.85,2025-04-22T12:14:03.331+03:00,112,1.866666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:15:40.282+03:00,1745313339.469681,40.95212370955056,29.14023444794606,75.95811,-1,-1,-1,-1,30,23.14434125577553,-9999,29675.61981841667,-0.8177337646484375,0.51544189453125,-0.2296600341796875,29675.61731641667,-1.093925657740576,-1.2822926199189,-0.5314719222138337,-0.006605341099202633,0.005726824514567852,-0.0123856607824564,0.004335701465606689,-0.007550537586212158,0.004045933485031128,XArbitraryZVertical,-0.479918497423898,-0.3834607124105566,-0.2680195514815135,0.742160093987511,-0.826433539390564,0.5068027973175049,-0.245272234082222,0,0,0,-1,-1,29661.316794875,unknown,2,2025-04-22T12:15:07.401+03:00,2025-04-21T17:08:51.449+03:00,7224,0.9707136,0,0,6027.237,5,20,2025-04-22T12:15:09.980+03:00,767006094.6096033,0,-20.45,100.4477,1,0.85,2025-04-22T12:14:03.331+03:00,112,1.866666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:15:40.292+03:00,1745313339.469681,40.95212370955056,29.14023444794606,75.95811,-1,-1,-1,-1,30,23.14434125577553,-9999,29675.62989441667,-0.826385498046875,0.519561767578125,-0.2297210693359375,29675.62739241667,-1.094115057287714,-1.282454086565962,-0.5314883898242198,-0.009329156018793583,0.006773779634386301,-0.01576012000441551,0.007785379886627197,0.01079148054122925,0.01630029082298279,XArbitraryZVertical,-0.479981239027667,-0.3834707443033883,-0.2680461068032827,0.7421046868934347,-0.8264650702476501,0.5068169832229614,-0.2451363950967789,0,0,0,-1,-1,29661.316794875,unknown,2,2025-04-22T12:15:07.401+03:00,2025-04-21T17:08:51.449+03:00,7224,0.9707136,0,0,6027.237,5,20,2025-04-22T12:15:09.980+03:00,767006094.6096033,0,-20.45,100.4477,1,0.85,2025-04-22T12:14:03.331+03:00,112,1.866666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:15:40.303+03:00,1745313339.469681,40.95212370955056,29.14023444794606,75.95811,-1,-1,-1,-1,30,23.14434125577553,-9999,29675.63997041667,-0.8218231201171875,0.508697509765625,-0.22772216796875,29675.63746841667,-1.094400746560832,-1.282700425804579,-0.5314536601985436,-0.0160531047731638,0.001355844549834728,-0.01471962314099073,0.0002789497375488281,0.01158446073532104,0.01610174775123596,XArbitraryZVertical,-0.4800589390201062,-0.3835029237954521,-0.2681034794270853,0.7420171915416908,-0.8265424966812134,0.5067870616912842,-0.244937852025032,0,0,0,-1,-1,29661.316794875,unknown,2,2025-04-22T12:15:07.401+03:00,2025-04-21T17:08:51.449+03:00,7224,0.9707136,0,0,6027.237,5,20,2025-04-22T12:15:09.980+03:00,767006094.6096033,0,-20.45,100.4477,1,0.85,2025-04-22T12:14:03.331+03:00,112,1.866666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:15:40.312+03:00,1745313339.469681,40.95212370955056,29.14023444794606,75.95811,-1,-1,-1,-1,30,23.14434125577553,-9999,29675.65004641667,-0.8187408447265625,0.5060882568359375,-0.229400634765625,29675.64754441667,-1.094707457501988,-1.282949912142523,-0.5313762921032574,-0.02104480192065239,0.002998349256813526,-0.01267784368246794,0.0055808424949646,0.001961767673492432,0.01641011238098145,XArbitraryZVertical,-0.4801288756833175,-0.3835425747495319,-0.2681806481512879,0.7419234347946815,-0.8266410231590271,0.5067203640937805,-0.2447427064180374,0,0,0,-1,-1,29661.316794875,unknown,2,2025-04-22T12:15:07.401+03:00,2025-04-21T17:08:51.449+03:00,7224,0.9707136,0,0,6027.237,5,20,2025-04-22T12:15:09.980+03:00,767006094.6096033,0,-20.45,100.4477,1,0.85,2025-04-22T12:14:03.331+03:00,112,1.866666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
