loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-21T10:41:50.743+03:00,1745221310.133824,40.95362769991429,29.1409764702767,93.06094,-1,-1,-1,-1,30,25.31866889715085,-9999,12278.22832066667,-0.7752838134765625,0.47705078125,-0.4270477294921875,12278.21824466667,-1.940818616767163,-1.06034225545164,-0.4866003728275308,0.03629537671804428,0.01757002249360085,-0.03347000852227211,-0.01863938570022583,-0.005358517169952393,0.006784379482269287,XArbitraryZVertical,0.522376396185306,0.1057878895342294,0.6220554958213778,-0.5735667347314511,-0.7712470293045044,0.4676235616207123,-0.4318636357784271,0,0,0,-1,-1,12269.271095375,unknown,2,2025-04-21T10:41:41.760+03:00,2025-04-20T21:57:49.637+03:00,1464,1.041328,0,0,1097.988,1,4,2025-04-21T10:25:37.107+03:00,766914109.5956278,0,-47.6,100.3025,1,0.7,2025-04-21T10:41:46.384+03:00,103,1.716666666666667,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T10:41:50.745+03:00,1745221310.133824,40.95362769991429,29.1409764702767,93.06094,-1,-1,-1,-1,30,25.31866889715085,-9999,12278.23839566667,-0.7718505859375,0.4651336669921875,-0.4256134033203125,12278.22832066667,-1.940590911533473,-1.060001031490889,-0.4862343491874097,0.03973138704895973,0.0162336491048336,-0.0324404314160347,-0.01116073131561279,0.01734969019889832,0.00182110071182251,XArbitraryZVertical,0.5221900113946558,0.1058885192150802,0.6221614044974983,-0.5736029878131342,-0.7712488770484924,0.4672999978065491,-0.4322104156017303,0,0,0,-1,-1,12269.271095375,unknown,2,2025-04-21T10:41:41.760+03:00,2025-04-20T21:57:49.637+03:00,1464,1.041328,0,0,1097.988,1,4,2025-04-21T10:25:37.107+03:00,766914109.5956278,0,-47.6,100.3025,1,0.7,2025-04-21T10:41:46.384+03:00,103,1.716666666666667,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T10:41:50.746+03:00,1745221310.133824,40.95362769991429,29.1409764702767,93.06094,-1,-1,-1,-1,30,25.31866889715085,-9999,12278.24847166667,-0.76397705078125,0.465576171875,-0.427825927734375,12278.23839566667,-1.940321350137203,-1.059668007861874,-0.4857009305959165,0.04101316258311272,0.00935736671090126,-0.03283897787332535,-0.003961563110351562,0.01022246479988098,0.005541443824768066,XArbitraryZVertical,0.5219726492351238,0.106065986876748,0.6222906539574883,-0.5736278387019808,-0.7713221907615662,0.4668283462524414,-0.4325891137123108,0,0,0,-1,-1,12269.271095375,unknown,2,2025-04-21T10:41:41.760+03:00,2025-04-20T21:57:49.637+03:00,1464,1.041328,0,0,1097.988,1,4,2025-04-21T10:25:37.107+03:00,766914109.5956278,0,-47.6,100.3025,1,0.7,2025-04-21T10:41:46.384+03:00,103,1.716666666666667,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T10:41:50.755+03:00,1745221310.133824,40.95362769991429,29.1409764702767,93.06094,-1,-1,-1,-1,30,25.31866889715085,-9999,12278.25854766667,-0.770965576171875,0.4640045166015625,-0.4288177490234375,12278.24847166667,-1.94012164020489,-1.059502769834848,-0.4850635856678868,0.03906426206231117,0.01265808846801519,-0.03219502419233322,-0.0003404617309570312,-0.001130908727645874,0.00724869966506958,XArbitraryZVertical,0.5217916832995734,0.1063127842654361,0.6224193647496149,-0.5736071516729223,-0.7715100646018982,0.4662646055221558,-0.4328620731830597,0,0,0,-1,-1,12269.271095375,unknown,2,2025-04-21T10:41:41.760+03:00,2025-04-20T21:57:49.637+03:00,1464,1.041328,0,0,1097.988,1,4,2025-04-21T10:25:37.107+03:00,766914109.5956278,0,-47.6,100.3025,1,0.7,2025-04-21T10:41:46.384+03:00,103,1.716666666666667,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T10:41:50.762+03:00,1745221310.133824,40.95362769991429,29.1409764702767,93.06094,-1,-1,-1,-1,30,25.31866889715085,-9999,12278.26862266667,-0.7736968994140625,0.4590606689453125,-0.4277801513671875,12278.25854766667,-1.939953099167536,-1.059324794942837,-0.4846558719262781,0.03339758887887001,-7.639173418283463e-06,-0.02590889669954777,0.007621705532073975,-0.00032767653465271,0.005266487598419189,XArbitraryZVertical,0.5216511872147224,0.1064605565528038,0.6225088152503654,-0.573610465088659,-0.7715986967086792,0.4659038782119751,-0.4330923855304718,0,0,0,-1,-1,12269.271095375,unknown,2,2025-04-21T10:41:41.760+03:00,2025-04-20T21:57:49.637+03:00,1464,1.041328,0,0,1097.988,1,4,2025-04-21T10:25:37.107+03:00,766914109.5956278,0,-47.6,100.3025,1,0.7,2025-04-21T10:41:46.384+03:00,103,1.716666666666667,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T10:41:50.772+03:00,1745221310.133824,40.95362769991429,29.1409764702767,93.06094,-1,-1,-1,-1,30,25.31866889715085,-9999,12278.27869866667,-0.76995849609375,0.457183837890625,-0.423248291015625,12278.26862266667,-1.939817428025959,-1.059295141426622,-0.4843412549081569,0.02971976436674595,-0.001899548806250095,-0.02786818519234657,0.0007480382919311523,-0.001620888710021973,0.004369258880615234,XArbitraryZVertical,0.5215759433646333,0.1066069296840915,0.6225481320943227,-0.5736090597680976,-0.7717136740684509,0.4656254947185516,-0.4331870079040527,0,0,0,-1,-1,12269.271095375,unknown,2,2025-04-21T10:41:41.760+03:00,2025-04-20T21:57:49.637+03:00,1464,1.041328,0,0,1097.988,1,4,2025-04-21T10:25:37.107+03:00,766914109.5956278,0,-47.6,100.3025,1,0.7,2025-04-21T10:41:46.384+03:00,103,1.716666666666667,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T10:41:50.785+03:00,1745221310.133824,40.95362769991429,29.1409764702767,93.06094,-1,-1,-1,-1,30,25.31866889715085,-9999,12278.28877466667,-0.7672576904296875,0.4562835693359375,-0.4237823486328125,12278.27869866667,-1.939687202603486,-1.059307134445265,-0.484042694129158,0.02821560949087143,-0.005497745238244534,-0.01977044530212879,-0.001856863498687744,-0.006300568580627441,0.00546562671661377,XArbitraryZVertical,0.5215169600797427,0.1067576736608664,0.6225744704958277,-0.573605933775227,-0.77183997631073,0.4653612375259399,-0.4332457184791565,0,0,0,-1,-1,12269.271095375,unknown,2,2025-04-21T10:41:41.760+03:00,2025-04-20T21:57:49.637+03:00,1464,1.041328,0,0,1097.988,1,4,2025-04-21T10:25:37.107+03:00,766914109.5956278,0,-47.6,100.3025,1,0.7,2025-04-21T10:41:46.384+03:00,103,1.716666666666667,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T10:41:50.792+03:00,1745221310.133824,40.95362769991429,29.1409764702767,93.06094,-1,-1,-1,-1,30,25.31866889715085,-9999,12278.29884966667,-0.76153564453125,0.4544219970703125,-0.4279632568359375,12278.28877466667,-1.939489512673932,-1.059342176243739,-0.4838129355723901,0.03407562896609306,-0.007730007171630859,-0.009237376973032951,0.001989960670471191,-0.007974028587341309,0.01002281904220581,XArbitraryZVertical,0.5214743285035022,0.1069065484545024,0.6225601357947,-0.5736326248544968,-0.7719483971595764,0.4651578664779663,-0.4332710206508636,0,0,0,-1,-1,12269.271095375,unknown,2,2025-04-21T10:41:41.760+03:00,2025-04-20T21:57:49.637+03:00,1464,1.041328,0,0,1097.988,1,4,2025-04-21T10:25:37.107+03:00,766914109.5956278,0,-47.6,100.3025,1,0.7,2025-04-21T10:41:46.384+03:00,103,1.716666666666667,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T10:41:50.802+03:00,1745221310.133824,40.95362769991429,29.1409764702767,93.06094,-1,-1,-1,-1,30,25.31866889715085,-9999,12278.30892566667,-0.760711669921875,0.4559173583984375,-0.4282989501953125,12278.29884966667,-1.939250513627633,-1.059400757941335,-0.4835308756913094,0.0343456044793129,-0.01629985868930817,-0.008510766550898552,0.004830539226531982,-0.00862458348274231,0.009507715702056885,XArbitraryZVertical,0.5214270335660743,0.1070927519290847,0.6225394556335266,-0.5736632815270488,-0.7720881700515747,0.4649081528186798,-0.4332899749279022,0,0,0,-1,-1,12269.271095375,unknown,2,2025-04-21T10:41:41.760+03:00,2025-04-20T21:57:49.637+03:00,1464,1.041328,0,0,1097.988,1,4,2025-04-21T10:25:37.107+03:00,766914109.5956278,0,-47.6,100.3025,1,0.7,2025-04-21T10:41:46.384+03:00,103,1.716666666666667,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T10:41:50.812+03:00,1745221310.133824,40.95362769991429,29.1409764702767,93.06094,-1,-1,-1,-1,30,25.31866889715085,-9999,12278.31900066667,-0.7583465576171875,0.458831787109375,-0.4302520751953125,12278.30892566667,-1.939006615576812,-1.059515376846886,-0.4834101464033042,0.02244074456393719,-0.02068422175943851,-0.001052050734870136,0.01065117120742798,-0.01037925481796265,0.005265712738037109,XArbitraryZVertical,0.5214270548157358,0.1072350524534227,0.6224666432500912,-0.5737156788687378,-0.7721867561340332,0.4648012816905975,-0.4332289397716522,0,0,0,-1,-1,12269.271095375,unknown,2,2025-04-21T10:41:41.760+03:00,2025-04-20T21:57:49.637+03:00,1464,1.041328,0,0,1097.988,1,4,2025-04-21T10:25:37.107+03:00,766914109.5956278,0,-47.6,100.3025,1,0.7,2025-04-21T10:41:46.384+03:00,103,1.716666666666667,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
