loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-30T12:05:26.099+03:00,1746003925.099867,40.95226695023776,29.14029258169347,76.49437,-1,-1,-1,-1,30,23.52888653378506,-9999,11629.877124125,-0.5960235595703125,0.6376190185546875,-0.4875640869140625,11629.872086125,-0.257544591461518,-0.8700991071794641,-0.6900589446336418,-0.01878760941326618,-0.02139976434409618,-0.0155678354203701,-0.01304805278778076,-0.01107901334762573,0.006743669509887695,XArbitraryZVertical,0.3551111945316092,0.3539454010197169,-0.03177481435154113,-0.8646440221688092,-0.5895063877105713,0.636582612991333,-0.4972373843193054,0,0,0,-1,-1,11626.41096479167,unknown,2,2025-04-30T12:05:22.605+03:00,2025-04-30T12:00:08.093+03:00,78,0.8511127,0,0,67.24366,0,0,2025-04-30T12:05:25.185+03:00,767696725.2885216,0,1.72,100.9503,1,0.8,2025-04-30T12:05:06.899+03:00,94,1.566666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:05:26.100+03:00,1746003925.099867,40.95226695023776,29.14029258169347,76.49437,-1,-1,-1,-1,30,23.52888653378506,-9999,11629.887200125,-0.5834503173828125,0.644927978515625,-0.4878997802734375,11629.882162125,-0.2578162051041981,-0.8704761310201884,-0.6900084403313181,-0.01329823583364487,-0.01489679142832756,-0.01372622698545456,-0.006305277347564697,0.001075387001037598,0.0094718337059021,XArbitraryZVertical,0.3551323864521244,0.354066506010859,-0.031713416265879,-0.8645879652433768,-0.5897183418273926,0.6365436911582947,-0.497035801410675,0,0,0,-1,-1,11626.41096479167,unknown,2,2025-04-30T12:05:22.605+03:00,2025-04-30T12:00:08.093+03:00,78,0.8511127,0,0,67.24366,0,0,2025-04-30T12:05:25.185+03:00,767696725.2885216,0,1.72,100.9503,1,0.8,2025-04-30T12:05:06.899+03:00,94,1.566666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:05:26.102+03:00,1746003925.099867,40.95226695023776,29.14029258169347,76.49437,-1,-1,-1,-1,30,23.52888653378506,-9999,11629.897276125,-0.595977783203125,0.6342926025390625,-0.49395751953125,11629.892238125,-0.2580370822806931,-0.8707008176401715,-0.6899093124792534,-0.007968184538185596,-0.00815180316567421,-0.01654092222452164,0.0064278244972229,0.008460819721221924,0.009044229984283447,XArbitraryZVertical,0.3551269153715114,0.3541368701490834,-0.03163638423969973,-0.8645641747235804,-0.589878261089325,0.6364672183990479,-0.4969438910484314,0,0,0,-1,-1,11626.41096479167,unknown,2,2025-04-30T12:05:22.605+03:00,2025-04-30T12:00:08.093+03:00,78,0.8511127,0,0,67.24366,0,0,2025-04-30T12:05:25.185+03:00,767696725.2885216,0,1.72,100.9503,1,0.8,2025-04-30T12:05:06.899+03:00,94,1.566666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:05:26.108+03:00,1746003925.099867,40.95226695023776,29.14029258169347,76.49437,-1,-1,-1,-1,30,23.52888653378506,-9999,11629.907352125,-0.5897674560546875,0.6334228515625,-0.49542236328125,11629.902314125,-0.2582480362310343,-0.8709056814085561,-0.6897899707747148,-0.008597557432949543,-0.01122702099382877,-0.01889465749263763,-0.005939722061157227,-0.002082586288452148,0.002914518117904663,XArbitraryZVertical,0.3551116587261345,0.35420297308684,-0.03155574617051751,-0.8645462499880494,-0.5900380611419678,0.6363751888275146,-0.4968719184398651,0,0,0,-1,-1,11626.41096479167,unknown,2,2025-04-30T12:05:22.605+03:00,2025-04-30T12:00:08.093+03:00,78,0.8511127,0,0,67.24366,0,0,2025-04-30T12:05:25.185+03:00,767696725.2885216,0,1.72,100.9503,1,0.8,2025-04-30T12:05:06.899+03:00,94,1.566666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:05:26.116+03:00,1746003925.099867,40.95226695023776,29.14029258169347,76.49437,-1,-1,-1,-1,30,23.52888653378506,-9999,11629.917428125,-0.5833282470703125,0.6339874267578125,-0.4958343505859375,11629.912390125,-0.2584428655567635,-0.8711483207285817,-0.6896360043848554,-0.003379092551767826,-0.01350349187850952,-0.01873832941055298,0.0004661083221435547,-0.002833545207977295,0.001369565725326538,XArbitraryZVertical,0.3550786231061501,0.3542926185283767,-0.03148126280841784,-0.8645257865026752,-0.5902335643768311,0.6362563967704773,-0.496791809797287,0,0,0,-1,-1,11626.41096479167,unknown,2,2025-04-30T12:05:22.605+03:00,2025-04-30T12:00:08.093+03:00,78,0.8511127,0,0,67.24366,0,0,2025-04-30T12:05:25.185+03:00,767696725.2885216,0,1.72,100.9503,1,0.8,2025-04-30T12:05:06.899+03:00,94,1.566666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:05:26.127+03:00,1746003925.099867,40.95226695023776,29.14029258169347,76.49437,-1,-1,-1,-1,30,23.52888653378506,-9999,11629.927504125,-0.5839385986328125,0.6293182373046875,-0.4999542236328125,11629.922466125,-0.2586614656417793,-0.8714204659499367,-0.6895420737647604,-0.01110572181642056,-0.01743511669337749,-0.01603162474930286,0.007086217403411865,-0.002196431159973145,0.000835418701171875,XArbitraryZVertical,0.3550741829661196,0.3543832471363824,-0.03141472132083288,-0.8644929274819843,-0.5904145240783691,0.6361839175224304,-0.4966696798801422,0,0,0,-1,-1,11626.41096479167,unknown,2,2025-04-30T12:05:22.605+03:00,2025-04-30T12:00:08.093+03:00,78,0.8511127,0,0,67.24366,0,0,2025-04-30T12:05:25.185+03:00,767696725.2885216,0,1.72,100.9503,1,0.8,2025-04-30T12:05:06.899+03:00,94,1.566666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:05:26.137+03:00,1746003925.099867,40.95226695023776,29.14029258169347,76.49437,-1,-1,-1,-1,30,23.52888653378506,-9999,11629.937580125,-0.58477783203125,0.6243133544921875,-0.4985504150390625,11629.932542125,-0.2588984815865852,-0.8717632022747499,-0.6895804045030161,-0.01239895354956388,-0.02482565492391586,-0.0165429525077343,0.006627380847930908,-0.006895184516906738,-0.003502488136291504,XArbitraryZVertical,0.3551266508219802,0.3544844775078207,-0.03138142090517636,-0.8644311265218708,-0.590566098690033,0.6362135410308838,-0.4964516460895538,0,0,0,-1,-1,11626.41096479167,unknown,2,2025-04-30T12:05:22.605+03:00,2025-04-30T12:00:08.093+03:00,78,0.8511127,0,0,67.24366,0,0,2025-04-30T12:05:25.185+03:00,767696725.2885216,0,1.72,100.9503,1,0.8,2025-04-30T12:05:06.899+03:00,94,1.566666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:05:26.147+03:00,1746003925.099867,40.95226695023776,29.14029258169347,76.49437,-1,-1,-1,-1,30,23.52888653378506,-9999,11629.947656125,-0.5887451171875,0.62835693359375,-0.494384765625,11629.942618125,-0.2591507199907548,-0.8721300661259032,-0.6896267830235697,-0.01667918637394905,-0.0213472992181778,-0.01203661691397429,0.005947649478912354,-0.01193588972091675,-0.002334356307983398,XArbitraryZVertical,0.3551848059054084,0.3545924083182863,-0.03134761162926275,-0.8643641779952119,-0.5907255411148071,0.636249303817749,-0.4962159693241119,0,0,0,-1,-1,11626.41096479167,unknown,2,2025-04-30T12:05:22.605+03:00,2025-04-30T12:00:08.093+03:00,78,0.8511127,0,0,67.24366,0,0,2025-04-30T12:05:25.185+03:00,767696725.2885216,0,1.72,100.9503,1,0.8,2025-04-30T12:05:06.899+03:00,94,1.566666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:05:26.157+03:00,1746003925.099867,40.95226695023776,29.14029258169347,76.49437,-1,-1,-1,-1,30,23.52888653378506,-9999,11629.957733125,-0.5913543701171875,0.6324920654296875,-0.490203857421875,11629.952694125,-0.2594466711082249,-0.8725817415299545,-0.6895790498205217,-0.01366022601723671,-0.02183945290744305,-0.01505584269762039,0.002227663993835449,-0.007855474948883057,0.00158393383026123,XArbitraryZVertical,0.3552104748739455,0.3547410607256863,-0.03128958052997621,-0.8642947141837445,-0.590972900390625,0.6362124681472778,-0.4959686100482941,0,0,0,-1,-1,11626.41096479167,unknown,2,2025-04-30T12:05:22.605+03:00,2025-04-30T12:00:08.093+03:00,78,0.8511127,0,0,67.24366,0,0,2025-04-30T12:05:25.185+03:00,767696725.2885216,0,1.72,100.9503,1,0.8,2025-04-30T12:05:06.899+03:00,94,1.566666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:05:26.167+03:00,1746003925.099867,40.95226695023776,29.14029258169347,76.49437,-1,-1,-1,-1,30,23.52888653378506,-9999,11629.967809125,-0.592529296875,0.6349029541015625,-0.4912109375,11629.962771125,-0.2597259358033756,-0.8730038045894608,-0.6895622644765393,-0.01011868752539158,-0.02130435593426228,-0.01498350407928228,-0.0001640915870666504,-0.003707408905029297,0.005522221326828003,XArbitraryZVertical,0.3552465041605671,0.3548759727600367,-0.03124024899770082,-0.8642262271049281,-0.5911902785301208,0.6361995339393616,-0.4957259297370911,0,0,0,-1,-1,11626.41096479167,unknown,2,2025-04-30T12:05:22.605+03:00,2025-04-30T12:00:08.093+03:00,78,0.8511127,0,0,67.24366,0,0,2025-04-30T12:05:25.185+03:00,767696725.2885216,0,1.72,100.9503,1,0.8,2025-04-30T12:05:06.899+03:00,94,1.566666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
