loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-21T11:31:32.204+03:00,1745224288.775065,40.95361853999372,29.1409886722274,92.00693,-1,-1,-1,-1,30,37.99608032153802,-9999,13954.46005125,-0.7613372802734375,0.5656585693359375,-0.3165740966796875,13954.44997625,-2.356612391401648,-1.180317513123827,-0.5997566246802747,0.02230892330408096,0.06219589710235596,-0.01844418607652187,-0.006468772888183594,0.02689749002456665,0.002463757991790771,XArbitraryZVertical,0.5851077809056903,-0.02341984015655793,0.6705367775863291,-0.4555005756632737,-0.7633370757102966,0.5644415616989136,-0.3142007887363434,0,0,0,-1,-1,13940.65235591667,unknown,2,2025-04-21T11:31:18.370+03:00,2025-04-20T21:57:49.637+03:00,1587,1.127823,0,0,1187.381,1,4,2025-04-21T11:21:17.391+03:00,766917091.3589115,0,-45.7,100.2813,1,0.65,2025-04-21T11:22:28.578+03:00,87,1.45,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:31:32.206+03:00,1745224288.775065,40.95361853999372,29.1409886722274,92.00693,-1,-1,-1,-1,30,37.99608032153802,-9999,13954.47012625,-0.7445831298828125,0.5518341064453125,-0.3145599365234375,13954.46005125,-2.356462714221883,-1.179710566825715,-0.5996069014455593,0.009819762781262398,0.04244882240891457,0.01851036958396435,-0.01250189542770386,0.01188433170318604,-0.003388404846191406,XArbitraryZVertical,0.584894647234424,-0.02345466904303572,0.6707124389604145,-0.4555139267404192,-0.7632243633270264,0.5643180012702942,-0.3146962523460388,0,0,0,-1,-1,13940.65235591667,unknown,2,2025-04-21T11:31:18.370+03:00,2025-04-20T21:57:49.637+03:00,1587,1.127823,0,0,1187.381,1,4,2025-04-21T11:21:17.391+03:00,766917091.3589115,0,-45.7,100.2813,1,0.65,2025-04-21T11:22:28.578+03:00,87,1.45,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:31:32.207+03:00,1745224288.775065,40.95361853999372,29.1409886722274,92.00693,-1,-1,-1,-1,30,37.99608032153802,-9999,13954.48020125,-0.750335693359375,0.5350189208984375,-0.31512451171875,13954.47012625,-2.356374969036162,-1.179414414560786,-0.5998951117868677,-0.01932893507182598,0.01277761347591877,0.02662655152380466,0.01429301500320435,-0.006542026996612549,-0.000996708869934082,XArbitraryZVertical,0.5848182715276902,-0.02361125695939934,0.670717025029696,-0.45559704972049,-0.7629806995391846,0.5645558834075928,-0.3148601949214935,0,0,0,-1,-1,13940.65235591667,unknown,2,2025-04-21T11:31:18.370+03:00,2025-04-20T21:57:49.637+03:00,1587,1.127823,0,0,1187.381,1,4,2025-04-21T11:21:17.391+03:00,766917091.3589115,0,-45.7,100.2813,1,0.65,2025-04-21T11:22:28.578+03:00,87,1.45,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:31:32.214+03:00,1745224288.775065,40.95361853999372,29.1409886722274,92.00693,-1,-1,-1,-1,30,37.99608032153802,-9999,13954.49027625,-0.7689971923828125,0.5712738037109375,-0.3195953369140625,13954.48020125,-2.3565423263158,-1.179272889365149,-0.6001423239624327,-0.01883039064705372,0.03034941665828228,0.01367133855819702,0.01779681444168091,-0.02444630861282349,0.0004771053791046143,XArbitraryZVertical,0.5847876173190862,-0.02379090886605267,0.6707432893641432,-0.455588261439416,-0.7628070116043091,0.5647599101066589,-0.314914882183075,0,0,0,-1,-1,13940.65235591667,unknown,2,2025-04-21T11:31:18.370+03:00,2025-04-20T21:57:49.637+03:00,1587,1.127823,0,0,1187.381,1,4,2025-04-21T11:21:17.391+03:00,766917091.3589115,0,-45.7,100.2813,1,0.65,2025-04-21T11:22:28.578+03:00,87,1.45,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:31:32.223+03:00,1745224288.775065,40.95361853999372,29.1409886722274,92.00693,-1,-1,-1,-1,30,37.99608032153802,-9999,13954.50035125,-0.7557830810546875,0.565643310546875,-0.320098876953125,13954.49027625,-2.356611896479818,-1.179065501176341,-0.6003694296132299,-0.009947883896529675,0.0197980385273695,0.02442042343318462,0.001545369625091553,-0.01570725440979004,-0.001733005046844482,XArbitraryZVertical,0.5847344605422924,-0.02394890953866845,0.6707709917486177,-0.4556075506266125,-0.7626231908798218,0.5649473667144775,-0.3150241076946259,0,0,0,-1,-1,13940.65235591667,unknown,2,2025-04-21T11:31:18.370+03:00,2025-04-20T21:57:49.637+03:00,1587,1.127823,0,0,1187.381,1,4,2025-04-21T11:21:17.391+03:00,766917091.3589115,0,-45.7,100.2813,1,0.65,2025-04-21T11:22:28.578+03:00,87,1.45,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:31:32.236+03:00,1745224288.775065,40.95361853999372,29.1409886722274,92.00693,-1,-1,-1,-1,30,37.99608032153802,-9999,13954.51042725,-0.7497100830078125,0.5374908447265625,-0.3148956298828125,13954.50035125,-2.356606928982361,-1.17897139570344,-0.6008514066514207,-0.03960670903325081,-0.00481116771697998,0.07054956257343292,-0.003161072731018066,0.01097947359085083,-0.006251394748687744,XArbitraryZVertical,0.5847395319885154,-0.02416085616310079,0.67069366691896,-0.4557036674477607,-0.7623417973518372,0.5653449892997742,-0.3149918615818024,0,0,0,-1,-1,13940.65235591667,unknown,2,2025-04-21T11:31:18.370+03:00,2025-04-20T21:57:49.637+03:00,1587,1.127823,0,0,1187.381,1,4,2025-04-21T11:21:17.391+03:00,766917091.3589115,0,-45.7,100.2813,1,0.65,2025-04-21T11:22:28.578+03:00,87,1.45,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:31:32.243+03:00,1745224288.775065,40.95361853999372,29.1409886722274,92.00693,-1,-1,-1,-1,30,37.99608032153802,-9999,13954.52050225,-0.7589874267578125,0.5561676025390625,-0.313568115234375,13954.51042725,-2.356850188258973,-1.179071669081112,-0.6013157093746913,-0.02526485361158848,0.003479985054582357,0.01799231767654419,0.01275640726089478,-0.01401591300964355,-0.002323418855667114,XArbitraryZVertical,0.5848053922085195,-0.02439405755498642,0.6706198339702281,-0.4557153675482799,-0.7621306777000427,0.5657278895378113,-0.3148151636123657,0,0,0,-1,-1,13940.65235591667,unknown,2,2025-04-21T11:31:18.370+03:00,2025-04-20T21:57:49.637+03:00,1587,1.127823,0,0,1187.381,1,4,2025-04-21T11:21:17.391+03:00,766917091.3589115,0,-45.7,100.2813,1,0.65,2025-04-21T11:22:28.578+03:00,87,1.45,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:31:32.256+03:00,1745224288.775065,40.95361853999372,29.1409886722274,92.00693,-1,-1,-1,-1,30,37.99608032153802,-9999,13954.53057725,-0.75,0.59442138671875,-0.3031463623046875,13954.52050225,-2.356942062428741,-1.179110550443299,-0.6014768995048699,-0.001573640154674649,0.005563642363995314,0.005782256368547678,0.006016194820404053,-0.03151333332061768,0.0003129243850708008,XArbitraryZVertical,0.5848295058269198,-0.02447625495369977,0.6705947124449037,-0.4557170040919692,-0.7620586752891541,0.5658608078956604,-0.3147507309913635,0,0,0,-1,-1,13940.65235591667,unknown,2,2025-04-21T11:31:18.370+03:00,2025-04-20T21:57:49.637+03:00,1587,1.127823,0,0,1187.381,1,4,2025-04-21T11:21:17.391+03:00,766917091.3589115,0,-45.7,100.2813,1,0.65,2025-04-21T11:22:28.578+03:00,87,1.45,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:31:32.263+03:00,1745224288.775065,40.95361853999372,29.1409886722274,92.00693,-1,-1,-1,-1,30,37.99608032153802,-9999,13954.54065225,-0.75799560546875,0.5542449951171875,-0.306549072265625,13954.53057725,-2.356981503324249,-1.179090445511227,-0.6016079335755206,-0.01096820738166571,-0.0001456420868635178,0.006707571912556887,0.008092880249023438,0.02189123630523682,0.005762577056884766,XArbitraryZVertical,0.5848321862597381,-0.02454453707286383,0.6705814148129087,-0.4557295404333635,-0.7619838714599609,0.5659688115119934,-0.3147377669811249,0,0,0,-1,-1,13940.65235591667,unknown,2,2025-04-21T11:31:18.370+03:00,2025-04-20T21:57:49.637+03:00,1587,1.127823,0,0,1187.381,1,4,2025-04-21T11:21:17.391+03:00,766917091.3589115,0,-45.7,100.2813,1,0.65,2025-04-21T11:22:28.578+03:00,87,1.45,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:31:32.274+03:00,1745224288.775065,40.95361853999372,29.1409886722274,92.00693,-1,-1,-1,-1,30,37.99608032153802,-9999,13954.55072725,-0.755401611328125,0.556732177734375,-0.3112335205078125,13954.54065225,-2.357093914293879,-1.179160963541378,-0.6017129336620546,-0.01225185114890337,-0.003775264602154493,0.005125121679157019,0.008151650428771973,0.009246706962585449,0.01268994808197021,XArbitraryZVertical,0.5848624007854604,-0.02460318187249215,0.670563745949259,-0.455713502165094,-0.7619510293006897,0.5660554170608521,-0.3146613240242004,0,0,0,-1,-1,13940.65235591667,unknown,2,2025-04-21T11:31:18.370+03:00,2025-04-20T21:57:49.637+03:00,1587,1.127823,0,0,1187.381,1,4,2025-04-21T11:21:17.391+03:00,766917091.3589115,0,-45.7,100.2813,1,0.65,2025-04-21T11:22:28.578+03:00,87,1.45,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
