loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-21T11:14:26.750+03:00,1745223264.941439,40.95357315239047,29.14096675058997,92.88309,-1,-1,-1,-1,30,28.58624055947184,-9999,13423.378258875,-0.79132080078125,0.586334228515625,-0.242889404296875,13423.368183875,-2.355394678847286,-1.270870532570429,-0.6493088288355779,0.02505665272474289,0.04319509491324425,0.007788265123963356,0.02818721532821655,0.02130997180938721,0.01251715421676636,XArbitraryZVertical,-0.6179544737594969,0.02166355963411114,-0.6320702801300979,0.4670653512181769,-0.7609447240829468,0.604636013507843,-0.2353259176015854,0,0,0,-1,-1,13417.69023541667,unknown,2,2025-04-21T11:14:16.935+03:00,2025-04-20T21:57:49.637+03:00,1567,1.115866,1.28579,1.378413,1172.329,1,4,2025-04-21T11:14:24.673+03:00,766916064.7796655,0,-46.29,100.2877,1,0.65,2025-04-21T11:14:06.322+03:00,123,2.05,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:14:26.754+03:00,1745223264.941439,40.95357315239047,29.14096675058997,92.88309,-1,-1,-1,-1,30,28.58624055947184,-9999,13423.388334875,-0.751708984375,0.6062469482421875,-0.2364654541015625,13423.378258875,-2.355114899303214,-1.270437215606383,-0.6493442483435405,0.02090345323085785,0.01129255350679159,0.005456667393445969,0.01189041137695312,-0.01555293798446655,0.009453058242797852,XArbitraryZVertical,-0.6178226334552559,0.02169208497639962,-0.6321308026121768,0.4671565437676565,-0.7608222365379333,0.6046642661094666,-0.2356492877006531,0,0,0,-1,-1,13417.69023541667,unknown,2,2025-04-21T11:14:16.935+03:00,2025-04-20T21:57:49.637+03:00,1567,1.115866,1.28579,1.378413,1172.329,1,4,2025-04-21T11:14:24.673+03:00,766916064.7796655,0,-46.29,100.2877,1,0.65,2025-04-21T11:14:06.322+03:00,123,2.05,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:14:26.757+03:00,1745223264.941439,40.95357315239047,29.14096675058997,92.88309,-1,-1,-1,-1,30,28.58624055947184,-9999,13423.398410875,-0.746978759765625,0.6050872802734375,-0.2326202392578125,13423.388334875,-2.354932497151026,-1.2703704611847,-0.6492819345673996,0.01326104626059532,0.001876481575891376,0.006512111984193325,-0.03047823905944824,-0.01828044652938843,-0.007178127765655518,XArbitraryZVertical,-0.6177998423411337,0.02162710370393116,-0.6321229539254194,0.4672003718563363,-0.7608425617218018,0.6046146154403687,-0.2357112467288971,0,0,0,-1,-1,13417.69023541667,unknown,2,2025-04-21T11:14:16.935+03:00,2025-04-20T21:57:49.637+03:00,1567,1.115866,1.28579,1.378413,1172.329,1,4,2025-04-21T11:14:24.673+03:00,766916064.7796655,0,-46.29,100.2877,1,0.65,2025-04-21T11:14:06.322+03:00,123,2.05,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:14:26.758+03:00,1745223264.941439,40.95357315239047,29.14096675058997,92.88309,-1,-1,-1,-1,30,28.58624055947184,-9999,13423.408485875,-0.7731781005859375,0.6078948974609375,-0.2400360107421875,13423.398410875,-2.354667402256698,-1.269966003785458,-0.6492915363268577,0.02041855826973915,0.04363138228654861,0.01802415773272514,0.009032607078552246,0.001624643802642822,-0.0004481673240661621,XArbitraryZVertical,-0.6176754437636187,0.02164346688838588,-0.6321837223612712,0.4672817807127118,-0.7607415318489075,0.6046222448348999,-0.2360172122716904,0,0,0,-1,-1,13417.69023541667,unknown,2,2025-04-21T11:14:16.935+03:00,2025-04-20T21:57:49.637+03:00,1567,1.115866,1.28579,1.378413,1172.329,1,4,2025-04-21T11:14:24.673+03:00,766916064.7796655,0,-46.29,100.2877,1,0.65,2025-04-21T11:14:06.322+03:00,123,2.05,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:14:26.765+03:00,1745223264.941439,40.95357315239047,29.14096675058997,92.88309,-1,-1,-1,-1,30,28.58624055947184,-9999,13423.418561875,-0.76220703125,0.6080322265625,-0.237152099609375,13423.408485875,-2.354282957982664,-1.269268216902102,-0.6495088144874108,0.02828666940331459,0.04292890802025795,0.01907893642783165,0.01347243785858154,0.0002919435501098633,0.003888756036758423,XArbitraryZVertical,-0.617471837379135,0.02177223418182975,-0.6322602306633178,0.4674414583481138,-0.7604512572288513,0.6047953367233276,-0.2365089952945709,0,0,0,-1,-1,13417.69023541667,unknown,2,2025-04-21T11:14:16.935+03:00,2025-04-20T21:57:49.637+03:00,1567,1.115866,1.28579,1.378413,1172.329,1,4,2025-04-21T11:14:24.673+03:00,766916064.7796655,0,-46.29,100.2877,1,0.65,2025-04-21T11:14:06.322+03:00,123,2.05,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:14:26.774+03:00,1745223264.941439,40.95357315239047,29.14096675058997,92.88309,-1,-1,-1,-1,30,28.58624055947184,-9999,13423.428636875,-0.7521514892578125,0.6093597412109375,-0.2363433837890625,13423.418561875,-2.353802683312861,-1.268594755989718,-0.6496474006364591,0.0339173898100853,0.02838405594229698,0.01630765199661255,-0.0129663348197937,0.002989232540130615,-0.00303986668586731,XArbitraryZVertical,-0.6172723467070083,0.02183527306546304,-0.6323244880930947,0.4676150785253766,-0.7602118253707886,0.6049056649208069,-0.2369961440563202,0,0,0,-1,-1,13417.69023541667,unknown,2,2025-04-21T11:14:16.935+03:00,2025-04-20T21:57:49.637+03:00,1567,1.115866,1.28579,1.378413,1172.329,1,4,2025-04-21T11:14:24.673+03:00,766916064.7796655,0,-46.29,100.2877,1,0.65,2025-04-21T11:14:06.322+03:00,123,2.05,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:14:26.784+03:00,1745223264.941439,40.95357315239047,29.14096675058997,92.88309,-1,-1,-1,-1,30,28.58624055947184,-9999,13423.438712875,-0.760040283203125,0.60589599609375,-0.24102783203125,13423.428636875,-2.353313043029469,-1.267959952050585,-0.649682153391888,0.03078338131308556,0.03351863101124763,0.01639380306005478,-0.002165913581848145,0.003098905086517334,0.0003203451633453369,XArbitraryZVertical,-0.6170790368444833,0.02184612533388111,-0.6323980285283686,0.4677702652184477,-0.7600411772727966,0.6049333214759827,-0.2374724149703979,0,0,0,-1,-1,13417.69023541667,unknown,2,2025-04-21T11:14:16.935+03:00,2025-04-20T21:57:49.637+03:00,1567,1.115866,1.28579,1.378413,1172.329,1,4,2025-04-21T11:14:24.673+03:00,766916064.7796655,0,-46.29,100.2877,1,0.65,2025-04-21T11:14:06.322+03:00,123,2.05,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:14:26.794+03:00,1745223264.941439,40.95357315239047,29.14096675058997,92.88309,-1,-1,-1,-1,30,28.58624055947184,-9999,13423.448788875,-0.7604522705078125,0.601470947265625,-0.240814208984375,13423.438712875,-2.352934583191817,-1.267403391978969,-0.6497426904192052,0.02400537021458149,0.03106079809367657,0.01499378029257059,0.007722318172454834,0.004378080368041992,0.001541033387184143,XArbitraryZVertical,-0.6169108051669112,0.02188317475471882,-0.6324673070604462,0.4678964573698508,-0.7598736882209778,0.604981541633606,-0.2378843724727631,0,0,0,-1,-1,13417.69023541667,unknown,2,2025-04-21T11:14:16.935+03:00,2025-04-20T21:57:49.637+03:00,1567,1.115866,1.28579,1.378413,1172.329,1,4,2025-04-21T11:14:24.673+03:00,766916064.7796655,0,-46.29,100.2877,1,0.65,2025-04-21T11:14:06.322+03:00,123,2.05,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:14:26.804+03:00,1745223264.941439,40.95357315239047,29.14096675058997,92.88309,-1,-1,-1,-1,30,28.58624055947184,-9999,13423.458863875,-0.7578582763671875,0.5994110107421875,-0.238037109375,13423.448788875,-2.352661837847573,-1.266954114667781,-0.6499394764746284,0.01779701001942158,0.02930923737585545,0.01688209548592567,-0.0003870129585266113,0.0007576942443847656,-0.002837657928466797,XArbitraryZVertical,-0.6167834173602563,0.02198068408622411,-0.632497508086484,0.4680190410107131,-0.7596532106399536,0.6051382422447205,-0.2381901293992996,0,0,0,-1,-1,13417.69023541667,unknown,2,2025-04-21T11:14:16.935+03:00,2025-04-20T21:57:49.637+03:00,1567,1.115866,1.28579,1.378413,1172.329,1,4,2025-04-21T11:14:24.673+03:00,766916064.7796655,0,-46.29,100.2877,1,0.65,2025-04-21T11:14:06.322+03:00,123,2.05,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
2025-04-21T11:14:26.814+03:00,1745223264.941439,40.95357315239047,29.14096675058997,92.88309,-1,-1,-1,-1,30,28.58624055947184,-9999,13423.468939875,-0.7577972412109375,0.6035003662109375,-0.2361602783203125,13423.458863875,-2.352454601095324,-1.266541164558541,-0.650041127060022,0.009666912257671356,0.0309622623026371,0.01699954085052013,-0.000956118106842041,-0.003748297691345215,-0.002328798174858093,XArbitraryZVertical,-0.6166611564540242,0.0220529656573789,-0.6325532887171859,0.4681013129033832,-0.7594960331916809,0.6052191257476807,-0.2384853661060333,0,0,0,-1,-1,13417.69023541667,unknown,2,2025-04-21T11:14:16.935+03:00,2025-04-20T21:57:49.637+03:00,1567,1.115866,1.28579,1.378413,1172.329,1,4,2025-04-21T11:14:24.673+03:00,766916064.7796655,0,-46.29,100.2877,1,0.65,2025-04-21T11:14:06.322+03:00,123,2.05,2025-04-21T09:28:58.093+03:00,0.01174319131481236,0
