loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T15:28:54.382+03:00,1745324932.270545,40.9522166684769,29.14027385676443,76.10294,-1,-1,-1,-1,30,22.0705896186086,-9999,35565.563944625,-0.6177520751953125,0.48895263671875,-0.584136962890625,35565.553867625,-2.004920795965923,-0.7982803495153156,-0.5324767125584136,-0.006559884175658226,-0.002646512817591429,0.006299471482634544,0.0003227591514587402,-0.01091897487640381,-0.0104442834854126,XArbitraryZVertical,-0.446472946863718,0.002512805841041387,-0.6941565508534951,0.5646256463030396,-0.6170066595077515,0.5076687335968018,-0.601311206817627,0,0,0,-1,-1,35552.595932,unknown,2,2025-04-22T15:28:25.138+03:00,2025-04-21T17:08:51.449+03:00,8236,1.039424,0,0,6852.579,7,22,2025-04-22T15:22:29.153+03:00,767017733.6036873,0,-15.74,100.3922,1,0.55,2025-04-22T15:28:23.900+03:00,113,1.883333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:28:54.385+03:00,1745324932.270545,40.9522166684769,29.14027385676443,76.10294,-1,-1,-1,-1,30,22.0705896186086,-9999,35565.574020625,-0.6177825927734375,0.49420166015625,-0.6057891845703125,35565.563944625,-2.004945497189882,-0.7983075693283973,-0.5324841729235354,0.0007044201483950019,0.007034876849502325,-0.001494802068918943,-0.006331682205200195,-0.01914989948272705,0.01120376586914062,XArbitraryZVertical,-0.4464838082533302,0.002513611644665763,-0.694155968845835,0.5646178593028256,-0.6170203685760498,0.5076751708984375,-0.6012917757034302,0,0,0,-1,-1,35552.595932,unknown,2,2025-04-22T15:28:25.138+03:00,2025-04-21T17:08:51.449+03:00,8236,1.039424,0,0,6852.579,7,22,2025-04-22T15:22:29.153+03:00,767017733.6036873,0,-15.74,100.3922,1,0.55,2025-04-22T15:28:23.900+03:00,113,1.883333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:28:54.387+03:00,1745324932.270545,40.9522166684769,29.14027385676443,76.10294,-1,-1,-1,-1,30,22.0705896186086,-9999,35565.584097625,-0.62091064453125,0.5068817138671875,-0.6147918701171875,35565.574020625,-2.004892087776698,-0.798182196430133,-0.5323792748705417,0.01865539140999317,0.007956529967486858,-0.005089437123388052,0.0008179545402526855,-0.01829659938812256,0.01580440998077393,XArbitraryZVertical,-0.4464197818584525,0.002494899058872502,-0.6941901816034702,0.5646265187782216,-0.6169831156730652,0.5075847506523132,-0.6014063358306885,0,0,0,-1,-1,35552.595932,unknown,2,2025-04-22T15:28:25.138+03:00,2025-04-21T17:08:51.449+03:00,8236,1.039424,0,0,6852.579,7,22,2025-04-22T15:22:29.153+03:00,767017733.6036873,0,-15.74,100.3922,1,0.55,2025-04-22T15:28:23.900+03:00,113,1.883333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:28:54.388+03:00,1745324932.270545,40.9522166684769,29.14027385676443,76.10294,-1,-1,-1,-1,30,22.0705896186086,-9999,35565.594173625,-0.6093597412109375,0.5047607421875,-0.603668212890625,35565.584097625,-2.004787535542317,-0.7980834135330913,-0.5321984992515485,0.01390750706195831,-0.0008646580390632153,-0.005944311618804932,-0.002380073070526123,-0.01121330261230469,-0.007111430168151855,XArbitraryZVertical,-0.4463501591413169,0.002426763727081461,-0.6942194067723384,0.5646459123859083,-0.6169893741607666,0.5074290037155151,-0.6015312671661377,0,0,0,-1,-1,35552.595932,unknown,2,2025-04-22T15:28:25.138+03:00,2025-04-21T17:08:51.449+03:00,8236,1.039424,0,0,6852.579,7,22,2025-04-22T15:22:29.153+03:00,767017733.6036873,0,-15.74,100.3922,1,0.55,2025-04-22T15:28:23.900+03:00,113,1.883333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:28:54.395+03:00,1745324932.270545,40.9522166684769,29.14027385676443,76.10294,-1,-1,-1,-1,30,22.0705896186086,-9999,35565.604250625,-0.613372802734375,0.4968719482421875,-0.599578857421875,35565.594173625,-2.00472382272413,-0.7980322919618612,-0.5320930223009966,0.003224169835448265,0.005438178312033415,-0.001554923015646636,-0.002250492572784424,0.0001080036163330078,-0.0118643045425415,XArbitraryZVertical,-0.4463118058437526,0.002384582070048904,-0.6942342125418501,0.5646581420325396,-0.6169968843460083,0.5073381066322327,-0.601600170135498,0,0,0,-1,-1,35552.595932,unknown,2,2025-04-22T15:28:25.138+03:00,2025-04-21T17:08:51.449+03:00,8236,1.039424,0,0,6852.579,7,22,2025-04-22T15:22:29.153+03:00,767017733.6036873,0,-15.74,100.3922,1,0.55,2025-04-22T15:28:23.900+03:00,113,1.883333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:28:54.404+03:00,1745324932.270545,40.9522166684769,29.14027385676443,76.10294,-1,-1,-1,-1,30,22.0705896186086,-9999,35565.614326625,-0.613189697265625,0.4968719482421875,-0.59759521484375,35565.604250625,-2.004767066747279,-0.798016267269183,-0.532138205136077,-0.01006766688078642,0.001441839151084423,-0.0004747449129354209,0.00799262523651123,-0.003913462162017822,-0.001616477966308594,XArbitraryZVertical,-0.446315046839785,0.002416909989433493,-0.6942408486339967,0.5646473393227365,-0.6169708967208862,0.507377028465271,-0.601594090461731,0,0,0,-1,-1,35552.595932,unknown,2,2025-04-22T15:28:25.138+03:00,2025-04-21T17:08:51.449+03:00,8236,1.039424,0,0,6852.579,7,22,2025-04-22T15:22:29.153+03:00,767017733.6036873,0,-15.74,100.3922,1,0.55,2025-04-22T15:28:23.900+03:00,113,1.883333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:28:54.414+03:00,1745324932.270545,40.9522166684769,29.14027385676443,76.10294,-1,-1,-1,-1,30,22.0705896186086,-9999,35565.624402625,-0.6131439208984375,0.5018157958984375,-0.5972900390625,35565.614326625,-2.004847880226357,-0.7980236829086399,-0.532245787233192,-0.01384556107223034,-0.001740305684506893,0.0007844309438951313,0.002373337745666504,-0.01067423820495605,0.001346826553344727,XArbitraryZVertical,-0.4463386124791754,0.002476085929372535,-0.6942402090927494,0.5646293362454105,-0.6169362664222717,0.5074697732925415,-0.6015514135360718,0,0,0,-1,-1,35552.595932,unknown,2,2025-04-22T15:28:25.138+03:00,2025-04-21T17:08:51.449+03:00,8236,1.039424,0,0,6852.579,7,22,2025-04-22T15:22:29.153+03:00,767017733.6036873,0,-15.74,100.3922,1,0.55,2025-04-22T15:28:23.900+03:00,113,1.883333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:28:54.424+03:00,1745324932.270545,40.9522166684769,29.14027385676443,76.10294,-1,-1,-1,-1,30,22.0705896186086,-9999,35565.63447962501,-0.6142730712890625,0.501800537109375,-0.6023712158203125,35565.624402625,-2.004939364638577,-0.7980442742955235,-0.532318259193681,-0.01171876024454832,-0.002300102263689041,-0.003604991128668189,0.004312515258789062,-0.009439706802368164,0.004650115966796875,XArbitraryZVertical,-0.4463598994830832,0.002519878700175221,-0.6942466588001437,0.5646042097804466,-0.6169222593307495,0.5075321793556213,-0.6015129685401917,0,0,0,-1,-1,35552.595932,unknown,2,2025-04-22T15:28:25.138+03:00,2025-04-21T17:08:51.449+03:00,8236,1.039424,0,0,6852.579,7,22,2025-04-22T15:22:29.153+03:00,767017733.6036873,0,-15.74,100.3922,1,0.55,2025-04-22T15:28:23.900+03:00,113,1.883333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:28:54.434+03:00,1745324932.270545,40.9522166684769,29.14027385676443,76.10294,-1,-1,-1,-1,30,22.0705896186086,-9999,35565.644555625,-0.6116180419921875,0.4981536865234375,-0.6072845458984375,35565.63447962501,-2.005076663894966,-0.7981321561503032,-0.5323323743831315,-0.01248914562165737,-0.006294510792940855,-0.008269217796623707,0.004268646240234375,-0.005286216735839844,0.003904223442077637,XArbitraryZVertical,-0.4463930107704591,0.002531402924029928,-0.6942629182308628,0.5645579376502206,-0.6169700026512146,0.5075443387031555,-0.6014537215232849,0,0,0,-1,-1,35552.595932,unknown,2,2025-04-22T15:28:25.138+03:00,2025-04-21T17:08:51.449+03:00,8236,1.039424,0,0,6852.579,7,22,2025-04-22T15:22:29.153+03:00,767017733.6036873,0,-15.74,100.3922,1,0.55,2025-04-22T15:28:23.900+03:00,113,1.883333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:28:54.451+03:00,1745324932.270545,40.9522166684769,29.14027385676443,76.10294,-1,-1,-1,-1,30,22.0705896186086,-9999,35565.654632625,-0.6092376708984375,0.49932861328125,-0.609344482421875,35565.644555625,-2.005184841913377,-0.7982951002065199,-0.5322739666629992,0.003981706220656633,-0.009030641987919807,-0.00613709120079875,0.002663671970367432,-0.005678415298461914,-0.001775562763214111,XArbitraryZVertical,-0.4464379882086467,0.002486073720885839,-0.6942689308280598,0.5645151541945467,-0.6170892119407654,0.5074940323829651,-0.6013739109039307,0,0,0,-1,-1,35552.595932,unknown,2,2025-04-22T15:28:25.138+03:00,2025-04-21T17:08:51.449+03:00,8236,1.039424,0,0,6852.579,7,22,2025-04-22T15:22:29.153+03:00,767017733.6036873,0,-15.74,100.3922,1,0.55,2025-04-22T15:28:23.900+03:00,113,1.883333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
