loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-20T22:18:37.838+03:00,1745176712.716959,40.98552636824662,29.137368114026,128.4453,-1,-1,-1,-1,30,30.35635389065777,-9999,9091.226645000001,0.6389923095703125,-0.5129547119140625,-0.5525054931640625,9091.222875000001,1.185417354820506,0.8596808231467706,0.5204886655567064,0.02058757655322552,-0.0001190910115838051,-0.05385139957070351,0.004224002361297607,0.003102481365203857,0.01194310188293457,XArbitraryZVertical,-0.03093703400719853,0.4646701603879985,0.579635624497019,0.6686905627445454,0.6573055386543274,-0.4973041415214539,-0.5662490725517273,0,0,0,-1,-1,9080.303592166667,unknown,2,2025-04-20T22:18:26.887+03:00,2025-04-20T21:57:49.637+03:00,29,1.789309,0,0,23.86625,0,0,2025-04-20T22:09:07.141+03:00,766869517.3048571,0,0.9300003,99.72591,1,1,2025-04-20T22:18:29.793+03:00,93,1.55,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:18:37.840+03:00,1745176712.716959,40.98552636824662,29.137368114026,128.4453,-1,-1,-1,-1,30,30.35635389065777,-9999,9091.236722,0.670989990234375,-0.492340087890625,-0.5561676025390625,9091.232951,1.184835581266795,0.8599228898421898,0.5202405023814739,0.02218920178711414,-0.005001730285584927,-0.05206415429711342,-0.0185437798500061,-0.01586586236953735,0.01366502046585083,XArbitraryZVertical,-0.03096986946725684,0.464710285736826,0.5794121020548867,0.6688547880932789,0.6575360298156738,-0.4970888495445251,-0.5661704540252686,0,0,0,-1,-1,9080.303592166667,unknown,2,2025-04-20T22:18:26.887+03:00,2025-04-20T21:57:49.637+03:00,29,1.789309,0,0,23.86625,0,0,2025-04-20T22:09:07.141+03:00,766869517.3048571,0,0.9300003,99.72591,1,1,2025-04-20T22:18:29.793+03:00,93,1.55,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:18:37.841+03:00,1745176712.716959,40.98552636824662,29.137368114026,128.4453,-1,-1,-1,-1,30,30.35635389065777,-9999,9091.246798,0.661163330078125,-0.495941162109375,-0.55963134765625,9091.243028000001,1.184186058679594,0.8601770950444826,0.5200023666401455,0.02964532189071178,-0.007205962669104338,-0.05443846434354782,0.01322036981582642,0.004542082548141479,0.009912967681884766,XArbitraryZVertical,-0.03098646051888803,0.4647575696066483,0.5791666485492122,0.6690337586409895,0.6577696800231934,-0.4968822002410889,-0.5660805106163025,0,0,0,-1,-1,9080.303592166667,unknown,2,2025-04-20T22:18:26.887+03:00,2025-04-20T21:57:49.637+03:00,29,1.789309,0,0,23.86625,0,0,2025-04-20T22:09:07.141+03:00,766869517.3048571,0,0.9300003,99.72591,1,1,2025-04-20T22:18:29.793+03:00,93,1.55,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:18:37.844+03:00,1745176712.716959,40.98552636824662,29.137368114026,128.4453,-1,-1,-1,-1,30,30.35635389065777,-9999,9091.256875000001,0.6600799560546875,-0.495086669921875,-0.567230224609375,9091.253105,1.183495950020841,0.860407885863995,0.5198020728021452,0.03295136988162994,-0.0115080326795578,-0.05356894060969353,0.00318753719329834,0.0007672011852264404,0.006362318992614746,XArbitraryZVertical,-0.03097185959352203,0.4648052795769649,0.5789117351822352,0.6692219856004894,0.6579757928848267,-0.4967083632946014,-0.56599360704422,0,0,0,-1,-1,9080.303592166667,unknown,2,2025-04-20T22:18:26.887+03:00,2025-04-20T21:57:49.637+03:00,29,1.789309,0,0,23.86625,0,0,2025-04-20T22:09:07.141+03:00,766869517.3048571,0,0.9300003,99.72591,1,1,2025-04-20T22:18:29.793+03:00,93,1.55,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:18:37.853+03:00,1745176712.716959,40.98552636824662,29.137368114026,128.4453,-1,-1,-1,-1,30,30.35635389065777,-9999,9091.266951000001,0.660858154296875,-0.497802734375,-0.56427001953125,9091.263181,1.182824116793642,0.8605862650724312,0.5196006678499435,0.02737237885594368,-0.01732164621353149,-0.05138924345374107,0.001927435398101807,0.00144687294960022,-0.001288771629333496,XArbitraryZVertical,-0.03094682780383591,0.4648350357383786,0.5786635792560825,0.6694169304580756,0.6581524610519409,-0.4965335428714752,-0.5659413933753967,0,0,0,-1,-1,9080.303592166667,unknown,2,2025-04-20T22:18:26.887+03:00,2025-04-20T21:57:49.637+03:00,29,1.789309,0,0,23.86625,0,0,2025-04-20T22:09:07.141+03:00,766869517.3048571,0,0.9300003,99.72591,1,1,2025-04-20T22:18:29.793+03:00,93,1.55,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:18:37.864+03:00,1745176712.716959,40.98552636824662,29.137368114026,128.4453,-1,-1,-1,-1,30,30.35635389065777,-9999,9091.277028,0.6632843017578125,-0.5034637451171875,-0.5567626953125,9091.273258000001,1.182198612904466,0.8607110057512161,0.5193260033409683,0.02000048384070396,-0.01952354796230793,-0.05594591051340103,0.002531647682189941,-0.00150763988494873,0.001678228378295898,XArbitraryZVertical,-0.03094585828126489,0.4648314355717854,0.5784241416239659,0.6696264498979092,0.6583265066146851,-0.4962951242923737,-0.5659481883049011,0,0,0,-1,-1,9080.303592166667,unknown,2,2025-04-20T22:18:26.887+03:00,2025-04-20T21:57:49.637+03:00,29,1.789309,0,0,23.86625,0,0,2025-04-20T22:09:07.141+03:00,766869517.3048571,0,0.9300003,99.72591,1,1,2025-04-20T22:18:29.793+03:00,93,1.55,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:18:37.874+03:00,1745176712.716959,40.98552636824662,29.137368114026,128.4453,-1,-1,-1,-1,30,30.35635389065777,-9999,9091.287105000001,0.6636505126953125,-0.500396728515625,-0.5553741455078125,9091.283334,1.181585689957237,0.8608167101548166,0.5190199205686633,0.02085835486650467,-0.02122337743639946,-0.05855165049433708,0.004782795906066895,-0.00743439793586731,0.009214878082275391,XArbitraryZVertical,-0.0309547451728485,0.4648150408938103,0.5781859070833892,0.6698430926751645,0.6585015058517456,-0.4960293769836426,-0.5659775733947754,0,0,0,-1,-1,9080.303592166667,unknown,2,2025-04-20T22:18:26.887+03:00,2025-04-20T21:57:49.637+03:00,29,1.789309,0,0,23.86625,0,0,2025-04-20T22:09:07.141+03:00,766869517.3048571,0,0.9300003,99.72591,1,1,2025-04-20T22:18:29.793+03:00,93,1.55,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:18:37.884+03:00,1745176712.716959,40.98552636824662,29.137368114026,128.4453,-1,-1,-1,-1,30,30.35635389065777,-9999,9091.297181,0.66351318359375,-0.494232177734375,-0.558502197265625,9091.293411000001,1.181009894999223,0.8608997758997632,0.5187349467579081,0.0197286419570446,-0.02348227053880692,-0.04835227504372597,0.004994809627532959,-0.004614830017089844,0.01064085960388184,XArbitraryZVertical,-0.03095737830369562,0.46479474241118,0.5779625136163948,0.6700498310286875,0.6586557030677795,-0.4957818984985352,-0.5660150051116943,0,0,0,-1,-1,9080.303592166667,unknown,2,2025-04-20T22:18:26.887+03:00,2025-04-20T21:57:49.637+03:00,29,1.789309,0,0,23.86625,0,0,2025-04-20T22:09:07.141+03:00,766869517.3048571,0,0.9300003,99.72591,1,1,2025-04-20T22:18:29.793+03:00,93,1.55,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:18:37.894+03:00,1745176712.716959,40.98552636824662,29.137368114026,128.4453,-1,-1,-1,-1,30,30.35635389065777,-9999,9091.307258000001,0.660003662109375,-0.489837646484375,-0.56475830078125,9091.303488000001,1.18048088813251,0.8609227751634422,0.5184822376466938,0.01385244261473417,-0.02742448076605797,-0.0485522449016571,0.004749417304992676,0.00133022665977478,0.007579326629638672,XArbitraryZVertical,-0.03094079509539201,0.4647600686240096,0.5777589445989059,0.6702502406612579,0.6587637662887573,-0.4955624341964722,-0.5660814642906189,0,0,0,-1,-1,9080.303592166667,unknown,2,2025-04-20T22:18:26.887+03:00,2025-04-20T21:57:49.637+03:00,29,1.789309,0,0,23.86625,0,0,2025-04-20T22:09:07.141+03:00,766869517.3048571,0,0.9300003,99.72591,1,1,2025-04-20T22:18:29.793+03:00,93,1.55,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:18:37.904+03:00,1745176712.716959,40.98552636824662,29.137368114026,128.4453,-1,-1,-1,-1,30,30.35635389065777,-9999,9091.317334000001,0.658111572265625,-0.488525390625,-0.5601959228515625,9091.313564,1.179995114748353,0.8608696653020043,0.5182748068598897,0.016229048371315,-0.02977019175887108,-0.04572290182113647,0.001192033290863037,0.005544573068618774,0.001425206661224365,XArbitraryZVertical,-0.03089444726907373,0.4647082961812614,0.57757563171042,0.6704462396465382,0.658811628818512,-0.4953822493553162,-0.5661834478378296,0,0,0,-1,-1,9080.303592166667,unknown,2,2025-04-20T22:18:26.887+03:00,2025-04-20T21:57:49.637+03:00,29,1.789309,0,0,23.86625,0,0,2025-04-20T22:09:07.141+03:00,766869517.3048571,0,0.9300003,99.72591,1,1,2025-04-20T22:18:29.793+03:00,93,1.55,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
