loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-20T22:05:30.529+03:00,1745175929.972784,40.98562279296635,29.13746977659649,128.3677,-1,-1,-1,-1,30,30.98550395246249,-9999,8671.039150875,-0.6881103515625,0.536865234375,-0.474822998046875,8671.029074875001,-2.125976961367733,-0.9402511636811101,-0.5678157757987123,0.06289070844650269,0.02021557278931141,-0.04448900371789932,0.001576721668243408,0.01669728755950928,0.02973520755767822,XArbitraryZVertical,0.5014193702152592,-0.00675080540163224,0.6861270925020514,-0.5270319346382253,-0.6809590458869934,0.5377918481826782,-0.4970660805702209,0,0,0,-1,-1,8650.688061375002,unknown,2,2025-04-20T22:05:07.242+03:00,2025-04-20T21:57:49.637+03:00,10,3.550022,0,0,8.640187,0,0,2025-04-20T22:04:54.344+03:00,766868715.0734541,0,0.2199993,99.73423,1,1,2025-04-20T22:05:14.565+03:00,66,1.1,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:05:30.530+03:00,1745175929.972784,40.98562279296635,29.13746977659649,128.3677,-1,-1,-1,-1,30,30.98550395246249,-9999,8671.049227875001,-0.6675262451171875,0.5358734130859375,-0.4726409912109375,8671.039150875,-2.125774048493963,-0.9400658203048214,-0.5672469516643548,0.04466935619711876,0.006046224851161242,-0.03178945183753967,0.0124279260635376,0.02288365364074707,0.02741718292236328,XArbitraryZVertical,0.5012696004172559,-0.006518555797292513,0.6862422325511169,-0.5270273676762921,-0.6811138391494751,0.5373122096061707,-0.4973725974559784,0,0,0,-1,-1,8650.688061375002,unknown,2,2025-04-20T22:05:07.242+03:00,2025-04-20T21:57:49.637+03:00,10,3.550022,0,0,8.640187,0,0,2025-04-20T22:04:54.344+03:00,766868715.0734541,0,0.2199993,99.73423,1,1,2025-04-20T22:05:14.565+03:00,66,1.1,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:05:30.531+03:00,1745175929.972784,40.98562279296635,29.13746977659649,128.3677,-1,-1,-1,-1,30,30.98550395246249,-9999,8671.059303875001,-0.66851806640625,0.5445098876953125,-0.4767913818359375,8671.049227875001,-2.125629127711505,-0.9400289233944626,-0.5668804133968101,0.03506626561284065,0.00289810192771256,-0.02340156026184559,-0.006855905055999756,-0.0001378059387207031,0.02269089221954346,XArbitraryZVertical,0.5012014104133745,-0.006343622491312923,0.6862919481719576,-0.5270295325782931,-0.6812544465065002,0.5370030403137207,-0.4975138008594513,0,0,0,-1,-1,8650.688061375002,unknown,2,2025-04-20T22:05:07.242+03:00,2025-04-20T21:57:49.637+03:00,10,3.550022,0,0,8.640187,0,0,2025-04-20T22:04:54.344+03:00,766868715.0734541,0,0.2199993,99.73423,1,1,2025-04-20T22:05:14.565+03:00,66,1.1,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:05:30.533+03:00,1745175929.972784,40.98562279296635,29.13746977659649,128.3677,-1,-1,-1,-1,30,30.98550395246249,-9999,8671.069379875,-0.684295654296875,0.5404510498046875,-0.483306884765625,8671.059303875001,-2.125596692218739,-0.9400401462991889,-0.5666656797347306,0.02274301834404469,0.008180748671293259,-0.02396188862621784,0.01382690668106079,-0.000948488712310791,0.02493321895599365,XArbitraryZVertical,0.5011725423446878,-0.00624562917726652,0.6863266726634154,-0.5270129130268046,-0.6813530921936035,0.5368219017982483,-0.4975741505622864,0,0,0,-1,-1,8650.688061375002,unknown,2,2025-04-20T22:05:07.242+03:00,2025-04-20T21:57:49.637+03:00,10,3.550022,0,0,8.640187,0,0,2025-04-20T22:04:54.344+03:00,766868715.0734541,0,0.2199993,99.73423,1,1,2025-04-20T22:05:14.565+03:00,66,1.1,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:05:30.543+03:00,1745175929.972784,40.98562279296635,29.13746977659649,128.3677,-1,-1,-1,-1,30,30.98550395246249,-9999,8671.079456875001,-0.68109130859375,0.547210693359375,-0.482879638671875,8671.069379875,-2.125552904785048,-0.9399383903857722,-0.5663394744387772,0.02980225905776024,0.01197708398103714,-0.02495311759412289,0.01292586326599121,0.007963180541992188,0.0209554135799408,XArbitraryZVertical,0.501087880958082,-0.006129445171520915,0.6864106258816184,-0.5269854128106339,-0.6814438104629517,0.5365466475486755,-0.4977467358112335,0,0,0,-1,-1,8650.688061375002,unknown,2,2025-04-20T22:05:07.242+03:00,2025-04-20T21:57:49.637+03:00,10,3.550022,0,0,8.640187,0,0,2025-04-20T22:04:54.344+03:00,766868715.0734541,0,0.2199993,99.73423,1,1,2025-04-20T22:05:14.565+03:00,66,1.1,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:05:30.553+03:00,1745175929.972784,40.98562279296635,29.13746977659649,128.3677,-1,-1,-1,-1,30,30.98550395246249,-9999,8671.089532875001,-0.68145751953125,0.5572662353515625,-0.482208251953125,8671.079456875001,-2.125357807319347,-0.9396573815850956,-0.5659847511112498,0.04710082337260246,0.02042116969823837,-0.02770948968827724,-0.002838015556335449,0.004203736782073975,0.01474365592002869,XArbitraryZVertical,0.500937748308583,-0.006011037980938591,0.6865057225357247,-0.5270056445857,-0.6814575791358948,0.5362472534179688,-0.4980504810810089,0,0,0,-1,-1,8650.688061375002,unknown,2,2025-04-20T22:05:07.242+03:00,2025-04-20T21:57:49.637+03:00,10,3.550022,0,0,8.640187,0,0,2025-04-20T22:04:54.344+03:00,766868715.0734541,0,0.2199993,99.73423,1,1,2025-04-20T22:05:14.565+03:00,66,1.1,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:05:30.563+03:00,1745175929.972784,40.98562279296635,29.13746977659649,128.3677,-1,-1,-1,-1,30,30.98550395246249,-9999,8671.099608875,-0.6836700439453125,0.5493011474609375,-0.480499267578125,8671.089532875001,-2.125116908920299,-0.9393359684309637,-0.5655622605369118,0.05284453183412552,0.02325830236077309,-0.03354697301983833,0.0003890395164489746,0.01132005453109741,0.01552364230155945,XArbitraryZVertical,0.5007634207097162,-0.005864377995176876,0.6866133837490568,-0.5270327938569931,-0.6814802885055542,0.5358906388282776,-0.4984032213687897,0,0,0,-1,-1,8650.688061375002,unknown,2,2025-04-20T22:05:07.242+03:00,2025-04-20T21:57:49.637+03:00,10,3.550022,0,0,8.640187,0,0,2025-04-20T22:04:54.344+03:00,766868715.0734541,0,0.2199993,99.73423,1,1,2025-04-20T22:05:14.565+03:00,66,1.1,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:05:30.573+03:00,1745175929.972784,40.98562279296635,29.13746977659649,128.3677,-1,-1,-1,-1,30,30.98550395246249,-9999,8671.109685875001,-0.6806488037109375,0.543426513671875,-0.4825439453125,8671.099608875,-2.124934831684988,-0.9390288113372123,-0.5650318112046607,0.04794863983988762,0.02802782133221626,-0.03508611023426056,9.900331497192383e-05,0.02182358503341675,0.01657211780548096,XArbitraryZVertical,0.5005771663948019,-0.005684997302540842,0.6867560736648606,-0.5270259069831155,-0.6815565228462219,0.5354427099227905,-0.498780369758606,0,0,0,-1,-1,8650.688061375002,unknown,2,2025-04-20T22:05:07.242+03:00,2025-04-20T21:57:49.637+03:00,10,3.550022,0,0,8.640187,0,0,2025-04-20T22:04:54.344+03:00,766868715.0734541,0,0.2199993,99.73423,1,1,2025-04-20T22:05:14.565+03:00,66,1.1,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:05:30.583+03:00,1745175929.972784,40.98562279296635,29.13746977659649,128.3677,-1,-1,-1,-1,30,30.98550395246249,-9999,8671.119761875001,-0.6746673583984375,0.54620361328125,-0.4814453125,8671.109685875001,-2.124749905725527,-0.9387585461662304,-0.5645776881321515,0.05187946557998657,0.02059174329042435,-0.03078164532780647,-0.002052247524261475,0.01424205303192139,0.01860892772674561,XArbitraryZVertical,0.5004152298138559,-0.005526144366296571,0.6868722505592005,-0.5270299009964308,-0.681617796421051,0.5350590944290161,-0.4991081058979034,0,0,0,-1,-1,8650.688061375002,unknown,2,2025-04-20T22:05:07.242+03:00,2025-04-20T21:57:49.637+03:00,10,3.550022,0,0,8.640187,0,0,2025-04-20T22:04:54.344+03:00,766868715.0734541,0,0.2199993,99.73423,1,1,2025-04-20T22:05:14.565+03:00,66,1.1,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T22:05:30.593+03:00,1745175929.972784,40.98562279296635,29.13746977659649,128.3677,-1,-1,-1,-1,30,30.98550395246249,-9999,8671.129837875,-0.673675537109375,0.5416412353515625,-0.4824371337890625,8671.119761875001,-2.124510703794172,-0.9385026658018258,-0.5641899422368453,0.0481637567281723,0.01680546253919601,-0.02930375747382641,0.001008570194244385,0.008695125579833984,0.0168612003326416,XArbitraryZVertical,0.5002684520898963,-0.005376753720075601,0.68695634255663,-0.527061303307867,-0.6816574335098267,0.5347314476966858,-0.4994051456451416,0,0,0,-1,-1,8650.688061375002,unknown,2,2025-04-20T22:05:07.242+03:00,2025-04-20T21:57:49.637+03:00,10,3.550022,0,0,8.640187,0,0,2025-04-20T22:04:54.344+03:00,766868715.0734541,0,0.2199993,99.73423,1,1,2025-04-20T22:05:14.565+03:00,66,1.1,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
