loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T17:22:04.431+03:00,1745331723.945964,40.95232391954568,29.14021283107537,77.34093,-1,-1,-1,-1,30,35.71393105997151,-9999,39500.43497225,-0.8110809326171875,0.401947021484375,-0.504852294921875,39500.42489625001,-2.604769013972653,-0.9743629767799321,-0.3997998978441027,0.006225406657904387,0.02738828212022781,-0.003635681001469493,0.04588204622268677,-0.1083351373672485,0.0485880970954895,XArbitraryZVertical,-0.4889206300813415,0.04750781558080987,-0.8103956046039099,0.3193092693889327,-0.7620989084243774,0.3892340362071991,-0.5173992514610291,0,0,0,-1,-1,39498.59238575,unknown,2,2025-04-22T17:22:02.558+03:00,2025-04-21T17:08:51.449+03:00,9047,1.057548,0,0,7544.334,7,22,2025-04-22T17:18:07.832+03:00,767024494.2872827,0,-11.22,100.3375,1,0.4,2025-04-22T17:20:54.408+03:00,76,1.266666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:22:04.433+03:00,1745331723.945964,40.95232391954568,29.14021283107537,77.34093,-1,-1,-1,-1,30,35.71393105997151,-9999,39500.44504725,-0.7715606689453125,0.3850555419921875,-0.5212554931640625,39500.43497225,-2.604691539473293,-0.9739911939905591,-0.3997190320245904,0.009885655716061592,0.04134324565529823,0.003848600434139371,-0.01827973127365112,-0.05619761347770691,0.04844659566879272,XArbitraryZVertical,-0.4887661540983257,0.04751347753106386,-0.8104858564766541,0.3193158247755061,-0.7619324922561646,0.3891595304012299,-0.5177002549171448,0,0,0,-1,-1,39498.59238575,unknown,2,2025-04-22T17:22:02.558+03:00,2025-04-21T17:08:51.449+03:00,9047,1.057548,0,0,7544.334,7,22,2025-04-22T17:18:07.832+03:00,767024494.2872827,0,-11.22,100.3375,1,0.4,2025-04-22T17:20:54.408+03:00,76,1.266666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:22:04.434+03:00,1745331723.945964,40.95232391954568,29.14021283107537,77.34093,-1,-1,-1,-1,30,35.71393105997151,-9999,39500.45512325,-0.7347259521484375,0.3689727783203125,-0.5228729248046875,39500.44504725,-2.604693397598216,-0.9737988014108757,-0.399687500371426,-0.01313510816544294,-8.022785186767578e-05,0.003078613895922899,-0.04794073104858398,0.01405236124992371,0.008240580558776855,XArbitraryZVertical,-0.488685938509111,0.04753110018653657,-0.8105377218926759,0.3193042485567436,-0.7618430256843567,0.3891305029392242,-0.5178536772727966,0,0,0,-1,-1,39498.59238575,unknown,2,2025-04-22T17:22:02.558+03:00,2025-04-21T17:08:51.449+03:00,9047,1.057548,0,0,7544.334,7,22,2025-04-22T17:18:07.832+03:00,767024494.2872827,0,-11.22,100.3375,1,0.4,2025-04-22T17:20:54.408+03:00,76,1.266666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:22:04.435+03:00,1745331723.945964,40.95232391954568,29.14021283107537,77.34093,-1,-1,-1,-1,30,35.71393105997151,-9999,39500.46519925,-0.7462310791015625,0.3725738525390625,-0.531768798828125,39500.45512325,-2.604779388364533,-0.9739007304246994,-0.3998431734440792,-0.01685980521142483,-0.01821981742978096,0.001007473561912775,-0.002955138683319092,-0.006736159324645996,-0.003360986709594727,XArbitraryZVertical,-0.4887360997190466,0.04760275232489679,-0.8105039507806081,0.3193026392174336,-0.7618457078933716,0.3892738819122314,-0.5177419781684875,0,0,0,-1,-1,39498.59238575,unknown,2,2025-04-22T17:22:02.558+03:00,2025-04-21T17:08:51.449+03:00,9047,1.057548,0,0,7544.334,7,22,2025-04-22T17:18:07.832+03:00,767024494.2872827,0,-11.22,100.3375,1,0.4,2025-04-22T17:20:54.408+03:00,76,1.266666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:22:04.445+03:00,1745331723.945964,40.95232391954568,29.14021283107537,77.34093,-1,-1,-1,-1,30,35.71393105997151,-9999,39500.47527425001,-0.769256591796875,0.4007720947265625,-0.5339813232421875,39500.46519925,-2.604815313832646,-0.9739317223788883,-0.3999150000957703,0.01135365664958954,0.005140833090990782,-0.004732870031148195,0.02743321657180786,-0.02044367790222168,-0.006680965423583984,XArbitraryZVertical,-0.4887528301284609,0.04763745653798306,-0.8104916868059792,0.3193030367869436,-0.7618386149406433,0.3893400430679321,-0.5177026987075806,0,0,0,-1,-1,39498.59238575,unknown,2,2025-04-22T17:22:02.558+03:00,2025-04-21T17:08:51.449+03:00,9047,1.057548,0,0,7544.334,7,22,2025-04-22T17:18:07.832+03:00,767024494.2872827,0,-11.22,100.3375,1,0.4,2025-04-22T17:20:54.408+03:00,76,1.266666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:22:04.456+03:00,1745331723.945964,40.95232391954568,29.14021283107537,77.34093,-1,-1,-1,-1,30,35.71393105997151,-9999,39500.48535025,-0.7638397216796875,0.4094696044921875,-0.527587890625,39500.47527425001,-2.604561288010085,-0.973697637135629,-0.3997093692656248,0.04834283143281937,0.01452661119401455,-0.006922787521034479,0.01294344663619995,-0.01448646187782288,-0.0143311619758606,XArbitraryZVertical,-0.4886495981342417,0.04752435960514212,-0.8105382295358026,0.3193597394086949,-0.7617835998535156,0.3891506493091583,-0.517926037311554,0,0,0,-1,-1,39498.59238575,unknown,2,2025-04-22T17:22:02.558+03:00,2025-04-21T17:08:51.449+03:00,9047,1.057548,0,0,7544.334,7,22,2025-04-22T17:18:07.832+03:00,767024494.2872827,0,-11.22,100.3375,1,0.4,2025-04-22T17:20:54.408+03:00,76,1.266666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:22:04.465+03:00,1745331723.945964,40.95232391954568,29.14021283107537,77.34093,-1,-1,-1,-1,30,35.71393105997151,-9999,39500.49542625,-0.74725341796875,0.3961334228515625,-0.517669677734375,39500.48535025,-2.604110782404092,-0.9734479299679695,-0.39936187039597,0.05579289048910141,-0.00213638786226511,-0.008873087354004383,-0.009001076221466064,0.01485592126846313,-0.0153772234916687,XArbitraryZVertical,-0.4885346790147336,0.04730478582278726,-0.810577812973336,0.3194676862371953,-0.7617660164833069,0.3888305127620697,-0.5181922316551208,0,0,0,-1,-1,39498.59238575,unknown,2,2025-04-22T17:22:02.558+03:00,2025-04-21T17:08:51.449+03:00,9047,1.057548,0,0,7544.334,7,22,2025-04-22T17:18:07.832+03:00,767024494.2872827,0,-11.22,100.3375,1,0.4,2025-04-22T17:20:54.408+03:00,76,1.266666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:22:04.475+03:00,1745331723.945964,40.95232391954568,29.14021283107537,77.34093,-1,-1,-1,-1,30,35.71393105997151,-9999,39500.50550225,-0.74774169921875,0.3809967041015625,-0.5077056884765625,39500.49542625,-2.603709334117607,-0.973282531185142,-0.3990362731130451,0.0403958261013031,0.002722549485042691,-0.006010189186781645,5.108118057250977e-05,0.02038967609405518,-0.008344054222106934,XArbitraryZVertical,-0.4884542041532149,0.04709316734957707,-0.8106014324635773,0.3195621307807689,-0.7617849707603455,0.3885305225849152,-0.5183894634246826,0,0,0,-1,-1,39498.59238575,unknown,2,2025-04-22T17:22:02.558+03:00,2025-04-21T17:08:51.449+03:00,9047,1.057548,0,0,7544.334,7,22,2025-04-22T17:18:07.832+03:00,767024494.2872827,0,-11.22,100.3375,1,0.4,2025-04-22T17:20:54.408+03:00,76,1.266666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:22:04.486+03:00,1745331723.945964,40.95232391954568,29.14021283107537,77.34093,-1,-1,-1,-1,30,35.71393105997151,-9999,39500.51557725,-0.754852294921875,0.37542724609375,-0.50811767578125,39500.50550225,-2.603456947259156,-0.9731066498195244,-0.3987638417582345,0.01955805718898773,0.01703744009137154,-0.00261286087334156,0.01519930362701416,0.005763411521911621,0.002179622650146484,XArbitraryZVertical,-0.4883696467471139,0.04694250455225171,-0.8106436658508112,0.3196064518521376,-0.7617812752723694,0.3882794678211212,-0.5185829997062683,0,0,0,-1,-1,39498.59238575,unknown,2,2025-04-22T17:22:02.558+03:00,2025-04-21T17:08:51.449+03:00,9047,1.057548,0,0,7544.334,7,22,2025-04-22T17:18:07.832+03:00,767024494.2872827,0,-11.22,100.3375,1,0.4,2025-04-22T17:20:54.408+03:00,76,1.266666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:22:04.498+03:00,1745331723.945964,40.95232391954568,29.14021283107537,77.34093,-1,-1,-1,-1,30,35.71393105997151,-9999,39500.52565325,-0.754730224609375,0.374847412109375,-0.5159149169921875,39500.51557725,-2.603366428901571,-0.972921976744624,-0.3986501974784609,0.007052384782582521,0.01816395670175552,0.0004327301285229623,0.01327848434448242,-0.008459866046905518,0.01134788990020752,XArbitraryZVertical,-0.4882888852341539,0.04690103874312496,-0.8106908628825339,0.3196163785227253,-0.7617219686508179,0.3881747424602509,-0.5187485218048096,0,0,0,-1,-1,39498.59238575,unknown,2,2025-04-22T17:22:02.558+03:00,2025-04-21T17:08:51.449+03:00,9047,1.057548,0,0,7544.334,7,22,2025-04-22T17:18:07.832+03:00,767024494.2872827,0,-11.22,100.3375,1,0.4,2025-04-22T17:20:54.408+03:00,76,1.266666666666667,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
