loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-30T12:33:58.738+03:00,1746005637.835524,40.95221369014472,29.1402479840385,75.93256,-1,-1,-1,-1,30,25.63065180778049,-9999,12988.50950741667,-0.7228240966796875,0.57403564453125,-0.364776611328125,12988.49943141667,2.685757864151693,-1.093258230977178,-0.617254023812124,0.01416978146880865,0.01995426043868065,-0.01159889623522758,0.03799468278884888,0.01809519529342651,0.003676623106002808,XArbitraryZVertical,-0.4238113215795087,0.3646795336788752,-0.8285451903211292,-0.03009460118980837,-0.7242434620857239,0.5787980556488037,-0.3747856020927429,0,0,0,-1,-1,12987.96036541667,unknown,2,2025-04-30T12:33:58.160+03:00,2025-04-30T12:00:08.093+03:00,170,1.362274,0,0,138.1113,0,0,2025-04-30T12:24:30.518+03:00,767698438.2672752,0,-0.09000015,100.9661,1,0.75,2025-04-30T12:29:31.309+03:00,83,1.383333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:33:58.739+03:00,1746005637.835524,40.95221369014472,29.1402479840385,75.93256,-1,-1,-1,-1,30,25.63065180778049,-9999,12988.51958341667,-0.7077178955078125,0.5869598388671875,-0.3677520751953125,12988.50950741667,2.685808933298833,-1.093066193842429,-0.6171438127620476,0.00511243799701333,0.006837724708020687,-0.008813195861876011,0.01466387510299683,-0.0135684609413147,0.01358011364936829,XArbitraryZVertical,-0.4237596813536926,0.3646240930759573,-0.8285944191217494,-0.03013827632931266,-0.7242280840873718,0.5787082314491272,-0.3749540150165558,0,0,0,-1,-1,12987.96036541667,unknown,2,2025-04-30T12:33:58.160+03:00,2025-04-30T12:00:08.093+03:00,170,1.362274,0,0,138.1113,0,0,2025-04-30T12:24:30.518+03:00,767698438.2672752,0,-0.09000015,100.9661,1,0.75,2025-04-30T12:29:31.309+03:00,83,1.383333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:33:58.743+03:00,1746005637.835524,40.95221369014472,29.1402479840385,75.93256,-1,-1,-1,-1,30,25.63065180778049,-9999,12988.52965941667,-0.70159912109375,0.590179443359375,-0.3759307861328125,12988.51958341667,2.685726114484211,-1.093044946308629,-0.6171290141535845,-0.004453103989362717,0.009790104813873768,-0.007955658249557018,0.003280520439147949,0.004922032356262207,0.007999509572982788,XArbitraryZVertical,-0.4237382660903207,0.3646357172130479,-0.8285987517666857,-0.03018049902587532,-0.7242277860641479,0.5786961317062378,-0.3749733567237854,0,0,0,-1,-1,12987.96036541667,unknown,2,2025-04-30T12:33:58.160+03:00,2025-04-30T12:00:08.093+03:00,170,1.362274,0,0,138.1113,0,0,2025-04-30T12:24:30.518+03:00,767698438.2672752,0,-0.09000015,100.9661,1,0.75,2025-04-30T12:29:31.309+03:00,83,1.383333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:33:58.747+03:00,1746005637.835524,40.95221369014472,29.1402479840385,75.93256,-1,-1,-1,-1,30,25.63065180778049,-9999,12988.53973541667,-0.7036590576171875,0.5941314697265625,-0.3823394775390625,12988.52965941667,2.685564977284817,-1.093092352339515,-0.617071902847667,-0.007759418804198503,0.008304061368107796,-0.003143326379358768,0.02491879463195801,0.009851455688476562,0.0042572021484375,XArbitraryZVertical,-0.4237381688135251,0.3646489496931063,-0.8285903015786393,-0.0302540700282907,-0.7242749333381653,0.5786495804786682,-0.3749542236328125,0,0,0,-1,-1,12987.96036541667,unknown,2,2025-04-30T12:33:58.160+03:00,2025-04-30T12:00:08.093+03:00,170,1.362274,0,0,138.1113,0,0,2025-04-30T12:24:30.518+03:00,767698438.2672752,0,-0.09000015,100.9661,1,0.75,2025-04-30T12:29:31.309+03:00,83,1.383333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:33:58.755+03:00,1746005637.835524,40.95221369014472,29.1402479840385,75.93256,-1,-1,-1,-1,30,25.63065180778049,-9999,12988.54981141667,-0.6903533935546875,0.5992279052734375,-0.38287353515625,12988.53973541667,2.685438510011247,-1.093072075334089,-0.6171051101100875,-0.008358096703886986,0.00302461045794189,-0.009104812517762184,0.0188058614730835,0.01293718814849854,-0.004754900932312012,XArbitraryZVertical,-0.4237010992484176,0.3646880088756748,-0.8285903503113752,-0.03030118335629601,-0.7242502570152283,0.5786766409873962,-0.3749600648880005,0,0,0,-1,-1,12987.96036541667,unknown,2,2025-04-30T12:33:58.160+03:00,2025-04-30T12:00:08.093+03:00,170,1.362274,0,0,138.1113,0,0,2025-04-30T12:24:30.518+03:00,767698438.2672752,0,-0.09000015,100.9661,1,0.75,2025-04-30T12:29:31.309+03:00,83,1.383333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:33:58.765+03:00,1746005637.835524,40.95221369014472,29.1402479840385,75.93256,-1,-1,-1,-1,30,25.63065180778049,-9999,12988.55988741667,-0.6945343017578125,0.60125732421875,-0.3773651123046875,12988.54981141667,2.685409877755905,-1.092998462005628,-0.6171498549230834,0.005781291052699089,0.003292657667770982,-0.01249694731086493,0.02835303544998169,0.01764613389968872,-0.008360326290130615,XArbitraryZVertical,-0.4236578153626156,0.364709900050011,-0.8286023851834232,-0.03031438722213789,-0.724199652671814,0.5787131190299988,-0.3750014901161194,0,0,0,-1,-1,12987.96036541667,unknown,2,2025-04-30T12:33:58.160+03:00,2025-04-30T12:00:08.093+03:00,170,1.362274,0,0,138.1113,0,0,2025-04-30T12:24:30.518+03:00,767698438.2672752,0,-0.09000015,100.9661,1,0.75,2025-04-30T12:29:31.309+03:00,83,1.383333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:33:58.784+03:00,1746005637.835524,40.95221369014472,29.1402479840385,75.93256,-1,-1,-1,-1,30,25.63065180778049,-9999,12988.56996341667,-0.707977294921875,0.5994415283203125,-0.3747711181640625,12988.55988741667,2.685510116057174,-1.092807139505377,-0.6170379789017881,0.01387756690382957,0.01428219210356474,-0.006424141116440296,0.03450334072113037,0.02237606048583984,-0.005720078945159912,XArbitraryZVertical,-0.4236157206666794,0.3646434065109168,-0.8286523015361187,-0.03033799834175307,-0.7241854071617126,0.5786218643188477,-0.3751698136329651,0,0,0,-1,-1,12987.96036541667,unknown,2,2025-04-30T12:33:58.160+03:00,2025-04-30T12:00:08.093+03:00,170,1.362274,0,0,138.1113,0,0,2025-04-30T12:24:30.518+03:00,767698438.2672752,0,-0.09000015,100.9661,1,0.75,2025-04-30T12:29:31.309+03:00,83,1.383333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:33:58.785+03:00,1746005637.835524,40.95221369014472,29.1402479840385,75.93256,-1,-1,-1,-1,30,25.63065180778049,-9999,12988.58003941667,-0.70751953125,0.5952606201171875,-0.382568359375,12988.56996341667,2.685616579048907,-1.092554668965361,-0.6170065244524415,0.0029254499822855,0.01686878688633442,0.001169795985333622,0.02175992727279663,0.02183717489242554,0.000940859317779541,XArbitraryZVertical,-0.4235358327634794,0.3646051173786115,-0.8287096007740411,-0.03034842027048336,-0.7241067886352539,0.5785962343215942,-0.3753610253334045,0,0,0,-1,-1,12987.96036541667,unknown,2,2025-04-30T12:33:58.160+03:00,2025-04-30T12:00:08.093+03:00,170,1.362274,0,0,138.1113,0,0,2025-04-30T12:24:30.518+03:00,767698438.2672752,0,-0.09000015,100.9661,1,0.75,2025-04-30T12:29:31.309+03:00,83,1.383333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:33:58.797+03:00,1746005637.835524,40.95221369014472,29.1402479840385,75.93256,-1,-1,-1,-1,30,25.63065180778049,-9999,12988.59011541667,-0.704620361328125,0.5881500244140625,-0.38873291015625,12988.58003941667,2.685619317081215,-1.092409367229816,-0.6170848156114459,-0.005351920612156391,0.009082237258553505,0.0006701870588585734,0.01489031314849854,0.01934707164764404,-0.002102822065353394,XArbitraryZVertical,-0.4234629161424663,0.364631981659167,-0.828734864057706,-0.03035257787624624,-0.724012017250061,0.5786600708961487,-0.3754453659057617,0,0,0,-1,-1,12987.96036541667,unknown,2,2025-04-30T12:33:58.160+03:00,2025-04-30T12:00:08.093+03:00,170,1.362274,0,0,138.1113,0,0,2025-04-30T12:24:30.518+03:00,767698438.2672752,0,-0.09000015,100.9661,1,0.75,2025-04-30T12:29:31.309+03:00,83,1.383333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-30T12:33:58.805+03:00,1746005637.835524,40.95221369014472,29.1402479840385,75.93256,-1,-1,-1,-1,30,25.63065180778049,-9999,12988.60019141667,-0.7027740478515625,0.587860107421875,-0.386260986328125,12988.59011541667,2.685547185735484,-1.092403924411736,-0.6171520763159768,-0.008198640309274197,0.002970481757074594,0.004723750986158848,0.01885151863098145,0.01271569728851318,-0.01182141900062561,XArbitraryZVertical,-0.4234361454017199,0.3646726436896587,-0.8287302054700334,-0.03036529415385561,-0.7239754199981689,0.5787149667739868,-0.3754313886165619,0,0,0,-1,-1,12987.96036541667,unknown,2,2025-04-30T12:33:58.160+03:00,2025-04-30T12:00:08.093+03:00,170,1.362274,0,0,138.1113,0,0,2025-04-30T12:24:30.518+03:00,767698438.2672752,0,-0.09000015,100.9661,1,0.75,2025-04-30T12:29:31.309+03:00,83,1.383333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
