loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T16:28:34.892+03:00,1745328514.31086,40.95223118027651,29.14031871188165,76.03748,-1,-1,-1,-1,30.0056606849946,39.38603433184983,-9999,37445.698874125,-0.807525634765625,0.716583251953125,-0.1952362060546875,37445.688798125,-3.054355900775723,-1.33900795666432,-0.7304081806677154,-0.01356106530874968,0.06027542427182198,0.02733688242733479,0.03888505697250366,-0.05296182632446289,0.007741644978523254,XArbitraryZVertical,-0.5913291576737917,0.2545014301260642,-0.7220556258258886,0.2533659659186697,-0.7249810695648193,0.6671737432479858,-0.1711176931858063,0,0,0,-1,-1,37443.66748329167,unknown,2,2025-04-22T16:28:23.387+03:00,2025-04-21T17:08:51.449+03:00,8584,1.057491,0,0,7132.477,7,22,2025-04-22T16:28:23.387+03:00,767021264.8016557,0,-12.9,100.3591,1,0.5,2025-04-22T16:27:26.940+03:00,96,1.6,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T16:28:34.894+03:00,1745328514.31086,40.95223118027651,29.14031871188165,76.03748,-1,-1,-1,-1,30.0056606849946,39.38603433184983,-9999,37445.708949125,-0.7363128662109375,0.674560546875,-0.178619384765625,37445.698874125,-3.054493806766482,-1.338690958788401,-0.7306904271899806,-0.01945623941719532,0.009486015886068344,0.01494439505040646,0.03352057933807373,-0.07732677459716797,0.003213182091712952,XArbitraryZVertical,-0.5911703993423717,0.254686980729225,-0.7221238079871054,0.2533558008671575,-0.7247436046600342,0.6673839688301086,-0.1713041961193085,0,0,0,-1,-1,37443.66748329167,unknown,2,2025-04-22T16:28:23.387+03:00,2025-04-21T17:08:51.449+03:00,8584,1.057491,0,0,7132.477,7,22,2025-04-22T16:28:23.387+03:00,767021264.8016557,0,-12.9,100.3591,1,0.5,2025-04-22T16:27:26.940+03:00,96,1.6,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T16:28:34.895+03:00,1745328514.31086,40.95223118027651,29.14031871188165,76.03748,-1,-1,-1,-1,30.0056606849946,39.38603433184983,-9999,37445.719025125,-0.6847686767578125,0.6481781005859375,-0.16766357421875,37445.708949125,-3.054900073794822,-1.339070612173864,-0.7307286695142876,-0.03548647463321686,-0.01023642346262932,0.008155264891684055,-0.08924198150634766,0.05736470222473145,-0.02486932277679443,XArbitraryZVertical,-0.5912520964464814,0.2547731620573954,-0.7220572449581457,0.2532683018092267,-0.7247837781906128,0.6674124598503113,-0.1710231900215149,0,0,0,-1,-1,37443.66748329167,unknown,2,2025-04-22T16:28:23.387+03:00,2025-04-21T17:08:51.449+03:00,8584,1.057491,0,0,7132.477,7,22,2025-04-22T16:28:23.387+03:00,767021264.8016557,0,-12.9,100.3591,1,0.5,2025-04-22T16:27:26.940+03:00,96,1.6,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T16:28:34.897+03:00,1745328514.31086,40.95223118027651,29.14031871188165,76.03748,-1,-1,-1,-1,30.0056606849946,39.38603433184983,-9999,37445.72910112501,-0.7510528564453125,0.6788787841796875,-0.1738433837890625,37445.719025125,-3.055133846792339,-1.339029140310228,-0.7309706840600751,-0.01707257702946663,0.03734494373202324,0.01795702800154686,0.005243957042694092,-0.003942251205444336,-0.004566952586174011,XArbitraryZVertical,-0.5911843628328745,0.2549372202704059,-0.7220621482187529,0.2532472394393406,-0.7246193885803223,0.6675926446914673,-0.171016126871109,0,0,0,-1,-1,37443.66748329167,unknown,2,2025-04-22T16:28:23.387+03:00,2025-04-21T17:08:51.449+03:00,8584,1.057491,0,0,7132.477,7,22,2025-04-22T16:28:23.387+03:00,767021264.8016557,0,-12.9,100.3591,1,0.5,2025-04-22T16:27:26.940+03:00,96,1.6,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T16:28:34.908+03:00,1745328514.31086,40.95223118027651,29.14031871188165,76.03748,-1,-1,-1,-1,30.0056606849946,39.38603433184983,-9999,37445.739177125,-0.7263336181640625,0.6702117919921875,-0.170684814453125,37445.72910112501,-3.055230773028965,-1.338678157397911,-0.7312916763214217,-0.01318542659282684,0.03294327110052109,0.0166772473603487,0.03230375051498413,-0.01510655879974365,0.002870708703994751,XArbitraryZVertical,-0.5910147939603888,0.2551292843358451,-0.7221291316251597,0.2532584873636432,-0.7243506908416748,0.6678315997123718,-0.1712211221456528,0,0,0,-1,-1,37443.66748329167,unknown,2,2025-04-22T16:28:23.387+03:00,2025-04-21T17:08:51.449+03:00,8584,1.057491,0,0,7132.477,7,22,2025-04-22T16:28:23.387+03:00,767021264.8016557,0,-12.9,100.3591,1,0.5,2025-04-22T16:27:26.940+03:00,96,1.6,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T16:28:34.919+03:00,1745328514.31086,40.95223118027651,29.14031871188165,76.03748,-1,-1,-1,-1,30.0056606849946,39.38603433184983,-9999,37445.749253125,-0.7049102783203125,0.6632232666015625,-0.1610565185546875,37445.739177125,-3.055398392727412,-1.338549889690929,-0.731436857343721,-0.01831148006021976,0.02086876519024372,0.01698910258710384,-0.02919858694076538,0.01193094253540039,-0.003223195672035217,XArbitraryZVertical,-0.5909332754647439,0.2552488462655742,-0.7221663289983886,0.2532226762312189,-0.7242346405982971,0.6679396629333496,-0.171291783452034,0,0,0,-1,-1,37443.66748329167,unknown,2,2025-04-22T16:28:23.387+03:00,2025-04-21T17:08:51.449+03:00,8584,1.057491,0,0,7132.477,7,22,2025-04-22T16:28:23.387+03:00,767021264.8016557,0,-12.9,100.3591,1,0.5,2025-04-22T16:27:26.940+03:00,96,1.6,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T16:28:34.927+03:00,1745328514.31086,40.95223118027651,29.14031871188165,76.03748,-1,-1,-1,-1,30.0056606849946,39.38603433184983,-9999,37445.759329125,-0.725067138671875,0.665618896484375,-0.162139892578125,37445.749253125,-3.055542737359278,-1.338394131114219,-0.731662782157015,-0.01034276839345694,0.03133285790681839,0.02124962769448757,0.003830909729003906,0.0002880692481994629,0.001234069466590881,XArbitraryZVertical,-0.590837141752922,0.2553949665035026,-0.7221959473492453,0.2532147477944764,-0.7240608334541321,0.6681077480316162,-0.1713697612285614,0,0,0,-1,-1,37443.66748329167,unknown,2,2025-04-22T16:28:23.387+03:00,2025-04-21T17:08:51.449+03:00,8584,1.057491,0,0,7132.477,7,22,2025-04-22T16:28:23.387+03:00,767021264.8016557,0,-12.9,100.3591,1,0.5,2025-04-22T16:27:26.940+03:00,96,1.6,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T16:28:34.937+03:00,1745328514.31086,40.95223118027651,29.14031871188165,76.03748,-1,-1,-1,-1,30.0056606849946,39.38603433184983,-9999,37445.769405125,-0.7220458984375,0.6553497314453125,-0.1704254150390625,37445.759329125,-3.055630875546818,-1.338132274754085,-0.7319333571560683,-0.01531622186303139,0.02925159782171249,0.01750522293150425,0.01722103357315063,-0.00424659252166748,0.01155965030193329,XArbitraryZVertical,-0.5907055656958689,0.2555544239263922,-0.722243389822572,0.2532260626662347,-0.7238402962684631,0.6683090925216675,-0.1715177446603775,0,0,0,-1,-1,37443.66748329167,unknown,2,2025-04-22T16:28:23.387+03:00,2025-04-21T17:08:51.449+03:00,8584,1.057491,0,0,7132.477,7,22,2025-04-22T16:28:23.387+03:00,767021264.8016557,0,-12.9,100.3591,1,0.5,2025-04-22T16:27:26.940+03:00,96,1.6,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T16:28:34.948+03:00,1745328514.31086,40.95223118027651,29.14031871188165,76.03748,-1,-1,-1,-1,30.0056606849946,39.38603433184983,-9999,37445.779481125,-0.714080810546875,0.66180419921875,-0.1683349609375,37445.769405125,-3.055757497303031,-1.337957685791937,-0.732138144522287,-0.01140210777521133,0.02353465743362904,0.02000729739665985,-0.002641379833221436,-0.00365138053894043,0.008984103798866272,XArbitraryZVertical,-0.5906068661181576,0.2556898509666928,-0.7222794744662627,0.2532161026219094,-0.723676860332489,0.6684613823890686,-0.1716124564409256,0,0,0,-1,-1,37443.66748329167,unknown,2,2025-04-22T16:28:23.387+03:00,2025-04-21T17:08:51.449+03:00,8584,1.057491,0,0,7132.477,7,22,2025-04-22T16:28:23.387+03:00,767021264.8016557,0,-12.9,100.3591,1,0.5,2025-04-22T16:27:26.940+03:00,96,1.6,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T16:28:34.958+03:00,1745328514.31086,40.95223118027651,29.14031871188165,76.03748,-1,-1,-1,-1,30.0056606849946,39.38603433184983,-9999,37445.789557125,-0.7204742431640625,0.6768646240234375,-0.170928955078125,37445.779481125,-3.055795856834736,-1.337778258002951,-0.7322881846504191,-0.007214819546788931,0.01564664021134377,0.01476779393851757,0.003410041332244873,-0.01349800825119019,0.001186743378639221,XArbitraryZVertical,-0.5905228808848816,0.2557795125932373,-0.7223143786603585,0.2532218095238852,-0.723548412322998,0.6685729622840881,-0.1717191338539124,0,0,0,-1,-1,37443.66748329167,unknown,2,2025-04-22T16:28:23.387+03:00,2025-04-21T17:08:51.449+03:00,8584,1.057491,0,0,7132.477,7,22,2025-04-22T16:28:23.387+03:00,767021264.8016557,0,-12.9,100.3591,1,0.5,2025-04-22T16:27:26.940+03:00,96,1.6,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
