loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-18T12:08:25.496+03:00,1744967304.970806,40.95359319739049,29.1409997789972,93.61648,-1,-1,-1,-1,30,23.79642844582683,-9999,65622.09591166666,-0.7321624755859375,0.739990234375,-0.159576416015625,65622.08960566667,1.519991242845264,-1.374596856177979,-0.7704937178085993,-0.01111588254570961,0.02642691321671009,-0.001486551249399781,-0.006801724433898926,-0.01707673072814941,0.002830386161804199,XArbitraryZVertical,0.1945051380693207,-0.6262789903952116,0.6662939038192909,0.3549575838971739,-0.7038001418113708,0.6964895725250244,-0.1398847550153732,0,0,0,-1,-1,65617.57966775,unknown,2,2025-04-18T12:08:20.955+03:00,2025-04-17T15:44:39.500+03:00,7557,1.143429,0,0,6228.047,4,10,2025-04-18T12:06:19.732+03:00,766660103.6307706,0,108.13,100.5586,1,0.5,2025-04-18T12:08:20.795+03:00,108,1.8,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T12:08:25.498+03:00,1744967304.970806,40.95359319739049,29.1409997789972,93.61648,-1,-1,-1,-1,30,23.79642844582683,-9999,65622.10598666668,-0.701416015625,0.721282958984375,-0.1600799560546875,65622.09968166667,1.519896702880313,-1.374551987640708,-0.7704354163812125,-0.002419329481199384,-0.0003876565024256706,-0.01399994548410177,-0.02954941987991333,0.03527230024337769,-0.01676811277866364,XArbitraryZVertical,0.1944804215872592,-0.6262708822068295,0.6662749174394089,0.3550213354461793,-0.7038338780403137,0.6964477896690369,-0.1399243026971817,0,0,0,-1,-1,65617.57966775,unknown,2,2025-04-18T12:08:20.955+03:00,2025-04-17T15:44:39.500+03:00,7557,1.143429,0,0,6228.047,4,10,2025-04-18T12:06:19.732+03:00,766660103.6307706,0,108.13,100.5586,1,0.5,2025-04-18T12:08:20.795+03:00,108,1.8,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T12:08:25.499+03:00,1744967304.970806,40.95359319739049,29.1409997789972,93.61648,-1,-1,-1,-1,30,23.79642844582683,-9999,65622.11606266667,-0.6969451904296875,0.68603515625,-0.1560821533203125,65622.10975666667,1.519811665808599,-1.374604312523574,-0.7703605606168195,-0.001875645248219371,0.0003493735566735268,-0.018679054453969,-0.005656898021697998,0.03546327352523804,-0.02155560255050659,XArbitraryZVertical,0.1944969061304121,-0.626276427985659,0.6662462461675498,0.3550560198610317,-0.7038921117782593,0.6963940262794495,-0.1398975849151611,0,0,0,-1,-1,65617.57966775,unknown,2,2025-04-18T12:08:20.955+03:00,2025-04-17T15:44:39.500+03:00,7557,1.143429,0,0,6228.047,4,10,2025-04-18T12:06:19.732+03:00,766660103.6307706,0,108.13,100.5586,1,0.5,2025-04-18T12:08:20.795+03:00,108,1.8,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T12:08:25.505+03:00,1744967304.970806,40.95359319739049,29.1409997789972,93.61648,-1,-1,-1,-1,30,23.79642844582683,-9999,65622.12613766667,-0.7068634033203125,0.6963653564453125,-0.1612701416015625,65622.11983166667,1.520035609183654,-1.374429090005412,-0.7702028652466015,0.03892531618475914,-3.465451300144196e-05,-0.01209305599331856,0.009456217288970947,-0.006034255027770996,-0.01588714122772217,XArbitraryZVertical,0.1945625216967218,-0.6261982515155724,0.6662852229742008,0.3550848813079492,-0.7039753198623657,0.696280837059021,-0.1400423496961594,0,0,0,-1,-1,65617.57966775,unknown,2,2025-04-18T12:08:20.955+03:00,2025-04-17T15:44:39.500+03:00,7557,1.143429,0,0,6228.047,4,10,2025-04-18T12:06:19.732+03:00,766660103.6307706,0,108.13,100.5586,1,0.5,2025-04-18T12:08:20.795+03:00,108,1.8,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T12:08:25.516+03:00,1744967304.970806,40.95359319739049,29.1409997789972,93.61648,-1,-1,-1,-1,30,23.79642844582683,-9999,65622.13621266666,-0.697509765625,0.704193115234375,-0.1636962890625,65622.12990766668,1.520782779147079,-1.373952394006674,-0.7699944233765007,0.06928528845310211,-0.009869508445262909,-0.007910462096333504,-0.001897156238555908,-0.004587650299072266,-0.01878857612609863,XArbitraryZVertical,0.194708843642465,-0.6260074461518487,0.6664407108649896,0.3550492549667972,-0.7040507793426514,0.6961312294006348,-0.1404062807559967,0,0,0,-1,-1,65617.57966775,unknown,2,2025-04-18T12:08:20.955+03:00,2025-04-17T15:44:39.500+03:00,7557,1.143429,0,0,6228.047,4,10,2025-04-18T12:06:19.732+03:00,766660103.6307706,0,108.13,100.5586,1,0.5,2025-04-18T12:08:20.795+03:00,108,1.8,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T12:08:25.526+03:00,1744967304.970806,40.95359319739049,29.1409997789972,93.61648,-1,-1,-1,-1,30,23.79642844582683,-9999,65622.14628866667,-0.694488525390625,0.6870269775390625,-0.1523895263671875,65622.13998266667,1.521643009386493,-1.373445072987954,-0.7697978840098653,0.05221894755959511,-0.008104365319013596,-0.005294971633702517,0.003765642642974854,0.009423732757568359,-0.02455389499664307,XArbitraryZVertical,0.1948761328124811,-0.6258020112822922,0.6666206518824055,0.3549818139354037,-0.7041136026382446,0.6959901452064514,-0.140790268778801,0,0,0,-1,-1,65617.57966775,unknown,2,2025-04-18T12:08:20.955+03:00,2025-04-17T15:44:39.500+03:00,7557,1.143429,0,0,6228.047,4,10,2025-04-18T12:06:19.732+03:00,766660103.6307706,0,108.13,100.5586,1,0.5,2025-04-18T12:08:20.795+03:00,108,1.8,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T12:08:25.535+03:00,1744967304.970806,40.95359319739049,29.1409997789972,93.61648,-1,-1,-1,-1,30,23.79642844582683,-9999,65622.15636366667,-0.6966400146484375,0.6747894287109375,-0.1388702392578125,65622.15005766667,1.522166661358272,-1.373174376411703,-0.7696872542741043,0.02490297146141529,-0.01058316975831985,-0.000759574759285897,0.009525001049041748,-0.00398564338684082,-0.014979287981987,XArbitraryZVertical,0.1949875565358915,-0.6256851190593516,0.6667275035577255,0.3549259148974865,-0.7041508555412292,0.6959106922149658,-0.1409959644079208,0,0,0,-1,-1,65617.57966775,unknown,2,2025-04-18T12:08:20.955+03:00,2025-04-17T15:44:39.500+03:00,7557,1.143429,0,0,6228.047,4,10,2025-04-18T12:06:19.732+03:00,766660103.6307706,0,108.13,100.5586,1,0.5,2025-04-18T12:08:20.795+03:00,108,1.8,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T12:08:25.545+03:00,1744967304.970806,40.95359319739049,29.1409997789972,93.61648,-1,-1,-1,-1,30,23.79642844582683,-9999,65622.16643866667,-0.697784423828125,0.6816253662109375,-0.1349334716796875,65622.16013366666,1.522374773934899,-1.373179396122437,-0.7696480817979224,0.005937536712735891,-0.01788582280278206,0.002461518393829465,0.007446825504302979,-0.02031487226486206,-0.0002374649047851562,XArbitraryZVertical,0.1950676516876036,-0.6256594134591931,0.6667595488810442,0.3548672105578982,-0.7041784524917603,0.6958825588226318,-0.1409978121519089,0,0,0,-1,-1,65617.57966775,unknown,2,2025-04-18T12:08:20.955+03:00,2025-04-17T15:44:39.500+03:00,7557,1.143429,0,0,6228.047,4,10,2025-04-18T12:06:19.732+03:00,766660103.6307706,0,108.13,100.5586,1,0.5,2025-04-18T12:08:20.795+03:00,108,1.8,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T12:08:25.555+03:00,1744967304.970806,40.95359319739049,29.1409997789972,93.61648,-1,-1,-1,-1,30,23.79642844582683,-9999,65622.17651366667,-0.700775146484375,0.6808013916015625,-0.1336212158203125,65622.17020866668,1.522313978844675,-1.373354287437663,-0.7696513856110658,-0.01389036327600479,-0.009418169036507607,0.00110643554944545,0.006904661655426025,-0.0162736177444458,0.00626121461391449,XArbitraryZVertical,0.1951057947426398,-0.6256969072639428,0.6667320779965527,0.3548317880388157,-0.7042008638381958,0.6958849430084229,-0.1408742219209671,0,0,0,-1,-1,65617.57966775,unknown,2,2025-04-18T12:08:20.955+03:00,2025-04-17T15:44:39.500+03:00,7557,1.143429,0,0,6228.047,4,10,2025-04-18T12:06:19.732+03:00,766660103.6307706,0,108.13,100.5586,1,0.5,2025-04-18T12:08:20.795+03:00,108,1.8,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T12:08:25.565+03:00,1744967304.970806,40.95359319739049,29.1409997789972,93.61648,-1,-1,-1,-1,30,23.79642844582683,-9999,65622.18658966667,-0.7066192626953125,0.676025390625,-0.1311187744140625,65622.18028366668,1.521958832973865,-1.373668209088317,-0.7697625433442778,-0.03988867625594139,-0.009025618433952332,0.008632795885205269,0.004813015460968018,-0.01334750652313232,0.006681144237518311,XArbitraryZVertical,0.1950613858511149,-0.6258051339480355,0.6666509638231507,0.3548176500532492,-0.7041691541671753,0.6959647536277771,-0.1406379789113998,0,0,0,-1,-1,65617.57966775,unknown,2,2025-04-18T12:08:20.955+03:00,2025-04-17T15:44:39.500+03:00,7557,1.143429,0,0,6228.047,4,10,2025-04-18T12:06:19.732+03:00,766660103.6307706,0,108.13,100.5586,1,0.5,2025-04-18T12:08:20.795+03:00,108,1.8,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
