loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T13:36:36.502+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.84218425,-0.7715606689453125,0.565948486328125,-0.2748870849609375,33847.83714625,-0.2934662319020494,-1.223511086314112,-0.5965386664859647,0.03884409740567207,-0.09379804134368896,-0.05598079040646553,-0.0007445216178894043,-0.007247507572174072,0.003212630748748779,XArbitraryZVertical,-0.3182460426946336,-0.5078757068791426,0.05254913505920728,0.7987616629935601,-0.7778961658477783,0.5617823600769043,-0.2815634310245514,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.504+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.85226125,-0.7618408203125,0.5709686279296875,-0.27392578125,33847.84722325,-0.2936152376474402,-1.224522760892604,-0.5960707053519143,-0.01106433942914009,-0.08507779240608215,-0.02818724513053894,0.007187604904174805,0.00339353084564209,0.006237894296646118,XArbitraryZVertical,-0.3180820165873204,-0.5083218303217353,0.05251524816252437,0.7985453679394461,-0.77842777967453,0.5613951086997986,-0.280865490436554,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.504+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.86233725,-0.7741546630859375,0.5686187744140625,-0.280364990234375,33847.85729925,-0.2937473420259926,-1.225171509045327,-0.5957954104750676,0.00474072340875864,-0.0483245737850666,-0.03099874407052994,0.009056210517883301,0.006795287132263184,0.005571544170379639,XArbitraryZVertical,-0.3179954473325549,-0.5085985566934159,0.05248598737496189,0.7984056132214949,-0.778755247592926,0.561167299747467,-0.2804127931594849,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.511+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.87241425,-0.785797119140625,0.5738525390625,-0.282073974609375,33847.86737625,-0.2937448278836037,-1.225601511112352,-0.5956462524904368,0.004140446893870831,-0.04922738298773766,-0.02320500276982784,0.01834970712661743,0.009543180465698242,0.004151016473770142,XArbitraryZVertical,-0.3179276855645938,-0.5087915977577915,0.05251220390600511,0.7983077870201306,-0.7789544463157654,0.5610438585281372,-0.2801061868667603,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.521+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.88249025001,-0.7682647705078125,0.561126708984375,-0.2727203369140625,33847.87745225,-0.2937833805524572,-1.225989352000966,-0.5956103624694254,-0.01017950288951397,-0.03235505893826485,-0.01083188969641924,-0.01114004850387573,0.009862959384918213,-0.005467385053634644,XArbitraryZVertical,-0.3179138231702285,-0.5089453039010152,0.05254801130014055,0.7982131582096972,-0.779082179069519,0.5610141158103943,-0.2798109650611877,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.531+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.89256725,-0.7813873291015625,0.5455322265625,-0.2755279541015625,33847.88752925,-0.2939830255596382,-1.226189504730311,-0.5956787296718725,-0.02252964675426483,0.0007104822434484959,-0.005999317392706871,0.008838295936584473,0.007685363292694092,0.004983872175216675,XArbitraryZVertical,-0.3179849656518774,-0.5089838222904816,0.05251995250897408,0.7981621095181398,-0.779102087020874,0.5610707402229309,-0.2796420753002167,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.541+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.90264425,-0.7844085693359375,0.555450439453125,-0.2776947021484375,33847.89760525,-0.2942131781547445,-1.226322020490634,-0.5956894223850384,-0.02159800752997398,-0.01154105644673109,-0.004615505691617727,0.004108965396881104,-0.01167172193527222,0.005305826663970947,XArbitraryZVertical,-0.3180440933901612,-0.5089986137693356,0.05245231384975219,0.7981334441276831,-0.7791333198547363,0.5610795617103577,-0.2795367240905762,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.551+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.91272025,-0.7703857421875,0.562957763671875,-0.2765045166015625,33847.90768225,-0.294463931196789,-1.226619353036801,-0.5956196962047766,-0.01782057993113995,-0.01807378977537155,-0.007279199548065662,-0.007032096385955811,-0.01143085956573486,0.002066135406494141,XArbitraryZVertical,-0.3180740210799592,-0.5090872068859719,0.05237932889969657,0.7980698220863908,-0.7792532444000244,0.5610218644142151,-0.2793182730674744,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.561+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.92279725,-0.77459716796875,0.5584869384765625,-0.2762908935546875,33847.91775825001,-0.2947378004469488,-1.226930219824878,-0.5955936120624097,-0.02332493290305138,-0.01143706031143665,-0.005453269463032484,0.004283666610717773,0.001636922359466553,0.002561181783676147,XArbitraryZVertical,-0.3181258516262323,-0.5091713679420395,0.05231194976154287,0.7979998450589167,-0.7793537974357605,0.5610002279281616,-0.2790809273719788,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.571+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.93287325,-0.7826995849609375,0.561279296875,-0.2738494873046875,33847.92783525,-0.2949978121131918,-1.227122646147418,-0.595701692434094,-0.01786412112414837,0.001435860991477966,-0.003542185295373201,0.008949458599090576,-0.001428008079528809,0.002726465463638306,XArbitraryZVertical,-0.3182274624741382,-0.5091915444393726,0.05227015366003174,0.7979491736957236,-0.7793503403663635,0.5610896944999695,-0.2789105176925659,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.581+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.94295025,-0.77874755859375,0.5630340576171875,-0.2738037109375,33847.93791125,-0.2951956793539222,-1.227237650819377,-0.5958142978056408,-0.01281496789306402,-0.003261622507125139,-0.003283159574493766,-0.002033710479736328,-0.001475393772125244,0.004110932350158691,XArbitraryZVertical,-0.3183169345370763,-0.5091900503159343,0.05224211643410248,0.797916386455554,-0.7793230414390564,0.5611829161643982,-0.2787996530532837,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.591+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.95302625,-0.775299072265625,0.5593719482421875,-0.2733612060546875,33847.94798825,-0.2953347119941026,-1.227307273047534,-0.5959845335182798,-0.01521420944482088,0.001845788210630417,4.685710882768035e-05,-0.001722812652587891,0.001527011394500732,0.005062103271484375,XArbitraryZVertical,-0.3184141983293964,-0.5091716780919449,0.05224708687096574,0.7978889627737247,-0.7792524695396423,0.5613238215446472,-0.278713196516037,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.601+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.96310325,-0.7784576416015625,0.55706787109375,-0.27471923828125,33847.95806525,-0.2955004994779484,-1.227365092920966,-0.5960259250025971,-0.01512625906616449,0.003105529583990574,-0.0005524539737962186,0.003230512142181396,-0.0002162456512451172,0.006138354539871216,XArbitraryZVertical,-0.3184703941332272,-0.5091625113696382,0.05220217542104793,0.7978752586046478,-0.7792466282844543,0.5613580942153931,-0.2786602973937988,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.611+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.97317925,-0.774505615234375,0.559906005859375,-0.276763916015625,33847.96814125,-0.2956932517795661,-1.227484895211238,-0.5961549167092719,-0.01627088524401188,-0.003804042004048824,-0.002116262214258313,0.001532495021820068,-0.004412293434143066,0.004525303840637207,XArbitraryZVertical,-0.3185645647519747,-0.5091613896622526,0.05218173191169035,0.7978397991915638,-0.7792119383811951,0.5614648461341858,-0.2785426080226898,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.621+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.983255125,-0.7753143310546875,0.56524658203125,-0.275115966796875,33847.978217125,-0.295874610753152,-1.227618082501483,-0.5961055159684533,-0.01286829821765423,-0.0003825454041361809,-0.0034360580611974,0.002312839031219482,-0.003806829452514648,0.002935469150543213,XArbitraryZVertical,-0.3185887977097661,-0.5091926107816133,0.05211628873013056,0.7978144375973636,-0.779275119304657,0.5614239573478699,-0.2784481346607208,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.631+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33847.993331125,-0.7783660888671875,0.564239501953125,-0.2738494873046875,33847.988293125,-0.2960417615650733,-1.227712876532962,-0.596024934124716,-0.01141501124948263,0.00317117664963007,-0.0004421325284056365,0.005494594573974609,0.002088665962219238,0.002495318651199341,XArbitraryZVertical,-0.3185987710610721,-0.5092151861160571,0.05204137081269943,0.7978008566405469,-0.7793439626693726,0.5613572597503662,-0.2783894240856171,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.641+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33848.00340812501,-0.7788238525390625,0.5638885498046875,-0.2759552001953125,33847.998370125,-0.2961928033246037,-1.227739324638514,-0.5960650292980204,-0.01080767624080181,0.007602543104439974,-0.006451888475567102,0.001559257507324219,0.003642380237579346,0.004145592451095581,XArbitraryZVertical,-0.3186515283702234,-0.5091960075349582,0.0519969565320711,0.7977949393772804,-0.7793301939964294,0.5613904595375061,-0.2783612608909607,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.652+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33848.013485125,-0.7791900634765625,0.5641632080078125,-0.2755584716796875,33848.008446125,-0.2963030684746007,-1.227697670892887,-0.5960904724995886,-0.008177272044122219,0.01105000451207161,-0.002305612899363041,0.0007560849189758301,0.003087341785430908,0.00385284423828125,XArbitraryZVertical,-0.3186901697439838,-0.5091582189488163,0.05195367605799298,0.7978065534525819,-0.7793052792549133,0.5614114999771118,-0.2783889770507812,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.662+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33848.023561125,-0.77777099609375,0.5631561279296875,-0.2756500244140625,33848.018523125,-0.29642827517062,-1.227684140218141,-0.5960717531605265,-0.008198710158467293,0.009735070168972015,-0.003591453656554222,-0.0001838803291320801,0.002767086029052734,0.00247839093208313,XArbitraryZVertical,-0.3187154259304483,-0.5091355244989325,0.05189618695585068,0.7978145660335596,-0.7793112397193909,0.5613960027694702,-0.2784029841423035,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:36:36.672+03:00,1745318195.342109,40.95217608864979,29.14027786161256,75.95301,-1,-1,-1,-1,30,21.25043575116273,-9999,33848.033638125,-0.776641845703125,0.5628662109375,-0.276214599609375,33848.028599125,-0.2965495999302259,-1.227688284359231,-0.5960760695887386,-0.00583861768245697,0.007921990007162094,-0.002435641828924417,0.0004559159278869629,0.002229511737823486,0.002993106842041016,XArbitraryZVertical,-0.3187477892813784,-0.5091172239244768,0.05184966356681237,0.7978164535997924,-0.7793102860450745,0.5613995790481567,-0.2783989906311035,0,0,0,-1,-1,33839.37413354167,unknown,2,2025-04-22T13:36:28.007+03:00,2025-04-21T17:08:51.449+03:00,7462,1.01963,0,0,6211.912,5,20,2025-04-22T13:34:37.085+03:00,767010995.8481008,0,-20.18999,100.4446,1,0.65,2025-04-22T13:36:14.479+03:00,85,1.416666666666667,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
