loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T13:18:56.200+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.541218375,-0.6323089599609375,0.5356597900390625,-0.581512451171875,32849.531141375,0.1758821688682196,-0.8050432795859659,-0.5664395357001114,0.03428602963685989,0.01049154065549374,-0.007735532242804766,0.08221244812011719,-0.002085268497467041,0.04139095544815063,XArbitraryZVertical,0.2230854697718259,0.3972613065893852,-0.1866369881067825,-0.8703923414715573,-0.6082744002342224,0.5366310477256775,-0.5848326683044434,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.201+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.551295375,-0.6497650146484375,0.514007568359375,-0.579833984375,32849.541218375,0.1761514657680777,-0.8045087165091815,-0.5661649310705508,0.03045081347227097,0.05589843541383743,-2.275127917528152e-05,0.01419579982757568,-0.004203379154205322,0.01337581872940063,XArbitraryZVertical,0.2229597216127724,0.3970629795477306,-0.1866462536442401,-0.8705130729434005,-0.6080678105354309,0.5363993644714355,-0.5852599143981934,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.202+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.561372375,-0.5962982177734375,0.50738525390625,-0.5683746337890625,32849.551295375,0.1763237554337339,-0.8040102475141534,-0.5660613448259127,0.004534461535513401,0.02241364680230618,0.005572383757680655,-0.05066174268722534,-0.009868502616882324,0.0007627010345458984,XArbitraryZVertical,0.2229259627941677,0.3968668391244783,-0.1866474838151776,-0.8706108415858608,-0.6078159809112549,0.53631192445755,-0.5856014490127563,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.213+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.57144837501,-0.58721923828125,0.528839111328125,-0.576141357421875,32849.561372375,0.1763353911895195,-0.8039308565036669,-0.5660720147062731,-0.003824135754257441,0.005311891902238131,0.007407834753394127,-0.008170843124389648,-0.03255212306976318,0.01499766111373901,XArbitraryZVertical,0.2229358106338943,0.3968334120355868,-0.1866455765030153,-0.8706239624541804,-0.6077653765678406,0.5363209247589111,-0.5856457352638245,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.225+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.581525375,-0.6125335693359375,0.533050537109375,-0.5916595458984375,32849.57144837501,0.176400085474358,-0.8037673253663522,-0.566124621043362,0.001740206265822053,0.01907956972718239,0.006168232765048742,0.02453476190567017,-0.01456058025360107,0.01506221294403076,XArbitraryZVertical,0.2229616404705991,0.3967686081144901,-0.1866647422533228,-0.8706428123222663,-0.6076493263244629,0.5363653302192688,-0.5857255458831787,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.233+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.591602375,-0.61163330078125,0.5350341796875,-0.595977783203125,32849.581525375,0.1765179529352326,-0.8034773746744737,-0.5662035565762538,0.009400255978107452,0.01781137101352215,0.005474745761603117,0.003735005855560303,-0.002496421337127686,-0.0008280277252197266,XArbitraryZVertical,0.2230004453722334,0.3966542948592897,-0.1866975863899925,-0.8706779453536947,-0.6074489951133728,0.5364319086074829,-0.5858723521232605,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.243+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.601678375,-0.598419189453125,0.547149658203125,-0.5897674560546875,32849.591602375,0.1766486738784117,-0.803280107309653,-0.5661377960932387,0.01500501204282045,0.01253924518823624,-2.927600871771574e-05,-0.007784008979797363,-0.003539621829986572,-0.009762704372406006,XArbitraryZVertical,0.2229636776421211,0.3965840095014264,-0.186720958263619,-0.8707143476873749,-0.6073588132858276,0.536376416683197,-0.5860166549682617,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.253+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.611755375,-0.6031036376953125,0.550811767578125,-0.5856170654296875,32849.601678375,0.1768118927338589,-0.8030638617426857,-0.5659748083644818,0.02390769496560097,0.01667406968772411,-8.333817822858691e-05,0.006113946437835693,0.005799055099487305,-0.005984842777252197,XArbitraryZVertical,0.2228789700255113,0.3965105402071428,-0.1867392755708616,-0.8707656254195613,-0.6072949767112732,0.5362388491630554,-0.586208701133728,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.263+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.621832375,-0.6083221435546875,0.53704833984375,-0.582000732421875,32849.611755375,0.1770372268869902,-0.8027699562801048,-0.5658063373499019,0.02781042270362377,0.01741642504930496,-0.001342147821560502,0.006937384605407715,0.01573741436004639,-0.0002809762954711914,XArbitraryZVertical,0.2227867691699297,0.3964102502777933,-0.1867750623669412,-0.8708272224188792,-0.6071876287460327,0.5360966920852661,-0.586449921131134,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.273+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.631909375,-0.60675048828125,0.527313232421875,-0.582427978515625,32849.621832375,0.1772209016111911,-0.8025051924884332,-0.5656265529661028,0.01865420863032341,0.01340037770569324,-0.003575740847736597,-0.0002897381782531738,0.006932258605957031,0.003654599189758301,XArbitraryZVertical,0.2226950803288485,0.3963181629647001,-0.186794017773502,-0.8708884943690969,-0.6071016192436218,0.5359448790550232,-0.586677610874176,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.283+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.641985375,-0.604278564453125,0.529144287109375,-0.583831787109375,32849.631909375,0.177333392048609,-0.8023447624390181,-0.5654937479781059,0.01488563604652882,0.008683720603585243,-0.000555150443688035,-0.0004547834396362305,-0.006841123104095459,0.005312085151672363,XArbitraryZVertical,0.2226286675414149,0.396262853443583,-0.1868018637362344,-0.8709289100577483,-0.6070586442947388,0.5358327627182007,-0.5868244767189026,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.293+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.652062375,-0.605804443359375,0.53253173828125,-0.58404541015625,32849.641985375,0.1774266769275812,-0.8022023727015192,-0.5653532259091749,0.01345791574567556,0.0127788633108139,-0.002093126066029072,0.001850366592407227,-0.008309364318847656,0.003146767616271973,XArbitraryZVertical,0.2225609353620965,0.3962133481139968,-0.1868019936817626,-0.8709687210986209,-0.6070291996002197,0.5357140898704529,-0.5869632363319397,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.303+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.662139375,-0.60736083984375,0.5321502685546875,-0.5843353271484375,32849.652062375,0.1775230864593856,-0.802024560794303,-0.5652465483581046,0.01311363559216261,0.01343167014420033,-0.003616687143221498,0.002504229545593262,-0.004252076148986816,0.003584325313568115,XArbitraryZVertical,0.2225109647899025,0.3961482675701377,-0.1868055153176312,-0.8710102657269172,-0.6069658398628235,0.5356240272521973,-0.5871108174324036,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.313+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.672215375,-0.6026763916015625,0.532196044921875,-0.584136962890625,32849.662139375,0.1775923046382316,-0.801875203625259,-0.5651509417920138,0.00836655031889677,0.01031976658850908,-0.003248105524107814,0.0001187324523925781,-0.003011643886566162,0.003237545490264893,XArbitraryZVertical,0.2224686441503146,0.3960923523745118,-0.1868022824815585,-0.8710472078310039,-0.6069149971008301,0.5355433225631714,-0.5872371196746826,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T13:18:56.323+03:00,1745317135.028596,40.9522634397247,29.14028108201103,76.21932,-1,-1,-1,-1,30,24.85156048724523,-9999,32849.682292375,-0.6009368896484375,0.5339202880859375,-0.5840301513671875,32849.672215375,0.1776622319603555,-0.8017360747414506,-0.5650510183210083,0.008781670592725277,0.008498364128172398,-0.001071271020919085,0.00245589017868042,-0.003400266170501709,0.00360339879989624,XArbitraryZVertical,0.2224233009998557,0.3960410099911169,-0.1867997276856488,-0.8710827449898426,-0.6068717837333679,0.5354589223861694,-0.5873587727546692,0,0,0,-1,-1,32846.292754625,unknown,2,2025-04-22T13:18:52.929+03:00,2025-04-21T17:08:51.449+03:00,7440,1.01013,0,0,6196.233,5,20,2025-04-22T13:18:52.929+03:00,767009935.5997123,0,-20.39,100.4473,1,0.7,2025-04-22T13:17:51.654+03:00,90,1.5,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
