loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-21T17:18:36.722+03:00,1745245116.100112,40.95228573499299,29.14029995516199,76.48029,-1,-1,-1,-1,30,22.90986188445598,-9999,21617.251203,-0.7717437744140625,0.66192626953125,-0.1064605712890625,21617.241127,-0.5847320231062462,-1.407007047032632,-0.6987950942032827,0.009669434279203415,0.01559133641421795,-0.001503050094470382,0.004028379917144775,-0.03880351781845093,0.03261594474315643,XArbitraryZVertical,-0.4251590107186521,-0.5067738938254444,0.005544762622316991,0.7499262147495861,-0.7553712725639343,0.6432956457138062,-0.124840073287487,0,0,0,-1,-1,21613.43868929167,unknown,2,2025-04-21T17:18:32.885+03:00,2025-04-21T17:08:51.449+03:00,68,1.085773,0,0,53.54406,0,0,2025-04-21T17:18:35.464+03:00,766937907.8311855,0,-0.4300003,100.2095,1,0.25,2025-04-21T17:17:49.980+03:00,98,1.633333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T17:18:36.724+03:00,1745245116.100112,40.95228573499299,29.14029995516199,76.48029,-1,-1,-1,-1,30,22.90986188445598,-9999,21617.261279,-0.7514190673828125,0.632904052734375,-0.1152496337890625,21617.251203,-0.584784889602138,-1.406914482050746,-0.6987658204202991,-0.008880813606083393,0.02039647847414017,0.0006644966779276729,-0.016914963722229,0.01341915130615234,0.02473914623260498,XArbitraryZVertical,-0.4251635819526419,-0.5067340603413764,0.005495676928709686,0.7499508165005774,-0.7553781270980835,0.6432732343673706,-0.1249130442738533,0,0,0,-1,-1,21613.43868929167,unknown,2,2025-04-21T17:18:32.885+03:00,2025-04-21T17:08:51.449+03:00,68,1.085773,0,0,53.54406,0,0,2025-04-21T17:18:35.464+03:00,766937907.8311855,0,-0.4300003,100.2095,1,0.25,2025-04-21T17:17:49.980+03:00,98,1.633333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T17:18:36.725+03:00,1745245116.100112,40.95228573499299,29.14029995516199,76.48029,-1,-1,-1,-1,30,22.90986188445598,-9999,21617.271355,-0.7403411865234375,0.627227783203125,-0.1201171875,21617.261279,-0.5849700948848124,-1.406876624111037,-0.6987001017182914,-0.01402051467448473,0.01534812338650227,0.004993431735783815,-0.005540728569030762,0.001506567001342773,0.01210975646972656,XArbitraryZVertical,-0.4251901704586897,-0.5066942419637893,0.00539659740564402,0.7499633350445244,-0.7554150223731995,0.6432229280471802,-0.1249485313892365,0,0,0,-1,-1,21613.43868929167,unknown,2,2025-04-21T17:18:32.885+03:00,2025-04-21T17:08:51.449+03:00,68,1.085773,0,0,53.54406,0,0,2025-04-21T17:18:35.464+03:00,766937907.8311855,0,-0.4300003,100.2095,1,0.25,2025-04-21T17:17:49.980+03:00,98,1.633333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T17:18:36.732+03:00,1745245116.100112,40.95228573499299,29.14029995516199,76.48029,-1,-1,-1,-1,30,22.90986188445598,-9999,21617.281431,-0.74652099609375,0.6327972412109375,-0.1223907470703125,21617.271355,-0.5850911609672569,-1.406795428238633,-0.6988762172440389,-0.01427750941365957,0.007333073765039444,0.008596422150731087,0.01324301958084106,-0.01765596866607666,0.006613731384277344,XArbitraryZVertical,-0.4252758404413811,-0.5066011945838433,0.005391792262057451,0.7499776929561631,-0.7552931904792786,0.6433577537536621,-0.1249913796782494,0,0,0,-1,-1,21613.43868929167,unknown,2,2025-04-21T17:18:32.885+03:00,2025-04-21T17:08:51.449+03:00,68,1.085773,0,0,53.54406,0,0,2025-04-21T17:18:35.464+03:00,766937907.8311855,0,-0.4300003,100.2095,1,0.25,2025-04-21T17:17:49.980+03:00,98,1.633333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T17:18:36.743+03:00,1745245116.100112,40.95228573499299,29.14029995516199,76.48029,-1,-1,-1,-1,30,22.90986188445598,-9999,21617.291507,-0.746795654296875,0.6361083984375,-0.124053955078125,21617.281431,-0.5853048859829744,-1.406789998610892,-0.6991096298961127,-0.03204119578003883,0.006585657596588135,0.008476779796183109,0.01074433326721191,-0.01189899444580078,0.003098964691162109,XArbitraryZVertical,-0.4254026079309363,-0.5065048320171169,0.005387201088782231,0.7499708989722921,-0.7551442980766296,0.6435364484786987,-0.1249709501862526,0,0,0,-1,-1,21613.43868929167,unknown,2,2025-04-21T17:18:32.885+03:00,2025-04-21T17:08:51.449+03:00,68,1.085773,0,0,53.54406,0,0,2025-04-21T17:18:35.464+03:00,766937907.8311855,0,-0.4300003,100.2095,1,0.25,2025-04-21T17:17:49.980+03:00,98,1.633333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T17:18:36.757+03:00,1745245116.100112,40.95228573499299,29.14029995516199,76.48029,-1,-1,-1,-1,30,22.90986188445598,-9999,21617.301583,-0.7414703369140625,0.6427459716796875,-0.1242218017578125,21617.291507,-0.5857196980877152,-1.40696086472663,-0.6992678083538453,-0.04081790894269943,0.00428761588409543,0.009253357537090778,0.007064163684844971,-0.008907318115234375,0.001732654869556427,XArbitraryZVertical,-0.425556396472242,-0.5064475242636661,0.005319989299719375,0.7499228281077822,-0.7550652027130127,0.6436575055122375,-0.1248253136873245,0,0,0,-1,-1,21613.43868929167,unknown,2,2025-04-21T17:18:32.885+03:00,2025-04-21T17:08:51.449+03:00,68,1.085773,0,0,53.54406,0,0,2025-04-21T17:18:35.464+03:00,766937907.8311855,0,-0.4300003,100.2095,1,0.25,2025-04-21T17:17:49.980+03:00,98,1.633333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T17:18:36.763+03:00,1745245116.100112,40.95228573499299,29.14029995516199,76.48029,-1,-1,-1,-1,30,22.90986188445598,-9999,21617.311659,-0.7457122802734375,0.6475372314453125,-0.127044677734375,21617.301583,-0.5862269587418879,-1.407245837254817,-0.6994287171102157,-0.04061071202158928,0.0001970003359019756,0.009587718173861504,0.01264333724975586,-0.004620611667633057,-5.578994750976562e-05,XArbitraryZVertical,-0.4257341064098063,-0.5064127045981019,0.005243311141275507,0.7498460571008557,-0.7549986243247986,0.6437806487083435,-0.1245932877063751,0,0,0,-1,-1,21613.43868929167,unknown,2,2025-04-21T17:18:32.885+03:00,2025-04-21T17:08:51.449+03:00,68,1.085773,0,0,53.54406,0,0,2025-04-21T17:18:35.464+03:00,766937907.8311855,0,-0.4300003,100.2095,1,0.25,2025-04-21T17:17:49.980+03:00,98,1.633333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T17:18:36.772+03:00,1745245116.100112,40.95228573499299,29.14029995516199,76.48029,-1,-1,-1,-1,30,22.90986188445598,-9999,21617.321735,-0.7493743896484375,0.651092529296875,-0.132720947265625,21617.311659,-0.5867299831934164,-1.407570888445568,-0.6995932488430571,-0.03946848213672638,0.003194654360413551,0.007104053627699614,0.01056510210037231,0.001830041408538818,-0.001737415790557861,XArbitraryZVertical,-0.4259117582311118,-0.5063929753039803,0.005178011479769455,0.7497589628466867,-0.7549346089363098,0.6439065337181091,-0.1243306547403336,0,0,0,-1,-1,21613.43868929167,unknown,2,2025-04-21T17:18:32.885+03:00,2025-04-21T17:08:51.449+03:00,68,1.085773,0,0,53.54406,0,0,2025-04-21T17:18:35.464+03:00,766937907.8311855,0,-0.4300003,100.2095,1,0.25,2025-04-21T17:17:49.980+03:00,98,1.633333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T17:18:36.787+03:00,1745245116.100112,40.95228573499299,29.14029995516199,76.48029,-1,-1,-1,-1,30,22.90986188445598,-9999,21617.331811,-0.7480316162109375,0.649200439453125,-0.13580322265625,21617.321735,-0.5871989844838353,-1.407874585969258,-0.6996575254079692,-0.03237269073724747,0.002569410717114806,0.002196013927459717,0.006655693054199219,0.005855023860931396,-0.006230607628822327,XArbitraryZVertical,-0.4260496821982983,-0.506393452037309,0.005087998942752201,0.7496809391498305,-0.7549315690994263,0.6439557075500488,-0.1240946799516678,0,0,0,-1,-1,21613.43868929167,unknown,2,2025-04-21T17:18:32.885+03:00,2025-04-21T17:08:51.449+03:00,68,1.085773,0,0,53.54406,0,0,2025-04-21T17:18:35.464+03:00,766937907.8311855,0,-0.4300003,100.2095,1,0.25,2025-04-21T17:17:49.980+03:00,98,1.633333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T17:18:36.793+03:00,1745245116.100112,40.95228573499299,29.14029995516199,76.48029,-1,-1,-1,-1,30,22.90986188445598,-9999,21617.341887,-0.7449188232421875,0.652435302734375,-0.11883544921875,21617.331811,-0.5876287137881376,-1.408216322320299,-0.6997278468969668,-0.03038171119987965,-0.008541030809283257,0.001418371102772653,0.005936145782470703,0.005968987941741943,-0.01316410303115845,XArbitraryZVertical,-0.4261795041866652,-0.5064152124386961,0.005022906383899513,0.7495927778370526,-0.7549290657043457,0.644009530544281,-0.1238293275237083,0,0,0,-1,-1,21613.43868929167,unknown,2,2025-04-21T17:18:32.885+03:00,2025-04-21T17:08:51.449+03:00,68,1.085773,0,0,53.54406,0,0,2025-04-21T17:18:35.464+03:00,766937907.8311855,0,-0.4300003,100.2095,1,0.25,2025-04-21T17:17:49.980+03:00,98,1.633333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
