loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T11:02:08.938+03:00,1745308928.387496,40.95218625471538,29.14025411606978,76.06111,-1,-1,-1,-1,30,23.97249025624534,-9999,27404.67825816667,-0.6494293212890625,0.6096038818359375,-0.1297607421875,27404.67071816667,-1.322750436655548,-1.347663346786214,-0.7405304365485315,-0.02497344091534615,-0.117296002805233,0.00699284253641963,-0.04019761085510254,-0.09086316823959351,0.0257602334022522,XArbitraryZVertical,0.580430237901987,0.2853663545221796,0.2692469464051669,-0.7135634159768545,-0.7198120951652527,0.6746795177459717,-0.1633335649967194,0,0,0,-1,-1,27398.99798816667,unknown,2,2025-04-22T11:01:23.743+03:00,2025-04-21T17:08:51.449+03:00,7097,0.9398554,0,0,5930.618,5,20,2025-04-22T11:01:54.697+03:00,767001673.5380644,0,-22.1,100.4668,1,0.95,2025-04-22T11:01:09.511+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T11:02:08.939+03:00,1745308928.387496,40.95218625471538,29.14025411606978,76.06111,-1,-1,-1,-1,30,23.97249025624534,-9999,27404.68833416667,-0.707977294921875,0.759490966796875,-0.162139892578125,27404.68079416667,-1.322984695274514,-1.348668338185682,-0.7406590283609281,-0.003463755128905177,-0.03307126462459564,0.009774980135262012,0.05973505973815918,-0.1221775412559509,0.05097287893295288,XArbitraryZVertical,0.580626931496146,0.2856166663006747,0.268998126830617,-0.7133970957971609,-0.7198913097381592,0.6747744083404541,-0.162590965628624,0,0,0,-1,-1,27398.99798816667,unknown,2,2025-04-22T11:01:23.743+03:00,2025-04-21T17:08:51.449+03:00,7097,0.9398554,0,0,5930.618,5,20,2025-04-22T11:01:54.697+03:00,767001673.5380644,0,-22.1,100.4668,1,0.95,2025-04-22T11:01:09.511+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T11:02:08.943+03:00,1745308928.387496,40.95218625471538,29.14025411606978,76.06111,-1,-1,-1,-1,30,23.97249025624534,-9999,27404.69841016667,-0.7582244873046875,0.706573486328125,-0.1616058349609375,27404.69087016667,-1.322834853701171,-1.348388699344197,-0.7408135673528731,0.01295969262719154,0.05826051160693169,0.02538163773715496,0.04275739192962646,0.04883575439453125,0.005710482597351074,XArbitraryZVertical,0.5806016093604892,0.2855120635973481,0.2689769415889217,-0.7134675414854662,-0.719744086265564,0.6748884916305542,-0.1627692729234695,0,0,0,-1,-1,27398.99798816667,unknown,2,2025-04-22T11:01:23.743+03:00,2025-04-21T17:08:51.449+03:00,7097,0.9398554,0,0,5930.618,5,20,2025-04-22T11:01:54.697+03:00,767001673.5380644,0,-22.1,100.4668,1,0.95,2025-04-22T11:01:09.511+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T11:02:08.952+03:00,1745308928.387496,40.95218625471538,29.14025411606978,76.06111,-1,-1,-1,-1,30,23.97249025624534,-9999,27404.70848616667,-0.725189208984375,0.6280670166015625,-0.1558685302734375,27404.70094616667,-1.3227714409598,-1.347861091781613,-0.7410665059964903,-0.009962134994566441,0.02819741889834404,0.02941965498030186,-0.02985221147537231,0.0679667592048645,0.0001930594444274902,XArbitraryZVertical,0.5805767089686096,0.2852631379829671,0.2690274620776907,-0.7135683643676646,-0.7194916605949402,0.6750751137733459,-0.1631112545728683,0,0,0,-1,-1,27398.99798816667,unknown,2,2025-04-22T11:01:23.743+03:00,2025-04-21T17:08:51.449+03:00,7097,0.9398554,0,0,5930.618,5,20,2025-04-22T11:01:54.697+03:00,767001673.5380644,0,-22.1,100.4668,1,0.95,2025-04-22T11:01:09.511+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T11:02:08.963+03:00,1745308928.387496,40.95218625471538,29.14025411606978,76.06111,-1,-1,-1,-1,30,23.97249025624534,-9999,27404.71856216667,-0.69366455078125,0.642242431640625,-0.159423828125,27404.71102216667,-1.322983879584997,-1.348054733354371,-0.7413109286416298,-0.0329100601375103,-0.03407767415046692,0.0149333905428648,-0.02371025085449219,-0.02700120210647583,0.005266308784484863,XArbitraryZVertical,0.5806863244991721,0.2851940722566022,0.2689696862896261,-0.7135285410328548,-0.7193622589111328,0.6752554178237915,-0.1629354655742645,0,0,0,-1,-1,27398.99798816667,unknown,2,2025-04-22T11:01:23.743+03:00,2025-04-21T17:08:51.449+03:00,7097,0.9398554,0,0,5930.618,5,20,2025-04-22T11:01:54.697+03:00,767001673.5380644,0,-22.1,100.4668,1,0.95,2025-04-22T11:01:09.511+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T11:02:08.972+03:00,1745308928.387496,40.95218625471538,29.14025411606978,76.06111,-1,-1,-1,-1,30,23.97249025624534,-9999,27404.72863816667,-0.7080841064453125,0.694549560546875,-0.1696624755859375,27404.72109816667,-1.323352834404024,-1.348678208329837,-0.7415200975265923,-0.02529861405491829,-0.03457821533083916,0.008758917450904846,0.0189475417137146,-0.04804474115371704,0.006144702434539795,XArbitraryZVertical,0.5808683146907037,0.2852439122197062,0.2688540699363824,-0.7134040787533883,-0.7193259596824646,0.6754096746444702,-0.162455826997757,0,0,0,-1,-1,27398.99798816667,unknown,2,2025-04-22T11:01:23.743+03:00,2025-04-21T17:08:51.449+03:00,7097,0.9398554,0,0,5930.618,5,20,2025-04-22T11:01:54.697+03:00,767001673.5380644,0,-22.1,100.4668,1,0.95,2025-04-22T11:01:09.511+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T11:02:08.983+03:00,1745308928.387496,40.95218625471538,29.14025411606978,76.06111,-1,-1,-1,-1,30,23.97249025624534,-9999,27404.73871416667,-0.7294158935546875,0.707855224609375,-0.17413330078125,27404.73117416667,-1.323547989549576,-1.348993225614812,-0.7416727969723806,-0.009150802157819271,-0.003799264784902334,0.008533081039786339,0.02075964212417603,0.001861035823822021,-0.004785731434822083,XArbitraryZVertical,0.5809717098912746,0.2852518246243788,0.2687838619025088,-0.7133432106687133,-0.7192765474319458,0.6755222678184509,-0.1622065305709839,0,0,0,-1,-1,27398.99798816667,unknown,2,2025-04-22T11:01:23.743+03:00,2025-04-21T17:08:51.449+03:00,7097,0.9398554,0,0,5930.618,5,20,2025-04-22T11:01:54.697+03:00,767001673.5380644,0,-22.1,100.4668,1,0.95,2025-04-22T11:01:09.511+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T11:02:08.993+03:00,1745308928.387496,40.95218625471538,29.14025411606978,76.06111,-1,-1,-1,-1,30,23.97249025624534,-9999,27404.74879016667,-0.7272186279296875,0.6876678466796875,-0.167938232421875,27404.74125016667,-1.32348982398068,-1.34890332355722,-0.7417465343665788,0.01171865966171026,0.009915083646774292,0.008136337623000145,-0.005167245864868164,0.03362119197845459,-0.01057618856430054,XArbitraryZVertical,0.5809673994336916,0.2852135534679535,0.2687658623896143,-0.7133687513320172,-0.7192133069038391,0.6755766272544861,-0.1622602194547653,0,0,0,-1,-1,27398.99798816667,unknown,2,2025-04-22T11:01:23.743+03:00,2025-04-21T17:08:51.449+03:00,7097,0.9398554,0,0,5930.618,5,20,2025-04-22T11:01:54.697+03:00,767001673.5380644,0,-22.1,100.4668,1,0.95,2025-04-22T11:01:09.511+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T11:02:09.003+03:00,1745308928.387496,40.95218625471538,29.14025411606978,76.06111,-1,-1,-1,-1,30,23.97249025624534,-9999,27404.75886616667,-0.7182769775390625,0.6760101318359375,-0.15814208984375,27404.75132616667,-1.323284814214843,-1.348733941074689,-0.7417250927349522,0.0192631296813488,-0.001353816594928503,-0.0001828452222980559,-0.01119256019592285,0.01991939544677734,-0.008726909756660461,XArbitraryZVertical,0.5809107292470276,0.2852194016544247,0.2687487314440339,-0.7134190310535476,-0.7191999554634094,0.6755608320236206,-0.1623852401971817,0,0,0,-1,-1,27398.99798816667,unknown,2,2025-04-22T11:01:23.743+03:00,2025-04-21T17:08:51.449+03:00,7097,0.9398554,0,0,5930.618,5,20,2025-04-22T11:01:54.697+03:00,767001673.5380644,0,-22.1,100.4668,1,0.95,2025-04-22T11:01:09.511+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T11:02:09.013+03:00,1745308928.387496,40.95218625471538,29.14025411606978,76.06111,-1,-1,-1,-1,30,23.97249025624534,-9999,27404.76894216667,-0.722137451171875,0.6800994873046875,-0.157379150390625,27404.76140216667,-1.323074002799384,-1.348581021883672,-0.7416683175311486,0.01334991306066513,0.005329718813300133,-1.157069345936179e-05,-0.001048088073730469,0.001894831657409668,0.001050293445587158,XArbitraryZVertical,0.5808477506639311,0.2852438522869493,0.2687359224926626,-0.7134653713855537,-0.719212532043457,0.6755189895629883,-0.1625036746263504,0,0,0,-1,-1,27398.99798816667,unknown,2,2025-04-22T11:01:23.743+03:00,2025-04-21T17:08:51.449+03:00,7097,0.9398554,0,0,5930.618,5,20,2025-04-22T11:01:54.697+03:00,767001673.5380644,0,-22.1,100.4668,1,0.95,2025-04-22T11:01:09.511+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
