loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T17:28:10.013+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.09557825,-0.577850341796875,0.720062255859375,-0.2701263427734375,39733.08550225,-3.139393417211271,-1.14140657133318,-0.8567899274404408,-0.0008242468466050923,-0.01620580069720745,-0.006761965807527304,-0.01006591320037842,0.004417955875396729,-0.01351672410964966,XArbitraryZVertical,-0.4917900564402808,0.3490369034338432,-0.7652288295277671,0.2252567789934954,-0.5954179763793945,0.7557442784309387,-0.2726315557956696,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.014+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.10565525,-0.616180419921875,0.7501983642578125,-0.2711639404296875,39733.09557825,-3.139467166661665,-1.141426967741212,-0.8566837744624594,0.00383308925665915,0.003328219056129456,-0.00713214511051774,0.01824134588241577,-0.00395047664642334,-0.001517266035079956,XArbitraryZVertical,-0.4917968449441399,0.3490120906063908,-0.7652507723161562,0.225206026074957,-0.5954965949058533,0.7556747794151306,-0.2726528346538544,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.019+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.11573125,-0.58544921875,0.753662109375,-0.2685394287109375,39733.10565525,-3.139474825070857,-1.141467923424859,-0.8566238515076074,-0.001345094642601907,0.0001338236033916473,-0.004594119731336832,0.01087778806686401,-0.03508508205413818,0.00158989429473877,XArbitraryZVertical,-0.4918179139071118,0.3489864456860988,-0.7652518374936721,0.2251956245535286,-0.595548689365387,0.7556354999542236,-0.2726472020149231,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.029+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.12580825,-0.598052978515625,0.75201416015625,-0.272918701171875,39733.11573125,-3.139783534477392,-1.141813152784548,-0.8563183327667034,0.001840312383137643,0.006848451681435108,-0.004013550467789173,-0.01825249195098877,-0.003009438514709473,0.001968532800674438,XArbitraryZVertical,-0.4919303207367117,0.3489065507427886,-0.7652550553576914,0.2250627391565347,-0.5958526134490967,0.7554353475570679,-0.2725375592708588,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.039+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.13588425,-0.5936126708984375,0.7504119873046875,-0.2716827392578125,39733.12580825,-3.139815025601085,-1.141794476260951,-0.8562742776430833,0.00568784773349762,0.01135778240859509,-0.003456117585301399,0.01143580675125122,-0.002324461936950684,0.003778785467147827,XArbitraryZVertical,-0.4919226080629925,0.3488995323468012,-0.7652708965154974,0.2250366098240989,-0.5958777666091919,0.7554064989089966,-0.2725625336170197,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.049+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.14596125,-0.594085693359375,0.7510833740234375,-0.270904541015625,39733.13588425,-3.139484822325375,-1.141264562674444,-0.8565420861776539,0.001078981207683682,0.0126113323494792,-0.0007460847846232355,-0.003128945827484131,-0.003338992595672607,-1.800060272216797e-05,XArbitraryZVertical,-0.491747472825406,0.3489804772213415,-0.7653174050656046,0.2251361824674324,-0.5955495238304138,0.7555819749832153,-0.272794097661972,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.059+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.15603725,-0.591461181640625,0.7493743896484375,-0.27197265625,39733.14596125,-3.139421290232611,-1.141054190294618,-0.856455628556022,0.0007422244525514543,0.0142570324242115,-0.00198492081835866,0.002213597297668457,-0.004976093769073486,0.001187384128570557,XArbitraryZVertical,-0.4916877136113893,0.3489554299333208,-0.7653771151325625,0.2251025601350682,-0.5955515503883362,0.7555253505706787,-0.2729465961456299,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.069+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.16611425,-0.592041015625,0.7490234375,-0.2710113525390625,39733.15603725,-3.139263618534981,-1.140710565187433,-0.8565051620514939,0.001414139987900853,0.01304609328508377,0.0001906155375763774,0.00101768970489502,-0.003848850727081299,0.00162053108215332,XArbitraryZVertical,-0.4915781836011902,0.3489743158210066,-0.7654351791153665,0.2251150963611917,-0.595423698425293,0.7555577754974365,-0.273135632276535,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.079+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.17619025,-0.593841552734375,0.750396728515625,-0.2720184326171875,39733.16611425,-3.139210215137437,-1.14051379759383,-0.8564509009013602,-8.382152009289712e-05,0.01391488313674927,0.000428602215833962,0.005090534687042236,-0.006849765777587891,0.0007324814796447754,XArbitraryZVertical,-0.491518251490272,0.3489625557008508,-0.7654870243563247,0.2250878906103012,-0.5954071879386902,0.7555222511291504,-0.2732698917388916,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.089+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.18626725,-0.5933074951171875,0.75177001953125,-0.2746124267578125,39733.17619025,-3.139148008051358,-1.140293882652474,-0.8565145544262479,-0.0004081945517100394,0.0123745109885931,0.0006616287864744663,0.002880990505218506,-0.006418466567993164,0.002689659595489502,XArbitraryZVertical,-0.4914378295195636,0.3489964010127279,-0.7655229112790973,0.2250889469736882,-0.5953033566474915,0.7555639147758484,-0.2733807563781738,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.100+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.19634325001,-0.5942230224609375,0.753875732421875,-0.27423095703125,39733.18626725,-3.139087868231307,-1.140113998414892,-0.8564259051011303,0.002782538766041398,0.01386747881770134,0.0005931855994276702,0.001595675945281982,-0.004712462425231934,0.001161456108093262,XArbitraryZVertical,-0.491389359288642,0.3489679096503527,-0.7655758720640712,0.225058832016244,-0.5953150391578674,0.7555058598518372,-0.2735157907009125,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.110+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.20642025,-0.59320068359375,0.75311279296875,-0.2749786376953125,39733.19634325001,-3.139096604075081,-1.140027790823982,-0.8563245538483658,0.002397711854428053,0.01101177185773849,-0.002198073547333479,0.002190947532653809,-0.004249334335327148,-0.0005252361297607422,XArbitraryZVertical,-0.4913661474983175,0.3489409345255672,-0.7656157474619505,0.2250156049814205,-0.5953609943389893,0.7554394602775574,-0.2735990583896637,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.120+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.21649625,-0.5951385498046875,0.7496337890625,-0.272735595703125,39733.20642025,-3.139078700946394,-1.139897803233165,-0.8563465919704314,0.001018394250422716,0.01321067661046982,-0.001597297610715032,0.001392543315887451,-0.001028835773468018,-0.0002259314060211182,XArbitraryZVertical,-0.4913170448202204,0.3489595982287646,-0.7656418499657053,0.2250051651340599,-0.5953103303909302,0.755453884601593,-0.2736695110797882,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.130+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.22657325,-0.59539794921875,0.7493438720703125,-0.27301025390625,39733.21649625,-3.139062128546291,-1.139780045851157,-0.8563043775975949,0.001317733665928245,0.008901149965822697,-0.0005046026781201363,0.00145035982131958,-0.003152668476104736,-0.0004171431064605713,XArbitraryZVertical,-0.4912795579616756,0.3489525976805401,-0.765676337245759,0.2249805974928731,-0.5953071117401123,0.7554262280464172,-0.2737529575824738,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.140+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.23664925,-0.5934906005859375,0.7498626708984375,-0.2759552001953125,39733.22657325,-3.139084476287185,-1.139700465599443,-0.8562959756610784,-0.00426644878461957,0.009706422686576843,-0.0008738832548260689,-0.0004730224609375,-0.006229400634765625,0.001647025346755981,XArbitraryZVertical,-0.4912461318148418,0.3489638216015062,-0.7656998522997129,0.2249561042951539,-0.5952910780906677,0.7554207444190979,-0.2738029658794403,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.150+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.24672525,-0.5921173095703125,0.750885009765625,-0.27777099609375,39733.23664925,-3.139157614438162,-1.139685190692839,-0.8562928954130361,-0.002885866444557905,0.006168413441628218,-0.0008959874976426363,0.0005166530609130859,-0.006792068481445312,-9.769201278686523e-05,XArbitraryZVertical,-0.4912278888658301,0.3489823402067799,-0.7657122317539762,0.2249247437095918,-0.595288872718811,0.7554187178611755,-0.2738129794597626,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.160+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.25680225001,-0.590667724609375,0.751251220703125,-0.2783050537109375,39733.24672525,-3.139238998448511,-1.139669954554899,-0.8562947076421641,-0.005215932615101337,0.007201919797807932,-0.005556552670896053,0.001731932163238525,-0.005389511585235596,-0.002866297960281372,XArbitraryZVertical,-0.4912076632062474,0.3490047444368941,-0.7657247432708162,0.2248913997745026,-0.5952833890914917,0.755419909954071,-0.2738214433193207,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.170+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.26687825,-0.5919952392578125,0.7523651123046875,-0.2786865234375,39733.25680225001,-3.139324916221407,-1.139658570205296,-0.8562584399751126,-0.001175650977529585,0.008705806918442249,-0.003981026355177164,0.003493249416351318,-0.004770636558532715,-0.003611057996749878,XArbitraryZVertical,-0.4911923501265374,0.3490132257150004,-0.7657435903456834,0.2248476069451084,-0.5953052043914795,0.7553961277008057,-0.2738396823406219,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:28:10.180+03:00,1745332089.730193,40.95226845434804,29.14031828464809,76.50301,-1,-1,-1,-1,30,26.05091700301345,-9999,39733.27695525,-0.590972900390625,0.7510528564453125,-0.2806243896484375,39733.26687825,-3.13935341838283,-1.13958183714513,-0.8562247666277352,0.001197292120195925,0.01080950442701578,-0.003423593705520034,0.004593968391418457,-0.004595935344696045,-0.004714369773864746,XArbitraryZVertical,-0.4911617490499852,0.3490159472392864,-0.7657715585151936,0.2248150362030871,-0.5953073501586914,0.7553740739822388,-0.2738960087299347,0,0,0,-1,-1,39729.35849275001,unknown,2,2025-04-22T17:28:06.255+03:00,2025-04-21T17:08:51.449+03:00,9047,1.059065,0,0,7544.334,7,22,2025-04-22T17:22:43.829+03:00,767024888.9439539,0,-11.46,100.3419,1,0.35,2025-04-22T17:26:12.972+03:00,81,1.35,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
