loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T17:02:33.717+03:00,1745330552.933554,40.95222141235789,29.14026153500561,76.7301,-1,-1,-1,-1,30,17.58926956519938,-9999,38848.72670087501,-0.46539306640625,0.679168701171875,-0.494110107421875,38848.716624875,-2.816531196660715,-0.7719107866316098,-0.786688387023016,-0.0204393994063139,-0.04622264951467514,-0.01835843361914158,-0.006601691246032715,-0.01404893398284912,-0.005110502243041992,XArbitraryZVertical,-0.400572471688098,0.2941425146046463,-0.8210646455392185,0.2808461579052681,-0.4925741851329803,0.7080185413360596,-0.5060437321662903,0,0,0,-1,-1,38843.99246366667,unknown,2,2025-04-22T17:02:28.952+03:00,2025-04-21T17:08:51.449+03:00,8997,1.055654,0,0,7505.379,7,22,2025-04-22T17:01:47.683+03:00,767023318.1019011,0,-13.68,100.3656,1,0.4,2025-04-22T17:01:55.525+03:00,120,2,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:02:33.720+03:00,1745330552.933554,40.95222141235789,29.14026153500561,76.7301,-1,-1,-1,-1,30,17.58926956519938,-9999,38848.736775875,-0.517547607421875,0.73919677734375,-0.504638671875,38848.72670087501,-2.816711762109172,-0.7720703576306029,-0.7867219913807768,0.00774343591183424,0.03035115450620651,0.005793075077235699,0.01760184764862061,-0.03502297401428223,0.01109015941619873,XArbitraryZVertical,-0.4006113492602031,0.2941708434479427,-0.8210512424724588,0.2808003023866416,-0.4926383793354034,0.7080422639846802,-0.5059481263160706,0,0,0,-1,-1,38843.99246366667,unknown,2,2025-04-22T17:02:28.952+03:00,2025-04-21T17:08:51.449+03:00,8997,1.055654,0,0,7505.379,7,22,2025-04-22T17:01:47.683+03:00,767023318.1019011,0,-13.68,100.3656,1,0.4,2025-04-22T17:01:55.525+03:00,120,2,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:02:33.724+03:00,1745330552.933554,40.95222141235789,29.14026153500561,76.7301,-1,-1,-1,-1,30,17.58926956519938,-9999,38848.746851875,-0.484588623046875,0.7042083740234375,-0.5043182373046875,38848.736775875,-2.816670851672973,-0.7718973323653034,-0.7867216778928743,0.003193424781784415,-0.005982351489365101,-0.007319530937820673,0.02248883247375488,-0.0201454758644104,0.01138919591903687,XArbitraryZVertical,-0.4005463436532229,0.294186821410127,-0.8210801692013023,0.2807916000679728,-0.4925509393215179,0.7080420255661011,-0.5060334801673889,0,0,0,-1,-1,38843.99246366667,unknown,2,2025-04-22T17:02:28.952+03:00,2025-04-21T17:08:51.449+03:00,8997,1.055654,0,0,7505.379,7,22,2025-04-22T17:01:47.683+03:00,767023318.1019011,0,-13.68,100.3656,1,0.4,2025-04-22T17:01:55.525+03:00,120,2,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:02:33.727+03:00,1745330552.933554,40.95222141235789,29.14026153500561,76.7301,-1,-1,-1,-1,30,17.58926956519938,-9999,38848.756927875,-0.4777374267578125,0.704010009765625,-0.4995269775390625,38848.746851875,-2.816824529218238,-0.7721513845976082,-0.7866370881500839,0.002820715541020036,-0.001274548936635256,-0.006214652210474014,-0.02644360065460205,0.03168737888336182,0.0006563663482666016,XArbitraryZVertical,-0.4006282048036183,0.294145228529339,-0.8210680784446865,0.2807537918366413,-0.492721289396286,0.7079823017120361,-0.5059512257575989,0,0,0,-1,-1,38843.99246366667,unknown,2,2025-04-22T17:02:28.952+03:00,2025-04-21T17:08:51.449+03:00,8997,1.055654,0,0,7505.379,7,22,2025-04-22T17:01:47.683+03:00,767023318.1019011,0,-13.68,100.3656,1,0.4,2025-04-22T17:01:55.525+03:00,120,2,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:02:33.732+03:00,1745330552.933554,40.95222141235789,29.14026153500561,76.7301,-1,-1,-1,-1,30,17.58926956519938,-9999,38848.767002875,-0.5047760009765625,0.71270751953125,-0.50262451171875,38848.756927875,-2.816823121559301,-0.7720672393539803,-0.7864406822043445,0.004552835132926702,0.01712922565639019,-6.967424997128546e-05,0.01363465189933777,-0.007251620292663574,0.002720057964324951,XArbitraryZVertical,-0.4005942440333853,0.2940715063204742,-0.8211247726124252,0.2807139327941688,-0.4927757680416107,0.707843542098999,-0.5060924291610718,0,0,0,-1,-1,38843.99246366667,unknown,2,2025-04-22T17:02:28.952+03:00,2025-04-21T17:08:51.449+03:00,8997,1.055654,0,0,7505.379,7,22,2025-04-22T17:01:47.683+03:00,767023318.1019011,0,-13.68,100.3656,1,0.4,2025-04-22T17:01:55.525+03:00,120,2,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:02:33.742+03:00,1745330552.933554,40.95222141235789,29.14026153500561,76.7301,-1,-1,-1,-1,30,17.58926956519938,-9999,38848.77707887501,-0.4871368408203125,0.7037353515625,-0.5016021728515625,38848.767002875,-2.816703807795411,-0.7717682867307714,-0.7865329346328762,0.001700057415291667,0.007156220264732838,-0.001209640293382108,0.01046231389045715,-0.0009538531303405762,0.00619274377822876,XArbitraryZVertical,-0.4004888691739154,0.2941296076462903,-0.8211491218847692,0.2807321369043383,-0.4925788938999176,0.7079087495803833,-0.5061928629875183,0,0,0,-1,-1,38843.99246366667,unknown,2,2025-04-22T17:02:28.952+03:00,2025-04-21T17:08:51.449+03:00,8997,1.055654,0,0,7505.379,7,22,2025-04-22T17:01:47.683+03:00,767023318.1019011,0,-13.68,100.3656,1,0.4,2025-04-22T17:01:55.525+03:00,120,2,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:02:33.764+03:00,1745330552.933554,40.95222141235789,29.14026153500561,76.7301,-1,-1,-1,-1,30,17.58926956519938,-9999,38848.787153875,-0.4883270263671875,0.706512451171875,-0.5040283203125,38848.77707887501,-2.816600354014614,-0.7715206768518569,-0.7865820415702522,0.003525387961417437,0.01494543347507715,-0.0004572973120957613,-0.01135477423667908,0.003695905208587646,0.00383305549621582,XArbitraryZVertical,-0.4004023294609276,0.2941649661963555,-0.8211741701436671,0.2807452070091767,-0.4924292862415314,0.7079434394836426,-0.5062898993492126,0,0,0,-1,-1,38843.99246366667,unknown,2,2025-04-22T17:02:28.952+03:00,2025-04-21T17:08:51.449+03:00,8997,1.055654,0,0,7505.379,7,22,2025-04-22T17:01:47.683+03:00,767023318.1019011,0,-13.68,100.3656,1,0.4,2025-04-22T17:01:55.525+03:00,120,2,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:02:33.765+03:00,1745330552.933554,40.95222141235789,29.14026153500561,76.7301,-1,-1,-1,-1,30,17.58926956519938,-9999,38848.797229875,-0.4930877685546875,0.7116241455078125,-0.5033721923828125,38848.787153875,-2.816551472722054,-0.7713271694648576,-0.7865041617981571,0.007029974833130836,0.01205470599234104,0.0002554311649873853,0.007018297910690308,-0.004748225212097168,0.004089951515197754,XArbitraryZVertical,-0.4003302146839351,0.2941485517687097,-0.8212218707264476,0.2807257001395642,-0.4923697412014008,0.7078884243965149,-0.5064247250556946,0,0,0,-1,-1,38843.99246366667,unknown,2,2025-04-22T17:02:28.952+03:00,2025-04-21T17:08:51.449+03:00,8997,1.055654,0,0,7505.379,7,22,2025-04-22T17:01:47.683+03:00,767023318.1019011,0,-13.68,100.3656,1,0.4,2025-04-22T17:01:55.525+03:00,120,2,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:02:33.772+03:00,1745330552.933554,40.95222141235789,29.14026153500561,76.7301,-1,-1,-1,-1,30,17.58926956519938,-9999,38848.807304875,-0.48773193359375,0.707977294921875,-0.5017547607421875,38848.797229875,-2.816491657631223,-0.7712003111195409,-0.7864136944230626,0.008670748211443424,0.007821611128747463,-0.0004492412554100156,0.001688629388809204,-0.0004882216453552246,0.001726448535919189,XArbitraryZVertical,-0.4002870775613694,0.2941151062127447,-0.8212573246840097,0.280718698354412,-0.492350161075592,0.7078245282173157,-0.506533145904541,0,0,0,-1,-1,38843.99246366667,unknown,2,2025-04-22T17:02:28.952+03:00,2025-04-21T17:08:51.449+03:00,8997,1.055654,0,0,7505.379,7,22,2025-04-22T17:01:47.683+03:00,767023318.1019011,0,-13.68,100.3656,1,0.4,2025-04-22T17:01:55.525+03:00,120,2,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T17:02:33.782+03:00,1745330552.933554,40.95222141235789,29.14026153500561,76.7301,-1,-1,-1,-1,30,17.58926956519938,-9999,38848.817380875,-0.49249267578125,0.7059173583984375,-0.503997802734375,38848.807304875,-2.816438611050406,-0.7710769938906512,-0.7863456106678003,0.004708630498498678,0.008872893638908863,-5.742369103245437e-05,-0.000247657299041748,0.004412174224853516,0.004263043403625488,XArbitraryZVertical,-0.4002443956805442,0.2940923075400431,-0.8212882283714537,0.2807126246577923,-0.4923211634159088,0.7077764272689819,-0.5066282749176025,0,0,0,-1,-1,38843.99246366667,unknown,2,2025-04-22T17:02:28.952+03:00,2025-04-21T17:08:51.449+03:00,8997,1.055654,0,0,7505.379,7,22,2025-04-22T17:01:47.683+03:00,767023318.1019011,0,-13.68,100.3656,1,0.4,2025-04-22T17:01:55.525+03:00,120,2,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
