loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-21T16:22:46.629+03:00,1745241764.490131,40.95217467493313,29.1402139776233,75.61637,-1,-1,-1,-1,30,14.84804685185824,-9999,19755.33098004167,-0.6647491455078125,0.6601409912109375,-0.349456787109375,19755.32594204167,1.871807112941027,-1.07733437265013,-0.7230865969993094,-0.06084651872515678,0.0142368795350194,-0.008756023831665516,0.009134292602539062,-0.001500189304351807,0.01345759630203247,XArbitraryZVertical,-0.2062470068688373,0.5290446745756028,-0.754062160212859,-0.330097134002058,-0.6603183746337891,0.661702036857605,-0.3551478087902069,0,0,0,-1,-1,19753.483416,unknown,2,2025-04-21T16:22:44.754+03:00,2025-04-20T21:57:49.637+03:00,6753,0.9838091,0,0,5541.095,5,6,2025-04-21T16:22:11.224+03:00,766934564.8435568,0,-38.71,100.2005,1,0.35,2025-04-21T16:06:01.980+03:00,83,1.383333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:22:46.631+03:00,1745241764.490131,40.95217467493313,29.1402139776233,75.61637,-1,-1,-1,-1,30,14.84804685185824,-9999,19755.34105504167,-0.650604248046875,0.6664886474609375,-0.3470306396484375,19755.33601704167,1.870992621729566,-1.077932282749816,-0.7232639415353441,-0.0621347576379776,-0.02253957837820053,-0.0149200763553381,-0.004245579242706299,-0.003983020782470703,0.006934225559234619,XArbitraryZVertical,-0.2062017088352209,0.5292751143226749,-0.753869638864848,-0.330195792534815,-0.6604272723197937,0.6618350148200989,-0.3546974062919617,0,0,0,-1,-1,19753.483416,unknown,2,2025-04-21T16:22:44.754+03:00,2025-04-20T21:57:49.637+03:00,6753,0.9838091,0,0,5541.095,5,6,2025-04-21T16:22:11.224+03:00,766934564.8435568,0,-38.71,100.2005,1,0.35,2025-04-21T16:06:01.980+03:00,83,1.383333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:22:46.631+03:00,1745241764.490131,40.95217467493313,29.1402139776233,75.61637,-1,-1,-1,-1,30,14.84804685185824,-9999,19755.35113004167,-0.6490936279296875,0.66510009765625,-0.3456268310546875,19755.34609304167,1.870280423431998,-1.078628830171318,-0.7234282453926641,-0.04489637911319733,-0.02035551890730858,-0.006764945108443499,0.003702700138092041,0.00334012508392334,0.005247831344604492,XArbitraryZVertical,-0.2062245654435959,0.52950775957251,-0.7536835700180201,-0.3302332829673806,-0.6605783104896545,0.6619581580162048,-0.3541859090328217,0,0,0,-1,-1,19753.483416,unknown,2,2025-04-21T16:22:44.754+03:00,2025-04-20T21:57:49.637+03:00,6753,0.9838091,0,0,5541.095,5,6,2025-04-21T16:22:11.224+03:00,766934564.8435568,0,-38.71,100.2005,1,0.35,2025-04-21T16:06:01.980+03:00,83,1.383333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:22:46.640+03:00,1745241764.490131,40.95217467493313,29.1402139776233,75.61637,-1,-1,-1,-1,30,14.84804685185824,-9999,19755.36120604167,-0.65850830078125,0.66778564453125,-0.349151611328125,19755.35616804167,1.86982833583694,-1.079089243234703,-0.7236165379888233,-0.0313287042081356,-0.01300313137471676,-0.001036918140016496,0.01413178443908691,0.003244757652282715,0.0081501305103302,XArbitraryZVertical,-0.2062197438989932,0.5296810243405751,-0.7535652809545487,-0.330228254102894,-0.6606313586235046,0.662099301815033,-0.3538228571414948,0,0,0,-1,-1,19753.483416,unknown,2,2025-04-21T16:22:44.754+03:00,2025-04-20T21:57:49.637+03:00,6753,0.9838091,0,0,5541.095,5,6,2025-04-21T16:22:11.224+03:00,766934564.8435568,0,-38.71,100.2005,1,0.35,2025-04-21T16:06:01.980+03:00,83,1.383333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:22:46.647+03:00,1745241764.490131,40.95217467493313,29.1402139776233,75.61637,-1,-1,-1,-1,30,14.84804685185824,-9999,19755.37128104167,-0.6565093994140625,0.66986083984375,-0.3466644287109375,19755.36624404167,1.869524496772197,-1.079463530914441,-0.7237489122811107,-0.01986459828913212,-0.02133829332888126,0.002256080508232117,0.004375457763671875,0.004412055015563965,0.005206406116485596,XArbitraryZVertical,-0.2062390629290052,0.5298097258321743,-0.753479235407697,-0.3302060405825302,-0.6606864333152771,0.6621984839439392,-0.3535341918468475,0,0,0,-1,-1,19753.483416,unknown,2,2025-04-21T16:22:44.754+03:00,2025-04-20T21:57:49.637+03:00,6753,0.9838091,0,0,5541.095,5,6,2025-04-21T16:22:11.224+03:00,766934564.8435568,0,-38.71,100.2005,1,0.35,2025-04-21T16:06:01.980+03:00,83,1.383333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:22:46.657+03:00,1745241764.490131,40.95217467493313,29.1402139776233,75.61637,-1,-1,-1,-1,30,14.84804685185824,-9999,19755.38135704167,-0.6539764404296875,0.66650390625,-0.3453369140625,19755.37631904167,1.86931627441037,-1.079785208904296,-0.7239077531907731,-0.02061507664620876,-0.01497972942888737,0.006652959622442722,0.001954913139343262,0.00804668664932251,0.00488319993019104,XArbitraryZVertical,-0.2062556415045159,0.5299269749562274,-0.7534149377902308,-0.3301541126034206,-0.6607072949409485,0.6623175144195557,-0.353272020816803,0,0,0,-1,-1,19753.483416,unknown,2,2025-04-21T16:22:44.754+03:00,2025-04-20T21:57:49.637+03:00,6753,0.9838091,0,0,5541.095,5,6,2025-04-21T16:22:11.224+03:00,766934564.8435568,0,-38.71,100.2005,1,0.35,2025-04-21T16:06:01.980+03:00,83,1.383333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:22:46.668+03:00,1745241764.490131,40.95217467493313,29.1402139776233,75.61637,-1,-1,-1,-1,30,14.84804685185824,-9999,19755.39143204167,-0.661468505859375,0.6621856689453125,-0.351837158203125,19755.38639504167,1.868948876514121,-1.080130285452651,-0.7241269267626694,-0.04520350694656372,-0.007229131180793047,0.003611629363149405,0.006678998470306396,0.005288481712341309,0.008294671773910522,XArbitraryZVertical,-0.2062199808596469,0.5300806712251834,-0.7533232413069217,-0.330138920201298,-0.6607011556625366,0.6624816656112671,-0.352975606918335,0,0,0,-1,-1,19753.483416,unknown,2,2025-04-21T16:22:44.754+03:00,2025-04-20T21:57:49.637+03:00,6753,0.9838091,0,0,5541.095,5,6,2025-04-21T16:22:11.224+03:00,766934564.8435568,0,-38.71,100.2005,1,0.35,2025-04-21T16:06:01.980+03:00,83,1.383333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:22:46.677+03:00,1745241764.490131,40.95217467493313,29.1402139776233,75.61637,-1,-1,-1,-1,30,14.84804685185824,-9999,19755.40150804167,-0.66046142578125,0.6563568115234375,-0.349578857421875,19755.39647004167,1.868392347927693,-1.080583091932622,-0.724379097018648,-0.04621930420398712,-0.009843889623880386,0.001303434604778886,0.001976370811462402,0.001727402210235596,0.002896696329116821,XArbitraryZVertical,-0.2061644213121908,0.5302804618358884,-0.7531899201036397,-0.3301569377356957,-0.6607134938240051,0.6626705527305603,-0.352597713470459,0,0,0,-1,-1,19753.483416,unknown,2,2025-04-21T16:22:44.754+03:00,2025-04-20T21:57:49.637+03:00,6753,0.9838091,0,0,5541.095,5,6,2025-04-21T16:22:11.224+03:00,766934564.8435568,0,-38.71,100.2005,1,0.35,2025-04-21T16:06:01.980+03:00,83,1.383333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:22:46.687+03:00,1745241764.490131,40.95217467493313,29.1402139776233,75.61637,-1,-1,-1,-1,30,14.84804685185824,-9999,19755.41158304167,-0.6561279296875,0.6619873046875,-0.3458709716796875,19755.40654504167,1.867832357516377,-1.081091599978606,-0.7245980833399458,-0.04283176362514496,-0.01531828287988901,-0.002328318310901523,-0.001420974731445312,-0.006020128726959229,0.001775264739990234,XArbitraryZVertical,-0.2061391055051726,0.5304808473286059,-0.7530496582631057,-0.3301709458159506,-0.6607646942138672,0.6628345251083374,-0.3521934747695923,0,0,0,-1,-1,19753.483416,unknown,2,2025-04-21T16:22:44.754+03:00,2025-04-20T21:57:49.637+03:00,6753,0.9838091,0,0,5541.095,5,6,2025-04-21T16:22:11.224+03:00,766934564.8435568,0,-38.71,100.2005,1,0.35,2025-04-21T16:06:01.980+03:00,83,1.383333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T16:22:46.697+03:00,1745241764.490131,40.95217467493313,29.1402139776233,75.61637,-1,-1,-1,-1,30,14.84804685185824,-9999,19755.42165904167,-0.6581268310546875,0.666778564453125,-0.34326171875,19755.41662104167,1.867358607109266,-1.081585828908399,-0.7247098918738781,-0.02458245493471622,-0.01866321265697479,-0.006268464960157871,0.004302859306335449,-0.003235280513763428,0.004145175218582153,XArbitraryZVertical,-0.2061646669201903,0.5306412358610465,-0.7529228365806703,-0.3301864040529418,-0.6608732342720032,0.6629182696342468,-0.3518320322036743,0,0,0,-1,-1,19753.483416,unknown,2,2025-04-21T16:22:44.754+03:00,2025-04-20T21:57:49.637+03:00,6753,0.9838091,0,0,5541.095,5,6,2025-04-21T16:22:11.224+03:00,766934564.8435568,0,-38.71,100.2005,1,0.35,2025-04-21T16:06:01.980+03:00,83,1.383333333333333,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
