loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-21T15:12:25.094+03:00,1745237542.616518,40.95223020707327,29.14028338385629,76.36061,-1,-1,-1,-1,30,18.16335761253691,-9999,17930.12976325,-0.7115631103515625,0.450531005859375,-0.459747314453125,17930.11968725,-0.5809172182847946,-1.002097643802507,-0.4823500325009685,0.1264243721961975,0.09382671117782593,-0.02030392922461033,-0.03336310386657715,0.01074707508087158,0.001140773296356201,XArbitraryZVertical,0.3342956980604263,0.3869107072122165,0.1339963349002014,-0.8488766114703655,-0.7464677095413208,0.4638623595237732,-0.477092981338501,0,0,0,-1,-1,17929.96478025,unknown,2,2025-04-21T15:12:24.903+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9608214,0,0,5475.677,5,6,2025-04-21T15:12:24.903+03:00,766930345.0033971,0,-44.25,100.2639,1,0.45,2025-04-21T15:12:15.606+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:12:25.096+03:00,1745237542.616518,40.95223020707327,29.14028338385629,76.36061,-1,-1,-1,-1,30,18.16335761253691,-9999,17930.13983925,-0.6927642822265625,0.444183349609375,-0.4630126953125,17930.12976325,-0.5800319488842927,-1.00124826830541,-0.4815774601872819,0.09526991844177246,0.0215477179735899,-0.01909592002630234,0.00576329231262207,-0.004300206899642944,0.01399165391921997,XArbitraryZVertical,0.3337649408171393,0.3868345827865921,0.133958121915162,-0.8491261344185557,-0.7463637590408325,0.4631778001785278,-0.4779199361801147,0,0,0,-1,-1,17929.96478025,unknown,2,2025-04-21T15:12:24.903+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9608214,0,0,5475.677,5,6,2025-04-21T15:12:24.903+03:00,766930345.0033971,0,-44.25,100.2639,1,0.45,2025-04-21T15:12:15.606+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:12:25.096+03:00,1745237542.616518,40.95223020707327,29.14028338385629,76.36061,-1,-1,-1,-1,30,18.16335761253691,-9999,17930.14991425,-0.746978759765625,0.4566802978515625,-0.4744873046875,17930.13983925,-0.5792243395149476,-1.000580831197272,-0.4807872372358426,0.09654325246810913,0.05432996526360512,-0.002636885037645698,0.06089729070663452,-0.01895004510879517,0.02007350325584412,XArbitraryZVertical,0.3332543351662946,0.3868253545566501,0.13392653953804,-0.8493357930493434,-0.7463524341583252,0.4624772965908051,-0.4786153733730316,0,0,0,-1,-1,17929.96478025,unknown,2,2025-04-21T15:12:24.903+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9608214,0,0,5475.677,5,6,2025-04-21T15:12:24.903+03:00,766930345.0033971,0,-44.25,100.2639,1,0.45,2025-04-21T15:12:15.606+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:12:25.103+03:00,1745237542.616518,40.95223020707327,29.14028338385629,76.36061,-1,-1,-1,-1,30,18.16335761253691,-9999,17930.15999025,-0.7521820068359375,0.4590301513671875,-0.46417236328125,17930.14991425,-0.5783097767510472,-0.9994594012089045,-0.4802188973642847,0.09384839981794357,0.07359181344509125,0.001544544007629156,0.0183599591255188,-0.009824842214584351,0.006739437580108643,XArbitraryZVertical,0.3327795322791926,0.3866015089243486,0.1338685687921225,-0.849632942927026,-0.746036171913147,0.4619733393192291,-0.4795941114425659,0,0,0,-1,-1,17929.96478025,unknown,2,2025-04-21T15:12:24.903+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9608214,0,0,5475.677,5,6,2025-04-21T15:12:24.903+03:00,766930345.0033971,0,-44.25,100.2639,1,0.45,2025-04-21T15:12:15.606+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:12:25.113+03:00,1745237542.616518,40.95223020707327,29.14028338385629,76.36061,-1,-1,-1,-1,30,18.16335761253691,-9999,17930.17006625,-0.7222442626953125,0.45635986328125,-0.462066650390625,17930.15999025,-0.5774160185781687,-0.9984645971147952,-0.4797518738815699,0.08824004232883453,0.03510753437876701,-0.0002846480929292738,-0.01217913627624512,-0.001842230558395386,0.01184007525444031,XArbitraryZVertical,0.3323569978574371,0.3864096679636939,0.1337722520315022,-0.8499006510225942,-0.7457399368286133,0.4615590870380402,-0.4804527759552002,0,0,0,-1,-1,17929.96478025,unknown,2,2025-04-21T15:12:24.903+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9608214,0,0,5475.677,5,6,2025-04-21T15:12:24.903+03:00,766930345.0033971,0,-44.25,100.2639,1,0.45,2025-04-21T15:12:15.606+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:12:25.123+03:00,1745237542.616518,40.95223020707327,29.14028338385629,76.36061,-1,-1,-1,-1,30,18.16335761253691,-9999,17930.18014225,-0.719146728515625,0.4571990966796875,-0.4659881591796875,17930.17006625,-0.5766114816791058,-0.9979044199284992,-0.4793569357903318,0.0784665048122406,0.008539040572941303,0.005633428692817688,0.01304960250854492,-0.00533708930015564,0.01961973309516907,XArbitraryZVertical,0.3320090264532472,0.3863746589414936,0.1336231076285539,-0.8500760607551185,-0.7456238269805908,0.4612086713314056,-0.480969250202179,0,0,0,-1,-1,17929.96478025,unknown,2,2025-04-21T15:12:24.903+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9608214,0,0,5475.677,5,6,2025-04-21T15:12:24.903+03:00,766930345.0033971,0,-44.25,100.2639,1,0.45,2025-04-21T15:12:15.606+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:12:25.134+03:00,1745237542.616518,40.95223020707327,29.14028338385629,76.36061,-1,-1,-1,-1,30,18.16335761253691,-9999,17930.19021825,-0.73870849609375,0.4516448974609375,-0.4693450927734375,17930.18014225,-0.5758756577860147,-0.9974554311570786,-0.4790808199796693,0.06741818785667419,0.01617465727031231,0.009378798305988312,0.02966415882110596,-0.003154188394546509,0.01700228452682495,XArbitraryZVertical,0.3317284175165146,0.3863543955617743,0.1334545307831302,-0.8502213436262468,-0.7455148100852966,0.4609636664390564,-0.4813730716705322,0,0,0,-1,-1,17929.96478025,unknown,2,2025-04-21T15:12:24.903+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9608214,0,0,5475.677,5,6,2025-04-21T15:12:24.903+03:00,766930345.0033971,0,-44.25,100.2639,1,0.45,2025-04-21T15:12:15.606+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:12:25.143+03:00,1745237542.616518,40.95223020707327,29.14028338385629,76.36061,-1,-1,-1,-1,30,18.16335761253691,-9999,17930.20029325,-0.7386932373046875,0.445068359375,-0.468353271484375,17930.19021825,-0.575249010124841,-0.9970269247400175,-0.4788662252499012,0.05194574967026711,0.01200228184461594,0.01174927782267332,0.01295459270477295,-0.006168067455291748,0.01273676753044128,XArbitraryZVertical,0.3314944584563345,0.3863137730077216,0.1333133091316112,-0.8503532216270246,-0.7453915476799011,0.460773229598999,-0.4817461967468262,0,0,0,-1,-1,17929.96478025,unknown,2,2025-04-21T15:12:24.903+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9608214,0,0,5475.677,5,6,2025-04-21T15:12:24.903+03:00,766930345.0033971,0,-44.25,100.2639,1,0.45,2025-04-21T15:12:15.606+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:12:25.153+03:00,1745237542.616518,40.95223020707327,29.14028338385629,76.36061,-1,-1,-1,-1,30,18.16335761253691,-9999,17930.21036925,-0.7276153564453125,0.4445343017578125,-0.47113037109375,17930.20029325,-0.5748348267155045,-0.9969044977324107,-0.478755175421365,0.02364527247846127,-0.01555331237614155,0.01245148666203022,0.004088461399078369,-0.01409563422203064,0.01235222816467285,XArbitraryZVertical,0.3313626524519753,0.3863498259856326,0.1331854981648999,-0.8504082292786806,-0.7453755140304565,0.4606746733188629,-0.4818651974201202,0,0,0,-1,-1,17929.96478025,unknown,2,2025-04-21T15:12:24.903+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9608214,0,0,5475.677,5,6,2025-04-21T15:12:24.903+03:00,766930345.0033971,0,-44.25,100.2639,1,0.45,2025-04-21T15:12:15.606+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:12:25.164+03:00,1745237542.616518,40.95223020707327,29.14028338385629,76.36061,-1,-1,-1,-1,30,18.16335761253691,-9999,17930.22044525,-0.735626220703125,0.4504547119140625,-0.475982666015625,17930.21036925,-0.5745363064978761,-0.9970079534279529,-0.4787471559034537,0.0279846265912056,-0.02247060649096966,0.01329890452325344,0.01462417840957642,-0.01672825217247009,0.01252126693725586,XArbitraryZVertical,0.3313086990260976,0.3864446755047347,0.1330434551045565,-0.8504084233213448,-0.7454285025596619,0.4606675505638123,-0.4817901253700256,0,0,0,-1,-1,17929.96478025,unknown,2,2025-04-21T15:12:24.903+03:00,2025-04-20T21:57:49.637+03:00,6664,0.9608214,0,0,5475.677,5,6,2025-04-21T15:12:24.903+03:00,766930345.0033971,0,-44.25,100.2639,1,0.45,2025-04-21T15:12:15.606+03:00,97,1.616666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
