loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-21T15:23:15.625+03:00,1745238191.97542,40.95220265019029,29.14025662348531,76.02078,-1,-1,-1,-1,30.00645109687068,58.04164234037241,-9999,18398.68634875,-0.7150115966796875,0.6582489013671875,-0.26641845703125,18398.68131075,2.369468813318355,-1.191701934399759,-0.7228110207615734,-0.005736380349844694,0.01098455302417278,0.01164334081113338,0.03408992290496826,0.004367411136627197,0.01499786972999573,XArbitraryZVertical,-0.3761244192169551,0.4687857759228189,-0.7919429153551747,-0.1076874279572621,-0.696702778339386,0.6614953875541687,-0.2775406241416931,0,0,0,-1,-1,18392.868614625,unknown,2,2025-04-21T15:23:09.773+03:00,2025-04-20T21:57:49.637+03:00,6680,0.9704633,0,0,5487.079,5,6,2025-04-21T15:22:28.502+03:00,766930995.0206352,0,-43.8,100.2578,1,0.45,2025-04-21T15:21:14.605+03:00,112,1.866666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:23:15.628+03:00,1745238191.97542,40.95220265019029,29.14025662348531,76.02078,-1,-1,-1,-1,30.00645109687068,58.04164234037241,-9999,18398.69642475,-0.698577880859375,0.651275634765625,-0.274871826171875,18398.69138675,2.369240133945716,-1.191989363290728,-0.722942190007595,-0.02337749116122723,-0.01873932033777237,-0.000527737895026803,0.009461283683776855,0.004391133785247803,0.01639816164970398,XArbitraryZVertical,-0.3761534639582643,0.4688863869635168,-0.7918716886918856,-0.1076713997740486,-0.6967018842697144,0.6615937948226929,-0.2773082554340363,0,0,0,-1,-1,18392.868614625,unknown,2,2025-04-21T15:23:09.773+03:00,2025-04-20T21:57:49.637+03:00,6680,0.9704633,0,0,5487.079,5,6,2025-04-21T15:22:28.502+03:00,766930995.0206352,0,-43.8,100.2578,1,0.45,2025-04-21T15:21:14.605+03:00,112,1.866666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:23:15.630+03:00,1745238191.97542,40.95220265019029,29.14025662348531,76.02078,-1,-1,-1,-1,30.00645109687068,58.04164234037241,-9999,18398.70650175,-0.6733245849609375,0.6555938720703125,-0.279052734375,18398.70146275,2.36895553387158,-1.192293468239347,-0.7230572602415993,-0.01835104078054428,0.002543597482144833,0.007481186650693417,-0.0239570140838623,-0.01008415222167969,0.003813862800598145,XArbitraryZVertical,-0.3761797078879021,0.4689932517227399,-0.7917950829709905,-0.1076786533745994,-0.6967155933380127,0.6616800427436829,-0.2770683169364929,0,0,0,-1,-1,18392.868614625,unknown,2,2025-04-21T15:23:09.773+03:00,2025-04-20T21:57:49.637+03:00,6680,0.9704633,0,0,5487.079,5,6,2025-04-21T15:22:28.502+03:00,766930995.0206352,0,-43.8,100.2578,1,0.45,2025-04-21T15:21:14.605+03:00,112,1.866666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:23:15.632+03:00,1745238191.97542,40.95220265019029,29.14025662348531,76.02078,-1,-1,-1,-1,30.00645109687068,58.04164234037241,-9999,18398.71657775,-0.7056884765625,0.653411865234375,-0.28082275390625,18398.71153975,2.368828119514279,-1.192305390646945,-0.7231991391351732,-0.01609953865408897,0.002311170101165771,0.008266985416412354,0.02707594633102417,-0.00784069299697876,0.0002613067626953125,XArbitraryZVertical,-0.3761208149634293,0.469063406632643,-0.7917807682382698,-0.1076839421282113,-0.6966316699981689,0.6617864370346069,-0.2770253121852875,0,0,0,-1,-1,18392.868614625,unknown,2,2025-04-21T15:23:09.773+03:00,2025-04-20T21:57:49.637+03:00,6680,0.9704633,0,0,5487.079,5,6,2025-04-21T15:22:28.502+03:00,766930995.0206352,0,-43.8,100.2578,1,0.45,2025-04-21T15:21:14.605+03:00,112,1.866666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:23:15.639+03:00,1745238191.97542,40.95220265019029,29.14025662348531,76.02078,-1,-1,-1,-1,30.00645109687068,58.04164234037241,-9999,18398.72665375,-0.689971923828125,0.651397705078125,-0.27459716796875,18398.72161575,2.368774798528152,-1.192266224419921,-0.7232483343188399,-0.004996021743863821,0.006390334106981754,0.002447179518640041,-0.0009344816207885742,-0.005954861640930176,-0.004835158586502075,XArbitraryZVertical,-0.3760810838267962,0.4690871218776613,-0.7917834983581423,-0.1076996199085539,-0.6965906023979187,0.6618233323097229,-0.27704057097435,0,0,0,-1,-1,18392.868614625,unknown,2,2025-04-21T15:23:09.773+03:00,2025-04-20T21:57:49.637+03:00,6680,0.9704633,0,0,5487.079,5,6,2025-04-21T15:22:28.502+03:00,766930995.0206352,0,-43.8,100.2578,1,0.45,2025-04-21T15:21:14.605+03:00,112,1.866666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:23:15.646+03:00,1745238191.97542,40.95220265019029,29.14025662348531,76.02078,-1,-1,-1,-1,30.00645109687068,58.04164234037241,-9999,18398.73673075,-0.6875,0.6643524169921875,-0.276885986328125,18398.73169175,2.36888958998013,-1.192064788661119,-0.7232169824123311,0.0156352873891592,0.01462462730705738,0.006471515633165836,-0.001672983169555664,-0.01201975345611572,0.0006381571292877197,XArbitraryZVertical,-0.3760357617992569,0.4690446149458161,-0.7918286104087687,-0.1077106194952974,-0.6965539455413818,0.6617997884750366,-0.2771885097026825,0,0,0,-1,-1,18392.868614625,unknown,2,2025-04-21T15:23:09.773+03:00,2025-04-20T21:57:49.637+03:00,6680,0.9704633,0,0,5487.079,5,6,2025-04-21T15:22:28.502+03:00,766930995.0206352,0,-43.8,100.2578,1,0.45,2025-04-21T15:21:14.605+03:00,112,1.866666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:23:15.656+03:00,1745238191.97542,40.95220265019029,29.14025662348531,76.02078,-1,-1,-1,-1,30.00645109687068,58.04164234037241,-9999,18398.74680675,-0.6956634521484375,0.67041015625,-0.280670166015625,18398.74176875,2.369188064568807,-1.191651896056074,-0.7231347875981837,0.02627727948129177,0.02394063211977482,0.007825733162462711,0.01153820753097534,-0.002802789211273193,0.002013981342315674,XArbitraryZVertical,-0.3759618005560256,0.4689398728285336,-0.7919253593893421,-0.1077138355345125,-0.6964899897575378,0.6617381572723389,-0.2774962484836578,0,0,0,-1,-1,18392.868614625,unknown,2,2025-04-21T15:23:09.773+03:00,2025-04-20T21:57:49.637+03:00,6680,0.9704633,0,0,5487.079,5,6,2025-04-21T15:22:28.502+03:00,766930995.0206352,0,-43.8,100.2578,1,0.45,2025-04-21T15:21:14.605+03:00,112,1.866666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:23:15.666+03:00,1745238191.97542,40.95220265019029,29.14025662348531,76.02078,-1,-1,-1,-1,30.00645109687068,58.04164234037241,-9999,18398.75688275,-0.7001495361328125,0.6732330322265625,-0.2787322998046875,18398.75184475,2.369627932970353,-1.191120201948271,-0.7230399350073287,0.03792767599225044,0.02136628702282906,-0.002089548856019974,0.003148078918457031,0.007873117923736572,-0.00130036473274231,XArbitraryZVertical,-0.3758769388040175,0.4687980870106808,-0.7920524384903322,-0.107692525586069,-0.6964005827903748,0.6616670489311218,-0.277889758348465,0,0,0,-1,-1,18392.868614625,unknown,2,2025-04-21T15:23:09.773+03:00,2025-04-20T21:57:49.637+03:00,6680,0.9704633,0,0,5487.079,5,6,2025-04-21T15:22:28.502+03:00,766930995.0206352,0,-43.8,100.2578,1,0.45,2025-04-21T15:21:14.605+03:00,112,1.866666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:23:15.676+03:00,1745238191.97542,40.95220265019029,29.14025662348531,76.02078,-1,-1,-1,-1,30.00645109687068,58.04164234037241,-9999,18398.76695975,-0.6916656494140625,0.6697845458984375,-0.2773590087890625,18398.76192075,2.369977013009111,-1.190776733256125,-0.722925982068338,0.02743162587285042,0.001858366187661886,-0.01611055806279182,-0.003728628158569336,0.01067471504211426,-0.001536786556243896,XArbitraryZVertical,-0.3758497997472255,0.4686773689845939,-0.7921399873658909,-0.1076687469943321,-0.6963751316070557,0.6615816354751587,-0.2781569063663483,0,0,0,-1,-1,18392.868614625,unknown,2,2025-04-21T15:23:09.773+03:00,2025-04-20T21:57:49.637+03:00,6680,0.9704633,0,0,5487.079,5,6,2025-04-21T15:22:28.502+03:00,766930995.0206352,0,-43.8,100.2578,1,0.45,2025-04-21T15:21:14.605+03:00,112,1.866666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
2025-04-21T15:23:15.687+03:00,1745238191.97542,40.95220265019029,29.14025662348531,76.02078,-1,-1,-1,-1,30.00645109687068,58.04164234037241,-9999,18398.77703575,-0.6878814697265625,0.6573944091796875,-0.274383544921875,18398.77199775,2.370011617704079,-1.190914095384874,-0.7226793822692593,0.004718391224741936,-0.02516572922468185,-0.02963685244321823,0.0007793307304382324,0.01096636056900024,-4.604458808898926e-05,XArbitraryZVertical,-0.3759708928621749,0.4685989943092349,-0.792125144813701,-0.1076963887077947,-0.6965648531913757,0.6613966822624207,-0.2781217396259308,0,0,0,-1,-1,18392.868614625,unknown,2,2025-04-21T15:23:09.773+03:00,2025-04-20T21:57:49.637+03:00,6680,0.9704633,0,0,5487.079,5,6,2025-04-21T15:22:28.502+03:00,766930995.0206352,0,-43.8,100.2578,1,0.45,2025-04-21T15:21:14.605+03:00,112,1.866666666666667,2025-04-21T12:30:07.995+03:00,0.02023345852159405,0
