loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T12:10:14.341+03:00,1745313008.972918,40.95222567643675,29.14026538326243,76.34016,-1,-1,-1,-1,30,20.32104858318339,-9999,29403.866279375,-0.606109619140625,0.5745697021484375,-0.551910400390625,29403.856203375,-0.656001832067871,-0.8250512838928163,-0.6166361454497914,-0.01145242806524038,-0.009366774931550026,0.002168314065784216,-0.004390180110931396,0.001921236515045166,-0.00604557991027832,XArbitraryZVertical,-0.3862470066866598,-0.2720948378125906,-0.1660326754226843,0.8655696559494571,-0.5992932915687561,0.5782940983772278,-0.5535553097724915,0,0,0,-1,-1,29382.265214,unknown,2,2025-04-22T12:09:52.710+03:00,2025-04-21T17:08:51.449+03:00,7208,0.9677966,0,0,6015.835,5,20,2025-04-22T12:09:26.917+03:00,767005813.448632,0,-20.61,100.4508,1,0.85,2025-04-22T12:10:10.706+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:10:14.342+03:00,1745313008.972918,40.95222567643675,29.14026538326243,76.34016,-1,-1,-1,-1,30,20.32104858318339,-9999,29403.876354375,-0.60516357421875,0.5770721435546875,-0.555816650390625,29403.866279375,-0.6561366351991818,-0.8252783422436234,-0.6167652637030281,-0.02321328036487103,-0.02008526399731636,0.004633036442101002,-0.0008862018585205078,0.001876950263977051,0.001000344753265381,XArbitraryZVertical,-0.3863350502878863,-0.2721414680840598,-0.1660180125910106,0.8655184327196618,-0.5993640422821045,0.5783994197845459,-0.5533685088157654,0,0,0,-1,-1,29382.265214,unknown,2,2025-04-22T12:09:52.710+03:00,2025-04-21T17:08:51.449+03:00,7208,0.9677966,0,0,6015.835,5,20,2025-04-22T12:09:26.917+03:00,767005813.448632,0,-20.61,100.4508,1,0.85,2025-04-22T12:10:10.706+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:10:14.343+03:00,1745313008.972918,40.95222567643675,29.14026538326243,76.34016,-1,-1,-1,-1,30,20.32104858318339,-9999,29403.886430375,-0.5984649658203125,0.5816192626953125,-0.55511474609375,29403.876354375,-0.6563318187496323,-0.8256944939332672,-0.616944284539229,-0.02371235564351082,-0.03603599965572357,0.001400225097313523,-0.007079720497131348,-0.005059242248535156,-8.225440979003906e-05,XArbitraryZVertical,-0.386466564309991,-0.2722483529950386,-0.165981681151351,0.8654331463117214,-0.5995182394981384,0.5785454511642456,-0.553048849105835,0,0,0,-1,-1,29382.265214,unknown,2,2025-04-22T12:09:52.710+03:00,2025-04-21T17:08:51.449+03:00,7208,0.9677966,0,0,6015.835,5,20,2025-04-22T12:09:26.917+03:00,767005813.448632,0,-20.61,100.4508,1,0.85,2025-04-22T12:10:10.706+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:10:14.349+03:00,1745313008.972918,40.95222567643675,29.14026538326243,76.34016,-1,-1,-1,-1,30,20.32104858318339,-9999,29403.896506375,-0.601043701171875,0.585601806640625,-0.5544586181640625,29403.886430375,-0.6565499294084453,-0.8262081523986036,-0.6170713640103264,-0.01692868582904339,-0.03544311597943306,-0.008050368167459965,-0.005247592926025391,-0.0009057521820068359,-0.002912044525146484,XArbitraryZVertical,-0.3865889291816014,-0.2724032459878818,-0.1659480712211628,0.8653360902143306,-0.5997480750083923,0.57864910364151,-0.5526909232139587,0,0,0,-1,-1,29382.265214,unknown,2,2025-04-22T12:09:52.710+03:00,2025-04-21T17:08:51.449+03:00,7208,0.9677966,0,0,6015.835,5,20,2025-04-22T12:09:26.917+03:00,767005813.448632,0,-20.61,100.4508,1,0.85,2025-04-22T12:10:10.706+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:10:14.359+03:00,1745313008.972918,40.95222567643675,29.14026538326243,76.34016,-1,-1,-1,-1,30,20.32104858318339,-9999,29403.906582375,-0.6028594970703125,0.586517333984375,-0.55157470703125,29403.896506375,-0.6567798925167049,-0.8267519199732252,-0.6170794830635282,-0.0138106569647789,-0.04843481257557869,-0.01577699743211269,0.001442790031433105,0.003726363182067871,-0.002417445182800293,XArbitraryZVertical,-0.3866685403803051,-0.2725924419461299,-0.1659406225533344,0.86524243546755,-0.6000451445579529,0.5786557197570801,-0.5523616075515747,0,0,0,-1,-1,29382.265214,unknown,2,2025-04-22T12:09:52.710+03:00,2025-04-21T17:08:51.449+03:00,7208,0.9677966,0,0,6015.835,5,20,2025-04-22T12:09:26.917+03:00,767005813.448632,0,-20.61,100.4508,1,0.85,2025-04-22T12:10:10.706+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:10:14.367+03:00,1745313008.972918,40.95222567643675,29.14026538326243,76.34016,-1,-1,-1,-1,30,20.32104858318339,-9999,29403.916658375,-0.5980377197265625,0.58050537109375,-0.54730224609375,29403.906582375,-0.6569119794996358,-0.827255945557813,-0.6170172950016477,0.003619399387389421,-0.03043830208480358,-0.004627706948667765,-0.001639783382415771,0.007835924625396729,-0.001810550689697266,XArbitraryZVertical,-0.3867039016654373,-0.2727972891792196,-0.1659143737999969,0.8651671215820397,-0.6003499627113342,0.5786049962043762,-0.5520834922790527,0,0,0,-1,-1,29382.265214,unknown,2,2025-04-22T12:09:52.710+03:00,2025-04-21T17:08:51.449+03:00,7208,0.9677966,0,0,6015.835,5,20,2025-04-22T12:09:26.917+03:00,767005813.448632,0,-20.61,100.4508,1,0.85,2025-04-22T12:10:10.706+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:10:14.377+03:00,1745313008.972918,40.95222567643675,29.14026538326243,76.34016,-1,-1,-1,-1,30,20.32104858318339,-9999,29403.926733375,-0.602874755859375,0.567901611328125,-0.547210693359375,29403.916658375,-0.6568636592393132,-0.8273842554277394,-0.6170311821350077,-0.007684387266635895,-0.008565761148929596,0.01145592238754034,-0.001895308494567871,0.007626235485076904,0.0003042221069335938,XArbitraryZVertical,-0.3867134090099817,-0.2728593806771765,-0.1658655238301321,0.8651526676157932,-0.6004148721694946,0.5786163210868835,-0.5520009994506836,0,0,0,-1,-1,29382.265214,unknown,2,2025-04-22T12:09:52.710+03:00,2025-04-21T17:08:51.449+03:00,7208,0.9677966,0,0,6015.835,5,20,2025-04-22T12:09:26.917+03:00,767005813.448632,0,-20.61,100.4508,1,0.85,2025-04-22T12:10:10.706+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:10:14.387+03:00,1745313008.972918,40.95222567643675,29.14026538326243,76.34016,-1,-1,-1,-1,30,20.32104858318339,-9999,29403.936809375,-0.60198974609375,0.570831298828125,-0.546112060546875,29403.926733375,-0.6569226750317938,-0.8275698823296977,-0.6172349455782132,-0.02775017358362675,-0.0238485112786293,0.01828563213348389,0.002774238586425781,-0.0002608299255371094,0.004370152950286865,XArbitraryZVertical,-0.3868169511617163,-0.2728878214364745,-0.1658090833740521,0.8651082651417668,-0.6004305481910706,0.5787824988365173,-0.5518097877502441,0,0,0,-1,-1,29382.265214,unknown,2,2025-04-22T12:09:52.710+03:00,2025-04-21T17:08:51.449+03:00,7208,0.9677966,0,0,6015.835,5,20,2025-04-22T12:09:26.917+03:00,767005813.448632,0,-20.61,100.4508,1,0.85,2025-04-22T12:10:10.706+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:10:14.397+03:00,1745313008.972918,40.95222567643675,29.14026538326243,76.34016,-1,-1,-1,-1,30,20.32104858318339,-9999,29403.946885375,-0.595916748046875,0.579559326171875,-0.54656982421875,29403.936809375,-0.6570340024036584,-0.8278398108463603,-0.6175731823360645,-0.03338036313652992,-0.01603586226701736,0.01826565712690353,-0.002988874912261963,-0.01239281892776489,0.004472315311431885,XArbitraryZVertical,-0.3869875574849938,-0.2729158796376361,-0.1657284847598473,0.8650383898962977,-0.6004351377487183,0.5790582895278931,-0.5515151023864746,0,0,0,-1,-1,29382.265214,unknown,2,2025-04-22T12:09:52.710+03:00,2025-04-21T17:08:51.449+03:00,7208,0.9677966,0,0,6015.835,5,20,2025-04-22T12:09:26.917+03:00,767005813.448632,0,-20.61,100.4508,1,0.85,2025-04-22T12:10:10.706+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
2025-04-22T12:10:14.407+03:00,1745313008.972918,40.95222567643675,29.14026538326243,76.34016,-1,-1,-1,-1,30,20.32104858318339,-9999,29403.956961375,-0.605621337890625,0.5810546875,-0.545623779296875,29403.946885375,-0.6572396037610443,-0.8281572418998555,-0.6179903476135149,-0.04930799826979637,-0.02676154300570488,0.02271643280982971,-0.0006725788116455078,-0.007438063621520996,0.005033791065216064,XArbitraryZVertical,-0.3872058594853323,-0.2729305273177879,-0.165661580361509,0.8649489207121376,-0.6004322171211243,0.5793983936309814,-0.5511611104011536,0,0,0,-1,-1,29382.265214,unknown,2,2025-04-22T12:09:52.710+03:00,2025-04-21T17:08:51.449+03:00,7208,0.9677966,0,0,6015.835,5,20,2025-04-22T12:09:26.917+03:00,767005813.448632,0,-20.61,100.4508,1,0.85,2025-04-22T12:10:10.706+03:00,84,1.4,2025-04-22T09:54:17.825+03:00,0.02225348692287972,0
