loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-22T15:35:06.024+03:00,1745325304.300193,40.95227366424168,29.14030080800874,76.50296,-1,-1,-1,-1,30,29.46666746656674,-9999,35852.50793154167,-0.7984161376953125,0.567535400390625,-0.24029541015625,35852.49785554167,-2.879215637840926,-1.236828367076077,-0.6008848275032656,0.01301533635705709,0.01326763071119785,1.221074489876628e-05,0.009243249893188477,-0.05218905210494995,0.006017744541168213,XArbitraryZVertical,-0.580559352915758,0.1666212141136429,-0.7491688857798005,0.2719081793111817,-0.7792626619338989,0.5653725266456604,-0.2703764140605927,0,0,0,-1,-1,35848.91196654167,unknown,2,2025-04-22T15:35:02.393+03:00,2025-04-21T17:08:51.449+03:00,8251,1.040753,0,0,6864.177,7,22,2025-04-22T15:32:35.359+03:00,767018105.0627543,0,-15.57999,100.3896,1,0.55,2025-04-22T15:34:05.734+03:00,77.00000000000001,1.283333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:35:06.026+03:00,1745325304.300193,40.95227366424168,29.14030080800874,76.50296,-1,-1,-1,-1,30,29.46666746656674,-9999,35852.51800754167,-0.7692413330078125,0.5163116455078125,-0.2422332763671875,35852.50793154167,-2.879363248416725,-1.236837648430775,-0.6010034793712874,-0.04149264842271805,0.0006003044545650482,0.01325717568397522,-0.02267789840698242,-0.005244076251983643,0.02893772721290588,XArbitraryZVertical,-0.5805464739700006,0.1667099065532437,-0.7491677864779372,0.2718843598507463,-0.7792018055915833,0.5654703974723816,-0.2703472077846527,0,0,0,-1,-1,35848.91196654167,unknown,2,2025-04-22T15:35:02.393+03:00,2025-04-21T17:08:51.449+03:00,8251,1.040753,0,0,6864.177,7,22,2025-04-22T15:32:35.359+03:00,767018105.0627543,0,-15.57999,100.3896,1,0.55,2025-04-22T15:34:05.734+03:00,77.00000000000001,1.283333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:35:06.027+03:00,1745325304.300193,40.95227366424168,29.14030080800874,76.50296,-1,-1,-1,-1,30,29.46666746656674,-9999,35852.52808454167,-0.7725677490234375,0.5367889404296875,-0.2505035400390625,35852.51800754167,-2.879988452856834,-1.237248816695763,-0.6012790572991188,-0.06430076062679291,0.002879704115912318,0.01731143891811371,-0.01598501205444336,-0.005776524543762207,0.02969539165496826,XArbitraryZVertical,-0.5806388829548961,0.1669449179508018,-0.7490904840556424,0.2717557962815767,-0.7791656255722046,0.5656976699829102,-0.2699757516384125,0,0,0,-1,-1,35848.91196654167,unknown,2,2025-04-22T15:35:02.393+03:00,2025-04-21T17:08:51.449+03:00,8251,1.040753,0,0,6864.177,7,22,2025-04-22T15:32:35.359+03:00,767018105.0627543,0,-15.57999,100.3896,1,0.55,2025-04-22T15:34:05.734+03:00,77.00000000000001,1.283333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:35:06.028+03:00,1745325304.300193,40.95227366424168,29.14030080800874,76.50296,-1,-1,-1,-1,30,29.46666746656674,-9999,35852.53816054167,-0.7872772216796875,0.56903076171875,-0.2629547119140625,35852.52808454167,-2.880545352279724,-1.237434452102024,-0.6016519349423319,-0.04737343639135361,0.02103846706449986,0.02545219101011753,0.01152992248535156,-0.0505937933921814,0.02719295024871826,XArbitraryZVertical,-0.5806490269679976,0.1672293775242424,-0.7490542070443597,0.2716592561849799,-0.779016375541687,0.5660051107406616,-0.2697620987892151,0,0,0,-1,-1,35848.91196654167,unknown,2,2025-04-22T15:35:02.393+03:00,2025-04-21T17:08:51.449+03:00,8251,1.040753,0,0,6864.177,7,22,2025-04-22T15:32:35.359+03:00,767018105.0627543,0,-15.57999,100.3896,1,0.55,2025-04-22T15:34:05.734+03:00,77.00000000000001,1.283333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:35:06.034+03:00,1745325304.300193,40.95227366424168,29.14030080800874,76.50296,-1,-1,-1,-1,30,29.46666746656674,-9999,35852.54823754167,-0.7789154052734375,0.5774688720703125,-0.2747802734375,35852.53816054167,-2.880884441705542,-1.237381719679888,-0.6020579888887111,-0.02982094325125217,0.01902098953723907,0.02245446853339672,0.003608047962188721,-0.02431714534759521,0.01759156584739685,XArbitraryZVertical,-0.5805868281151202,0.1674961190303439,-0.7490524553579295,0.271632970541136,-0.7787850499153137,0.5663397908210754,-0.2697279751300812,0,0,0,-1,-1,35848.91196654167,unknown,2,2025-04-22T15:35:02.393+03:00,2025-04-21T17:08:51.449+03:00,8251,1.040753,0,0,6864.177,7,22,2025-04-22T15:32:35.359+03:00,767018105.0627543,0,-15.57999,100.3896,1,0.55,2025-04-22T15:34:05.734+03:00,77.00000000000001,1.283333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:35:06.045+03:00,1745325304.300193,40.95227366424168,29.14030080800874,76.50296,-1,-1,-1,-1,30,29.46666746656674,-9999,35852.55831354167,-0.77227783203125,0.5803070068359375,-0.2819671630859375,35852.54823754167,-2.881028167435385,-1.237259288394744,-0.602303969113644,-0.006947586312890053,0.01312448550015688,0.0137411393225193,-0.009175717830657959,0.004563391208648682,0.005403727293014526,XArbitraryZVertical,-0.5805203966208181,0.1676520980084191,-0.7490691643273601,0.2716325634466339,-0.7786203026771545,0.5665425062179565,-0.2697776854038239,0,0,0,-1,-1,35848.91196654167,unknown,2,2025-04-22T15:35:02.393+03:00,2025-04-21T17:08:51.449+03:00,8251,1.040753,0,0,6864.177,7,22,2025-04-22T15:32:35.359+03:00,767018105.0627543,0,-15.57999,100.3896,1,0.55,2025-04-22T15:34:05.734+03:00,77.00000000000001,1.283333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:35:06.054+03:00,1745325304.300193,40.95227366424168,29.14030080800874,76.50296,-1,-1,-1,-1,30,29.46666746656674,-9999,35852.56838954167,-0.7744903564453125,0.5816497802734375,-0.2825469970703125,35852.55831354167,-2.880915607445186,-1.23700809642004,-0.6024011648399514,0.01463114283978939,0.01798122562468052,0.008481362834572792,0.0002260804176330566,0.01119714975357056,-0.006076455116271973,XArbitraryZVertical,-0.5804323730114884,0.1676921215318014,-0.749111656176094,0.2716788203842501,-0.778500497341156,0.5666226148605347,-0.2699552178382874,0,0,0,-1,-1,35848.91196654167,unknown,2,2025-04-22T15:35:02.393+03:00,2025-04-21T17:08:51.449+03:00,8251,1.040753,0,0,6864.177,7,22,2025-04-22T15:32:35.359+03:00,767018105.0627543,0,-15.57999,100.3896,1,0.55,2025-04-22T15:34:05.734+03:00,77.00000000000001,1.283333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:35:06.064+03:00,1745325304.300193,40.95227366424168,29.14030080800874,76.50296,-1,-1,-1,-1,30,29.46666746656674,-9999,35852.57846654167,-0.7763824462890625,0.5766143798828125,-0.27587890625,35852.56838954167,-2.880587701372953,-1.236606329367175,-0.602391006805324,0.03133368864655495,0.019759152084589,0.004676770884543657,0.00660783052444458,0.01404368877410889,-0.01204845309257507,XArbitraryZVertical,-0.5803097292625988,0.1676475282489994,-0.7491852269466416,0.27176533640545,-0.7783973813056946,0.5666142702102661,-0.2702698409557343,0,0,0,-1,-1,35848.91196654167,unknown,2,2025-04-22T15:35:02.393+03:00,2025-04-21T17:08:51.449+03:00,8251,1.040753,0,0,6864.177,7,22,2025-04-22T15:32:35.359+03:00,767018105.0627543,0,-15.57999,100.3896,1,0.55,2025-04-22T15:34:05.734+03:00,77.00000000000001,1.283333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:35:06.074+03:00,1745325304.300193,40.95227366424168,29.14030080800874,76.50296,-1,-1,-1,-1,30,29.46666746656674,-9999,35852.58854254167,-0.77593994140625,0.5677337646484375,-0.269744873046875,35852.57846654167,-2.880220063491018,-1.236182956199892,-0.6022993061778581,0.03333865106105804,0.02313271164894104,0.003203576663509011,0.003979086875915527,0.01440912485122681,-0.01110672950744629,XArbitraryZVertical,-0.5801851017352699,0.167561994710686,-0.7492724202320613,0.2718438605612983,-0.778331995010376,0.5665386915206909,-0.2706164419651031,0,0,0,-1,-1,35848.91196654167,unknown,2,2025-04-22T15:35:02.393+03:00,2025-04-21T17:08:51.449+03:00,8251,1.040753,0,0,6864.177,7,22,2025-04-22T15:32:35.359+03:00,767018105.0627543,0,-15.57999,100.3896,1,0.55,2025-04-22T15:34:05.734+03:00,77.00000000000001,1.283333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
2025-04-22T15:35:06.084+03:00,1745325304.300193,40.95227366424168,29.14030080800874,76.50296,-1,-1,-1,-1,30,29.46666746656674,-9999,35852.59861854167,-0.7781982421875,0.5594024658203125,-0.265228271484375,35852.58854254167,-2.879877557285535,-1.235767995232787,-0.6022070433932404,0.02588925696909428,0.02516576834022999,0.0009414875530637801,0.002359628677368164,0.00874781608581543,-0.00432741641998291,XArbitraryZVertical,-0.5800614993855079,0.1674824217630679,-0.749360609832191,0.2719135722262006,-0.7782689929008484,0.5664626359939575,-0.2709565758705139,0,0,0,-1,-1,35848.91196654167,unknown,2,2025-04-22T15:35:02.393+03:00,2025-04-21T17:08:51.449+03:00,8251,1.040753,0,0,6864.177,7,22,2025-04-22T15:32:35.359+03:00,767018105.0627543,0,-15.57999,100.3896,1,0.55,2025-04-22T15:34:05.734+03:00,77.00000000000001,1.283333333333333,2025-04-22T14:20:19.516+03:00,0.02197104130929222,0
