loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-20T23:15:51.362+03:00,1745180151.14359,40.985586866833,29.13735278228028,126.3665,-1,-1,-1,-1,30,22.26780044147412,-9999,10082.324479125,-0.446807861328125,0.8352203369140625,-0.2737579345703125,10082.315670125,-2.246335654308538,-1.035068087812561,-0.9875828300398349,-0.06180640310049057,-0.04893741384148598,-0.01218767277896404,0.01723900437355042,0.001926779747009277,0.01210659742355347,XArbitraryZVertical,0.5709987386789935,-0.1827592478820356,0.588340579648724,-0.5426000578208241,-0.4735530912876129,0.8346972465515137,-0.2811189889907837,0,0,0,-1,-1,10078.943875375,unknown,2,2025-04-20T23:15:47.951+03:00,2025-04-20T21:57:49.637+03:00,29,4.348656,0,0,23.86625,0,0,2025-04-20T22:59:32.906+03:00,766872950.634814,0,-0.8999996,99.74757,1,0.95,2025-04-20T23:15:47.660+03:00,101,1.683333333333333,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T23:15:51.364+03:00,1745180151.14359,40.985586866833,29.13735278228028,126.3665,-1,-1,-1,-1,30,22.26780044147412,-9999,10082.334555125,-0.4504547119140625,0.8431854248046875,-0.2770538330078125,10082.325747125,-2.247430824434875,-1.036549755474797,-0.9876969534485553,-0.05671130865812302,-0.06726375222206116,-0.03794193640351295,0.02639263868331909,0.001879215240478516,0.007907629013061523,XArbitraryZVertical,0.5713412882910446,-0.1827152421890172,0.5881825773637681,-0.5424255806733919,-0.4738871455192566,0.8347601294517517,-0.2803685367107391,0,0,0,-1,-1,10078.943875375,unknown,2,2025-04-20T23:15:47.951+03:00,2025-04-20T21:57:49.637+03:00,29,4.348656,0,0,23.86625,0,0,2025-04-20T22:59:32.906+03:00,766872950.634814,0,-0.8999996,99.74757,1,0.95,2025-04-20T23:15:47.660+03:00,101,1.683333333333333,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T23:15:51.365+03:00,1745180151.14359,40.985586866833,29.13735278228028,126.3665,-1,-1,-1,-1,30,22.26780044147412,-9999,10082.344631125,-0.4496917724609375,0.856292724609375,-0.277557373046875,10082.335823125,-2.248882880590532,-1.038540111134279,-0.9874288399594752,-0.06668218225240707,-0.0921962708234787,-0.08934201300144196,0.02544873952865601,0.001614868640899658,0.003873080015182495,XArbitraryZVertical,0.5717781551189265,-0.18248453868108,0.5880824360064435,-0.5421513026097997,-0.4746369123458862,0.8346124291419983,-0.2795382738113403,0,0,0,-1,-1,10078.943875375,unknown,2,2025-04-20T23:15:47.951+03:00,2025-04-20T21:57:49.637+03:00,29,4.348656,0,0,23.86625,0,0,2025-04-20T22:59:32.906+03:00,766872950.634814,0,-0.8999996,99.74757,1,0.95,2025-04-20T23:15:47.660+03:00,101,1.683333333333333,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T23:15:51.367+03:00,1745180151.14359,40.985586866833,29.13735278228028,126.3665,-1,-1,-1,-1,30,22.26780044147412,-9999,10082.354707125,-0.4534454345703125,0.8404083251953125,-0.2805938720703125,10082.345899125,-2.250174442382898,-1.040499192293574,-0.9870571474052189,-0.02998016215860844,-0.0907643586397171,-0.05191038176417351,0.02693438529968262,0.01791763305664062,0.001634687185287476,XArbitraryZVertical,0.5722145944541202,-0.1821759895319087,0.5879761520689468,-0.5419097824173228,-0.4754511713981628,0.83440762758255,-0.2787647247314453,0,0,0,-1,-1,10078.943875375,unknown,2,2025-04-20T23:15:47.951+03:00,2025-04-20T21:57:49.637+03:00,29,4.348656,0,0,23.86625,0,0,2025-04-20T22:59:32.906+03:00,766872950.634814,0,-0.8999996,99.74757,1,0.95,2025-04-20T23:15:47.660+03:00,101,1.683333333333333,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T23:15:51.377+03:00,1745180151.14359,40.985586866833,29.13735278228028,126.3665,-1,-1,-1,-1,30,22.26780044147412,-9999,10082.364784125,-0.4616851806640625,0.8269500732421875,-0.2743072509765625,10082.355975125,-2.251036650921181,-1.042176272705546,-0.9867297830013467,-0.02588342130184174,-0.09657803922891617,-0.05881329625844955,0.02370026707649231,0.01777762174606323,-0.0003223717212677002,XArbitraryZVertical,0.5726100310909767,-0.1818389570127965,0.5878213103809956,-0.5417732093935016,-0.4761538207530975,0.8342272043228149,-0.278104692697525,0,0,0,-1,-1,10078.943875375,unknown,2,2025-04-20T23:15:47.951+03:00,2025-04-20T21:57:49.637+03:00,29,4.348656,0,0,23.86625,0,0,2025-04-20T22:59:32.906+03:00,766872950.634814,0,-0.8999996,99.74757,1,0.95,2025-04-20T23:15:47.660+03:00,101,1.683333333333333,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T23:15:51.387+03:00,1745180151.14359,40.985586866833,29.13735278228028,126.3665,-1,-1,-1,-1,30,22.26780044147412,-9999,10082.374860125,-0.462188720703125,0.7914276123046875,-0.2635345458984375,10082.366052125,-2.251655910332042,-1.044544538251614,-0.985697305476359,-0.0370679683983326,-0.1477728486061096,-0.08383719623088837,0.02034139633178711,-0.003472566604614258,-0.001704931259155273,XArbitraryZVertical,0.5731899377473362,-0.1809665439385368,0.5875995277802728,-0.5416927704668945,-0.4775557219982147,0.8336573839187622,-0.2774088084697723,0,0,0,-1,-1,10078.943875375,unknown,2,2025-04-20T23:15:47.951+03:00,2025-04-20T21:57:49.637+03:00,29,4.348656,0,0,23.86625,0,0,2025-04-20T22:59:32.906+03:00,766872950.634814,0,-0.8999996,99.74757,1,0.95,2025-04-20T23:15:47.660+03:00,101,1.683333333333333,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T23:15:51.397+03:00,1745180151.14359,40.985586866833,29.13735278228028,126.3665,-1,-1,-1,-1,30,22.26780044147412,-9999,10082.384936125,-0.4787445068359375,0.822540283203125,-0.2710723876953125,10082.376128125,-2.252454683418232,-1.046408325351939,-0.9858121403070089,0.01953059807419777,-0.1050685197114944,0.02115260809659958,0.01337417960166931,-0.01362210512161255,0.007488399744033813,XArbitraryZVertical,0.5736717497761354,-0.1807362309715356,0.5872493027356832,-0.5416393320768405,-0.4779889583587646,0.8337208032608032,-0.276470273733139,0,0,0,-1,-1,10078.943875375,unknown,2,2025-04-20T23:15:47.951+03:00,2025-04-20T21:57:49.637+03:00,29,4.348656,0,0,23.86625,0,0,2025-04-20T22:59:32.906+03:00,766872950.634814,0,-0.8999996,99.74757,1,0.95,2025-04-20T23:15:47.660+03:00,101,1.683333333333333,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T23:15:51.407+03:00,1745180151.14359,40.985586866833,29.13735278228028,126.3665,-1,-1,-1,-1,30,22.26780044147412,-9999,10082.395013125,-0.47625732421875,0.8758392333984375,-0.278564453125,10082.386204125,-2.252384295690887,-1.047143559522068,-0.9856831017103099,0.008863239549100399,-0.06707167625427246,-0.03339096158742905,0.01414373517036438,-0.05421531200408936,0.01492705941200256,XArbitraryZVertical,0.5738865127921806,-0.1804657474923147,0.5870556451647156,-0.5417122307403195,-0.4782856404781342,0.8336495757102966,-0.2761727571487427,0,0,0,-1,-1,10078.943875375,unknown,2,2025-04-20T23:15:47.951+03:00,2025-04-20T21:57:49.637+03:00,29,4.348656,0,0,23.86625,0,0,2025-04-20T22:59:32.906+03:00,766872950.634814,0,-0.8999996,99.74757,1,0.95,2025-04-20T23:15:47.660+03:00,101,1.683333333333333,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T23:15:51.417+03:00,1745180151.14359,40.985586866833,29.13735278228028,126.3665,-1,-1,-1,-1,30,22.26780044147412,-9999,10082.405089125,-0.474822998046875,0.82861328125,-0.272796630859375,10082.396281125,-2.2526008237998,-1.047994359471553,-0.9855393780057847,-0.01422157324850559,-0.06718406081199646,-0.004279415123164654,-0.005827248096466064,0.03981232643127441,-0.00489044189453125,XArbitraryZVertical,0.5741084895685332,-0.1802407315896844,0.5869101621969236,-0.541709405697762,-0.478624016046524,0.8335701823234558,-0.2758254408836365,0,0,0,-1,-1,10078.943875375,unknown,2,2025-04-20T23:15:47.951+03:00,2025-04-20T21:57:49.637+03:00,29,4.348656,0,0,23.86625,0,0,2025-04-20T22:59:32.906+03:00,766872950.634814,0,-0.8999996,99.74757,1,0.95,2025-04-20T23:15:47.660+03:00,101,1.683333333333333,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
2025-04-20T23:15:51.427+03:00,1745180151.14359,40.985586866833,29.13735278228028,126.3665,-1,-1,-1,-1,30,22.26780044147412,-9999,10082.415165125,-0.486907958984375,0.8332061767578125,-0.2799224853515625,10082.406357125,-2.252799088774152,-1.048812997928006,-0.9858290045459184,-0.03037324547767639,-0.0606679767370224,0.01524415239691734,0.00844082236289978,0.01459741592407227,0.003279536962509155,XArbitraryZVertical,0.5743473289895905,-0.1801903718843152,0.5866478233519926,-0.5417571561277953,-0.4786403775215149,0.8337301015853882,-0.275313138961792,0,0,0,-1,-1,10078.943875375,unknown,2,2025-04-20T23:15:47.951+03:00,2025-04-20T21:57:49.637+03:00,29,4.348656,0,0,23.86625,0,0,2025-04-20T22:59:32.906+03:00,766872950.634814,0,-0.8999996,99.74757,1,0.95,2025-04-20T23:15:47.660+03:00,101,1.683333333333333,2025-04-19T12:19:17.059+03:00,0.05691595998002078,0
