loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-18T11:40:59.561+03:00,1744965658.052891,40.95365802376528,29.14099035342986,93.56898,-1,-1,-1,-1,30,26.11647419390102,-9999,64670.54048150001,-0.7626953125,0.6331939697265625,-0.12579345703125,64670.5304055,1.072847080735025,-1.413906895458595,-0.6674827809968273,0.07282277941703796,-0.01175545528531075,-0.07685591280460358,-0.01688146591186523,0.00740814208984375,-0.001630485057830811,XArbitraryZVertical,0.09954211755662276,-0.654778360309602,0.5500293677382578,0.5087478879395306,-0.775736391544342,0.6190109848976135,-0.1227133348584175,0,0,0,-1,-1,64658.66040075,unknown,2,2025-04-18T11:40:47.659+03:00,2025-04-17T15:44:39.500+03:00,7521,1.123721,0,0,6201.632,4,10,2025-04-18T11:40:37.342+03:00,766658458.0735135,0,107.96,100.559,1,0.55,2025-04-18T11:40:54.294+03:00,101,1.683333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:40:59.563+03:00,1744965658.052891,40.95365802376528,29.14099035342986,93.56898,-1,-1,-1,-1,30,26.11647419390102,-9999,64670.55055650001,-0.7747650146484375,0.62322998046875,-0.1229095458984375,64670.54048150001,1.073575155511134,-1.413411776120859,-0.6667410631356732,0.05566349625587463,0.0190059207379818,-0.05812669917941093,0.01231962442398071,0.01705455780029297,-0.003860056400299072,XArbitraryZVertical,0.09991355798020275,-0.6545476371495266,0.5500908946331964,0.5089055182269198,-0.776128888130188,0.6184282898902893,-0.1231693401932716,0,0,0,-1,-1,64658.66040075,unknown,2,2025-04-18T11:40:47.659+03:00,2025-04-17T15:44:39.500+03:00,7521,1.123721,0,0,6201.632,4,10,2025-04-18T11:40:37.342+03:00,766658458.0735135,0,107.96,100.559,1,0.55,2025-04-18T11:40:54.294+03:00,101,1.683333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:40:59.564+03:00,1744965658.052891,40.95365802376528,29.14099035342986,93.56898,-1,-1,-1,-1,30,26.11647419390102,-9999,64670.5606315,-0.7717132568359375,0.62078857421875,-0.1201171875,64670.55055650001,1.073968930143873,-1.412985411381591,-0.6660910369893058,0.01730438880622387,0.01184974052011967,-0.05189037322998047,0.002806603908538818,0.005968868732452393,0.0005470961332321167,XArbitraryZVertical,0.1001611657152547,-0.6543592593038402,0.550082434508534,0.5091082330049869,-0.7764731645584106,0.6179172992706299,-0.1235634014010429,0,0,0,-1,-1,64658.66040075,unknown,2,2025-04-18T11:40:47.659+03:00,2025-04-17T15:44:39.500+03:00,7521,1.123721,0,0,6201.632,4,10,2025-04-18T11:40:37.342+03:00,766658458.0735135,0,107.96,100.559,1,0.55,2025-04-18T11:40:54.294+03:00,101,1.683333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:40:59.574+03:00,1744965658.052891,40.95365802376528,29.14099035342986,93.56898,-1,-1,-1,-1,30,26.11647419390102,-9999,64670.5707075,-0.7637176513671875,0.6188507080078125,-0.118316650390625,64670.5606315,1.073750587138723,-1.413123245428253,-0.6655799266785659,-0.03356118872761726,-0.00386983435600996,-0.04067500308156013,0.003944218158721924,0.003746271133422852,0.002747952938079834,XArbitraryZVertical,0.1003132516858609,-0.6543579167099599,0.5499177066481332,0.5092578750782982,-0.7768018841743469,0.6175153851509094,-0.1235059350728989,0,0,0,-1,-1,64658.66040075,unknown,2,2025-04-18T11:40:47.659+03:00,2025-04-17T15:44:39.500+03:00,7521,1.123721,0,0,6201.632,4,10,2025-04-18T11:40:37.342+03:00,766658458.0735135,0,107.96,100.559,1,0.55,2025-04-18T11:40:54.294+03:00,101,1.683333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:40:59.584+03:00,1744965658.052891,40.95365802376528,29.14099035342986,93.56898,-1,-1,-1,-1,30,26.11647419390102,-9999,64670.5807825,-0.7602386474609375,0.6139984130859375,-0.12548828125,64670.5707075,1.072921195056308,-1.413893651442896,-0.6652801676397401,-0.08039440959692001,-0.04357297345995903,-0.02517111226916313,0.01307207345962524,0.002608776092529297,0.005199611186981201,XArbitraryZVertical,0.1003624316518903,-0.6545679442938472,0.5496078268748199,0.5093128574207912,-0.777079701423645,0.617279589176178,-0.122936375439167,0,0,0,-1,-1,64658.66040075,unknown,2,2025-04-18T11:40:47.659+03:00,2025-04-17T15:44:39.500+03:00,7521,1.123721,0,0,6201.632,4,10,2025-04-18T11:40:37.342+03:00,766658458.0735135,0,107.96,100.559,1,0.55,2025-04-18T11:40:54.294+03:00,101,1.683333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:40:59.594+03:00,1744965658.052891,40.95365802376528,29.14099035342986,93.56898,-1,-1,-1,-1,30,26.11647419390102,-9999,64670.59085850001,-0.7483673095703125,0.6168365478515625,-0.1378326416015625,64670.5807825,1.071649201267974,-1.415372235585137,-0.6652058885387705,-0.1020272672176361,-0.0882943719625473,-0.02193989977240562,0.0162736177444458,-0.002368271350860596,-0.001557633280754089,XArbitraryZVertical,0.1003792069619721,-0.6550014142828224,0.5491948609303453,0.5091975098778466,-0.7773056626319885,0.6172211170196533,-0.1217943206429482,0,0,0,-1,-1,64658.66040075,unknown,2,2025-04-18T11:40:47.659+03:00,2025-04-17T15:44:39.500+03:00,7521,1.123721,0,0,6201.632,4,10,2025-04-18T11:40:37.342+03:00,766658458.0735135,0,107.96,100.559,1,0.55,2025-04-18T11:40:54.294+03:00,101,1.683333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:40:59.604+03:00,1744965658.052891,40.95365802376528,29.14099035342986,93.56898,-1,-1,-1,-1,30,26.11647419390102,-9999,64670.60093350001,-0.7489166259765625,0.63262939453125,-0.133453369140625,64670.59085850001,1.070319241116148,-1.417244338384233,-0.6653022007144151,-0.09407473355531693,-0.1088097020983696,-0.01814832352101803,0.02796196937561035,-0.001650512218475342,-0.01683133840560913,XArbitraryZVertical,0.1004223184870044,-0.6555535297318952,0.5487817123177652,0.5089240484678944,-0.7774737477302551,0.6172969341278076,-0.1203298568725586,0,0,0,-1,-1,64658.66040075,unknown,2,2025-04-18T11:40:47.659+03:00,2025-04-17T15:44:39.500+03:00,7521,1.123721,0,0,6201.632,4,10,2025-04-18T11:40:37.342+03:00,766658458.0735135,0,107.96,100.559,1,0.55,2025-04-18T11:40:54.294+03:00,101,1.683333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:40:59.614+03:00,1744965658.052891,40.95365802376528,29.14099035342986,93.56898,-1,-1,-1,-1,30,26.11647419390102,-9999,64670.6110085,-0.7655181884765625,0.6404876708984375,-0.1223907470703125,64670.60093350001,1.069255018704056,-1.419053780870974,-0.6653221587979647,-0.0594797357916832,-0.1149986162781715,-0.0225105807185173,0.03007352352142334,0.01270759105682373,-0.01581402122974396,XArbitraryZVertical,0.1005624259772918,-0.6560691217974635,0.5484240893030594,0.508617445437353,-0.7776781320571899,0.6173126101493835,-0.1189210116863251,0,0,0,-1,-1,64658.66040075,unknown,2,2025-04-18T11:40:47.659+03:00,2025-04-17T15:44:39.500+03:00,7521,1.123721,0,0,6201.632,4,10,2025-04-18T11:40:37.342+03:00,766658458.0735135,0,107.96,100.559,1,0.55,2025-04-18T11:40:54.294+03:00,101,1.683333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:40:59.624+03:00,1744965658.052891,40.95365802376528,29.14099035342986,93.56898,-1,-1,-1,-1,30,26.11647419390102,-9999,64670.6210845,-0.7715301513671875,0.6435546875,-0.1133880615234375,64670.6110085,1.068716656554892,-1.42057423553016,-0.6651261539599028,-0.02330788597464561,-0.1231652051210403,-0.02674487419426441,0.01422935724258423,0.02285629510879517,-0.00611424446105957,XArbitraryZVertical,0.1008736985440263,-0.6564649439654171,0.5481710651689454,0.5083177089429447,-0.7779775857925415,0.6171584129333496,-0.1177565455436707,0,0,0,-1,-1,64658.66040075,unknown,2,2025-04-18T11:40:47.659+03:00,2025-04-17T15:44:39.500+03:00,7521,1.123721,0,0,6201.632,4,10,2025-04-18T11:40:37.342+03:00,766658458.0735135,0,107.96,100.559,1,0.55,2025-04-18T11:40:54.294+03:00,101,1.683333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:40:59.635+03:00,1744965658.052891,40.95365802376528,29.14099035342986,93.56898,-1,-1,-1,-1,30,26.11647419390102,-9999,64670.6311595,-0.7758941650390625,0.639617919921875,-0.111328125,64670.6210845,1.06857981820916,-1.421829678098316,-0.6649965699828255,0.002100534737110138,-0.1151815727353096,-0.02039243467152119,0.007055044174194336,0.02613210678100586,0.002686426043510437,XArbitraryZVertical,0.1012198162292459,-0.6567790659238791,0.5480466556158661,0.5079771499333521,-0.7782039046287537,0.6170564293861389,-0.1167916133999825,0,0,0,-1,-1,64658.66040075,unknown,2,2025-04-18T11:40:47.659+03:00,2025-04-17T15:44:39.500+03:00,7521,1.123721,0,0,6201.632,4,10,2025-04-18T11:40:37.342+03:00,766658458.0735135,0,107.96,100.559,1,0.55,2025-04-18T11:40:54.294+03:00,101,1.683333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
