loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-18T10:36:49.812+03:00,1744961806.632765,40.95359955957566,29.14097773549451,92.97792,-1,-1,-1,-1,30,24.65132846138212,-9999,61449.70325066667,-0.6984100341796875,0.6414031982421875,-0.3625946044921875,61449.69317466667,1.31641559080044,-1.091053392479275,-0.6799797523465485,0.06544702500104904,-0.02199464105069637,-0.003875093068927526,-0.008603394031524658,0.0005867481231689453,0.01783108711242676,XArbitraryZVertical,0.07370399662457795,-0.5613554738034687,0.6298646854938922,0.5317126725677574,-0.6898066997528076,0.6287772655487061,-0.3588955104351044,0,0,0,-1,-1,61449.50048666667,unknown,2,2025-04-18T10:36:49.579+03:00,2025-04-17T15:44:39.500+03:00,7155,1.074305,0,0,5905.219,4,10,2025-04-18T10:36:49.579+03:00,766654609.6785992,0,108.39,100.5556,1,0.7,2025-04-18T10:36:45.418+03:00,109,1.816666666666667,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T10:36:49.814+03:00,1744961806.632765,40.95359955957566,29.14097773549451,92.97792,-1,-1,-1,-1,30,24.65132846138212,-9999,61449.71332766667,-0.6753997802734375,0.6371002197265625,-0.346221923828125,61449.70325066667,1.317309399328895,-1.090665692500756,-0.679713027420768,0.08207746595144272,-0.00318972859531641,0.008519956842064857,-0.0124695897102356,0.0100257396697998,-0.002270817756652832,XArbitraryZVertical,0.07393185123891934,-0.5611719013462634,0.6300882660684904,0.5316098756672099,-0.6898162364959717,0.6285698413848877,-0.3592403531074524,0,0,0,-1,-1,61449.50048666667,unknown,2,2025-04-18T10:36:49.579+03:00,2025-04-17T15:44:39.500+03:00,7155,1.074305,0,0,5905.219,4,10,2025-04-18T10:36:49.579+03:00,766654609.6785992,0,108.39,100.5556,1,0.7,2025-04-18T10:36:45.418+03:00,109,1.816666666666667,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T10:36:49.815+03:00,1744961806.632765,40.95359955957566,29.14097773549451,92.97792,-1,-1,-1,-1,30,24.65132846138212,-9999,61449.72340366667,-0.68756103515625,0.63568115234375,-0.345794677734375,61449.71332766667,1.318305202622135,-1.090056014983905,-0.6794672351626253,0.07175665348768234,-0.002700772136449814,0.01556108798831701,0.01415109634399414,0.01104086637496948,0.01076385378837585,XArbitraryZVertical,0.0741104425068403,-0.5609291470339524,0.6303494381433699,0.5315315310503643,-0.6897339820861816,0.628378689289093,-0.3597322702407837,0,0,0,-1,-1,61449.50048666667,unknown,2,2025-04-18T10:36:49.579+03:00,2025-04-17T15:44:39.500+03:00,7155,1.074305,0,0,5905.219,4,10,2025-04-18T10:36:49.579+03:00,766654609.6785992,0,108.39,100.5556,1,0.7,2025-04-18T10:36:45.418+03:00,109,1.816666666666667,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T10:36:49.818+03:00,1744961806.632765,40.95359955957566,29.14097773549451,92.97792,-1,-1,-1,-1,30,24.65132846138212,-9999,61449.73348066667,-0.68353271484375,0.63067626953125,-0.35247802734375,61449.72340366667,1.319173629224968,-1.089424167901437,-0.6793521905563988,0.05694201961159706,0.01940453052520752,0.02228383906185627,0.00234532356262207,0.006720602512359619,0.01552075147628784,XArbitraryZVertical,0.07419746987930254,-0.5607084562992374,0.6305914643969852,0.5314652917317849,-0.6895707249641418,0.6282891631126404,-0.3602015376091003,0,0,0,-1,-1,61449.50048666667,unknown,2,2025-04-18T10:36:49.579+03:00,2025-04-17T15:44:39.500+03:00,7155,1.074305,0,0,5905.219,4,10,2025-04-18T10:36:49.579+03:00,766654609.6785992,0,108.39,100.5556,1,0.7,2025-04-18T10:36:45.418+03:00,109,1.816666666666667,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T10:36:49.827+03:00,1744961806.632765,40.95359955957566,29.14097773549451,92.97792,-1,-1,-1,-1,30,24.65132846138212,-9999,61449.74355666667,-0.6894683837890625,0.6287384033203125,-0.3558807373046875,61449.73348066667,1.319915530022187,-1.088654804575769,-0.6793504384583914,0.04160860553383827,0.04073085635900497,0.02889407239854336,0.006265044212341309,0.003807544708251953,0.009688794612884521,XArbitraryZVertical,0.07416349966749521,-0.5604761993149601,0.6308169666027079,0.5314472894110213,-0.6892942786216736,0.6282877922058105,-0.3607324063777924,0,0,0,-1,-1,61449.50048666667,unknown,2,2025-04-18T10:36:49.579+03:00,2025-04-17T15:44:39.500+03:00,7155,1.074305,0,0,5905.219,4,10,2025-04-18T10:36:49.579+03:00,766654609.6785992,0,108.39,100.5556,1,0.7,2025-04-18T10:36:45.418+03:00,109,1.816666666666667,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T10:36:49.837+03:00,1744961806.632765,40.95359955957566,29.14097773549451,92.97792,-1,-1,-1,-1,30,24.65132846138212,-9999,61449.75363366667,-0.687744140625,0.6261444091796875,-0.357086181640625,61449.74355666667,1.320516883395299,-1.087942252653369,-0.6794052102976462,0.03669853508472443,0.02644246444106102,0.03257615864276886,0.0003163814544677734,0.0002400875091552734,0.005967646837234497,XArbitraryZVertical,0.07408688547538798,-0.5602743923856657,0.6310089439755699,0.531442807132098,-0.6890065670013428,0.628330409526825,-0.3612074851989746,0,0,0,-1,-1,61449.50048666667,unknown,2,2025-04-18T10:36:49.579+03:00,2025-04-17T15:44:39.500+03:00,7155,1.074305,0,0,5905.219,4,10,2025-04-18T10:36:49.579+03:00,766654609.6785992,0,108.39,100.5556,1,0.7,2025-04-18T10:36:45.418+03:00,109,1.816666666666667,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T10:36:49.847+03:00,1744961806.632765,40.95359955957566,29.14097773549451,92.97792,-1,-1,-1,-1,30,24.65132846138212,-9999,61449.76370966667,-0.6833038330078125,0.6243743896484375,-0.35443115234375,61449.75363366667,1.321105011429566,-1.087408267441466,-0.6795960046429458,0.03395308181643486,0.01626306399703026,0.04671301692724228,0.0002308487892150879,-0.002136111259460449,0.003975719213485718,XArbitraryZVertical,0.07401225652056501,-0.5601449644890431,0.631205047438777,0.5313567273714789,-0.6887074112892151,0.6284788250923157,-0.3615196049213409,0,0,0,-1,-1,61449.50048666667,unknown,2,2025-04-18T10:36:49.579+03:00,2025-04-17T15:44:39.500+03:00,7155,1.074305,0,0,5905.219,4,10,2025-04-18T10:36:49.579+03:00,766654609.6785992,0,108.39,100.5556,1,0.7,2025-04-18T10:36:45.418+03:00,109,1.816666666666667,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T10:36:49.858+03:00,1744961806.632765,40.95359955957566,29.14097773549451,92.97792,-1,-1,-1,-1,30,24.65132846138212,-9999,61449.77378666667,-0.6877593994140625,0.62725830078125,-0.3576202392578125,61449.76370966667,1.321737279964448,-1.086925595593578,-0.6799195045450078,0.03695326671004295,0.01584002189338207,0.04416603222489357,0.005323708057403564,-0.004111886024475098,0.006777048110961914,XArbitraryZVertical,0.07391676084361738,-0.5600514266444055,0.6314248008979667,0.5312075997057172,-0.6883528828620911,0.6287304162979126,-0.3617574274539948,0,0,0,-1,-1,61449.50048666667,unknown,2,2025-04-18T10:36:49.579+03:00,2025-04-17T15:44:39.500+03:00,7155,1.074305,0,0,5905.219,4,10,2025-04-18T10:36:49.579+03:00,766654609.6785992,0,108.39,100.5556,1,0.7,2025-04-18T10:36:45.418+03:00,109,1.816666666666667,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T10:36:49.868+03:00,1744961806.632765,40.95359955957566,29.14097773549451,92.97792,-1,-1,-1,-1,30,24.65132846138212,-9999,61449.78386266667,-0.6873626708984375,0.6297454833984375,-0.3669891357421875,61449.77378666667,1.322293743041363,-1.086477916717062,-0.6801038793343092,0.03828591108322144,0.01469486206769943,0.03441247344017029,0.0009544491767883301,-0.001859664916992188,0.005551010370254517,XArbitraryZVertical,0.07386277229300414,-0.5599451120454224,0.6316084451408955,0.5311087464546804,-0.6880881786346436,0.6288737654685974,-0.3620115220546722,0,0,0,-1,-1,61449.50048666667,unknown,2,2025-04-18T10:36:49.579+03:00,2025-04-17T15:44:39.500+03:00,7155,1.074305,0,0,5905.219,4,10,2025-04-18T10:36:49.579+03:00,766654609.6785992,0,108.39,100.5556,1,0.7,2025-04-18T10:36:45.418+03:00,109,1.816666666666667,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T10:36:49.878+03:00,1744961806.632765,40.95359955957566,29.14097773549451,92.97792,-1,-1,-1,-1,30,24.65132846138212,-9999,61449.79393966667,-0.676055908203125,0.62408447265625,-0.36749267578125,61449.78386266667,1.322894179015896,-1.086113004402267,-0.6802439247749059,0.03176329657435417,-0.0120917446911335,0.03753942251205444,-0.0006899833679199219,0.0008849501609802246,-0.003806143999099731,XArbitraryZVertical,0.0738635108031537,-0.5598511966931937,0.6317959838702177,0.5309847843532924,-0.6878782510757446,0.6289826631546021,-0.3622216284275055,0,0,0,-1,-1,61449.50048666667,unknown,2,2025-04-18T10:36:49.579+03:00,2025-04-17T15:44:39.500+03:00,7155,1.074305,0,0,5905.219,4,10,2025-04-18T10:36:49.579+03:00,766654609.6785992,0,108.39,100.5556,1,0.7,2025-04-18T10:36:45.418+03:00,109,1.816666666666667,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
