Balance_Measure,Cognitive_Measure,Correlation,P_Value,Sample_Size
pre_itug_duration,rating_change,-0.11139999206923458,0.44603271679615775,49
pre_itug_duration,rejected_pair_rating_diff,-0.10950127189742861,0.453870588627756,49
pre_itug_duration,chosen_pair_rating_diff,-0.059902779717698446,0.6826408434938728,49
pre_itug_duration,computer_pair_rating_diff,-0.13122291751909537,0.3687898916508389,49
pre_itug_duration,initial_rating,-0.1196773283064457,0.41274957296411063,49
pre_itug_duration,final_rating,-0.16944260652738113,0.24445712134496844,49
pre_itug_PC1_std,rating_change,-0.11255030876679259,0.44132076828959416,49
pre_itug_PC1_std,rejected_pair_rating_diff,-0.10863968935238613,0.45745181537353896,49
pre_itug_PC1_std,chosen_pair_rating_diff,-0.06047842983411017,0.6797543441587007,49
pre_itug_PC1_std,computer_pair_rating_diff,-0.1314315392147652,0.3680224618811475,49
pre_itug_PC1_std,initial_rating,-0.11928330481576893,0.41430089011645055,49
pre_itug_PC1_std,final_rating,-0.16976542168515885,0.24354631702066207,49
pre_itug_PC1_range,rating_change,-0.11244155998477814,0.44176504251567367,49
pre_itug_PC1_range,rejected_pair_rating_diff,-0.10970743769516092,0.45301592103892485,49
pre_itug_PC1_range,chosen_pair_rating_diff,-0.06062893802705196,0.6790003929066377,49
pre_itug_PC1_range,computer_pair_rating_diff,-0.13299559499570784,0.36229966819784737,49
pre_itug_PC1_range,initial_rating,-0.1187601425528042,0.4163657902146184,49
pre_itug_PC1_range,final_rating,-0.16924427960516347,0.24501783530855972,49
pre_itug_PC1_dominant_freq,rating_change,-0.04931148163421899,0.7365132688635224,49
pre_itug_PC1_dominant_freq,rejected_pair_rating_diff,-0.010405269425814153,0.9434308225480937,49
pre_itug_PC1_dominant_freq,chosen_pair_rating_diff,-0.014547145075137463,0.9209743707315473,49
pre_itug_PC1_dominant_freq,computer_pair_rating_diff,0.0022913611722086462,0.9875331843932768,49
pre_itug_PC1_dominant_freq,initial_rating,-0.008960128935792264,0.951277237731419,49
pre_itug_PC1_dominant_freq,final_rating,-0.036470128740658546,0.803528477147597,49
pre_itug_stride_frequency,rating_change,0.32984627992071824,0.04945996944037613,36
pre_itug_stride_frequency,rejected_pair_rating_diff,0.16076667029062305,0.3489284056236822,36
pre_itug_stride_frequency,chosen_pair_rating_diff,0.23384388033166298,0.16985629817830547,36
pre_itug_stride_frequency,computer_pair_rating_diff,-0.1112060410024771,0.5184763511266954,36
pre_itug_stride_frequency,initial_rating,-0.034571124487199595,0.8413507849692732,36
pre_itug_stride_frequency,final_rating,0.16579230658420033,0.33386556815922874,36
pre_itug_num_strides,rating_change,0.10871768196038256,0.45712700319056976,49
pre_itug_num_strides,rejected_pair_rating_diff,-0.06744136361157735,0.6452095754260714,49
pre_itug_num_strides,chosen_pair_rating_diff,0.01596952842213441,0.9132756449420676,49
pre_itug_num_strides,computer_pair_rating_diff,-0.0854669733959408,0.5592913803275692,49
pre_itug_num_strides,initial_rating,-0.2043664212211472,0.1589680872987715,49
pre_itug_num_strides,final_rating,-0.11580473929881233,0.42814048286684103,49
pre_isway_PC1_std,rating_change,-0.22315538745272637,0.12325103769571077,49
pre_isway_PC1_std,rejected_pair_rating_diff,-0.040235425615308955,0.7837093981352605,49
pre_isway_PC1_std,chosen_pair_rating_diff,0.024345207273218643,0.8681241900372353,49
pre_isway_PC1_std,computer_pair_rating_diff,-0.09148799914382512,0.5318419049796858,49
pre_isway_PC1_std,initial_rating,0.06297476275859314,0.6672898504059201,49
pre_isway_PC1_std,final_rating,-0.0744115122028144,0.6113556367801007,49
pre_isway_PC1_range,rating_change,-0.2146970206801642,0.13849508132843133,49
pre_isway_PC1_range,rejected_pair_rating_diff,-0.027786266171724208,0.8496859057292503,49
pre_isway_PC1_range,chosen_pair_rating_diff,0.030168929986039907,0.8369646874519033,49
pre_isway_PC1_range,computer_pair_rating_diff,-0.10452793636710032,0.47475224874973987,49
pre_isway_PC1_range,initial_rating,0.05175609893198,0.7239558534375795,49
pre_isway_PC1_range,final_rating,-0.07932293640471456,0.5879691899644582,49
pre_isway_PC1_dominant_freq,rating_change,,,49
pre_isway_PC1_dominant_freq,rejected_pair_rating_diff,,,49
pre_isway_PC1_dominant_freq,chosen_pair_rating_diff,,,49
pre_isway_PC1_dominant_freq,computer_pair_rating_diff,,,49
pre_isway_PC1_dominant_freq,initial_rating,,,49
pre_isway_PC1_dominant_freq,final_rating,,,49
pre_isway_PC1_spectral_entropy,rating_change,-0.10462488138535947,0.4743403872137809,49
pre_isway_PC1_spectral_entropy,rejected_pair_rating_diff,-0.00951774323988071,0.948249079116498,49
pre_isway_PC1_spectral_entropy,chosen_pair_rating_diff,0.020351433344065827,0.8896108156829019,49
pre_isway_PC1_spectral_entropy,computer_pair_rating_diff,-0.04499750670182377,0.7588382508608137,49
pre_isway_PC1_spectral_entropy,initial_rating,0.1346375524401155,0.35635023500993196,49
pre_isway_PC1_spectral_entropy,final_rating,0.057135192670588676,0.6965805926715322,49
pre_isway_sway_area,rating_change,-0.007503986392706894,0.9591880129150062,49
pre_isway_sway_area,rejected_pair_rating_diff,0.07730691061049107,0.5975203601123844,49
pre_isway_sway_area,chosen_pair_rating_diff,0.011573913470760002,0.9370894972820283,49
pre_isway_sway_area,computer_pair_rating_diff,-0.18303807387739926,0.20808193419850396,49
pre_isway_sway_area,initial_rating,0.021114861299980865,0.8854969954147693,49
pre_isway_sway_area,final_rating,0.014129265175952898,0.9232375623716044,49
pre_isway_mean_distance,rating_change,-0.22349021389555923,0.12267482138529376,49
pre_isway_mean_distance,rejected_pair_rating_diff,-0.04120577665444621,0.7786232288576754,49
pre_isway_mean_distance,chosen_pair_rating_diff,0.023707618681790495,0.8715485295834812,49
pre_isway_mean_distance,computer_pair_rating_diff,-0.09038707326886555,0.5368111769371178,49
pre_isway_mean_distance,initial_rating,0.06363501495739741,0.6640077633679844,49
pre_isway_mean_distance,final_rating,-0.07402785204952222,0.6131991628761058,49
pre_isway_path_length,rating_change,-0.12882953472027406,0.3776628899066447,49
pre_isway_path_length,rejected_pair_rating_diff,0.048753939572572576,0.7393869276672368,49
pre_isway_path_length,chosen_pair_rating_diff,-0.02395374419592898,0.8702263672526026,49
pre_isway_path_length,computer_pair_rating_diff,-0.14119932085023498,0.3331745490623559,49
pre_isway_path_length,initial_rating,0.10760285188748597,0.46178177686711075,49
pre_isway_path_length,final_rating,0.01941610582144225,0.8946548494485123,49
